Original|Translated
Westfall Lighthouse|Der Leuchtturm von Westfall
Misty Valley|Das Neblige Tal
Grom'gol Base Camp|Basislager Grom'gol
Whelgar's Excavation Site|Whelgars Ausgrabungsstätte
Westbrook Garrison|Weststromgarnison
Tranquil Gardens Cemetery|"Der Friedhof ""Stille Gärten"""
Zuuldaia Ruins|Ruinen von Zuuldaia
Bal'lal Ruins|Ruinen von Bal'lal
Kal'ai Ruins|Ruinen von Kal'ai
Tkashi Ruins|Ruinen von Tkashi
Balia'mah Ruins|Ruinen von Balia'mah
Ziata'jai Ruins|Ruinen von Ziata'jai
Mizjah Ruins|Ruinen von Mizjah
Silverpine Forest|Silberwald
Coldridge Valley|Eisklammtal
New Tinkertown|Neu-Tüftlerstadt
Gol'Bolar Quarry|Steinbruch Gol'Bolar
Frostmane Hold|Höhle der Frostmähnen
The Grizzled Den|Der Graufelsbau
Brewnall Village|Bräuhall
Misty Pine Refuge|Nebelfichtenzuflucht
Eastern Plaguelands|Östliche Pestländer
Ironband's Excavation Site|Eisenbands Ausgrabungsstätte
Mo'grosh Stronghold|Festung Mo'grosh
Algaz Gate|Algaz-Tor
Stonewrought Dam|Der Steinwerkdamm
The Farstrider Lodge|Jagdhütte der Weltenwanderer
Darkshore|Die Dunkelküste
Silver Stream Mine|Silberbachmine
Menethil Harbor|Hafen von Menethil
Designer Island|Designer-Insel
The Bulwark|Das Bollwerk
Ruins of Lordaeron|Ruinen von Lordaeron
Deathknell|Todesend
Night Web's Hollow|Nachtwebergrund
Solliden Farmstead|Sollidens Bauernhof
Agamand Mills|Agamands Mühlen
Agamand Family Crypt|Gruft der Familie Agamand
Whispering Gardens|Flüstergärten
Terrace of Repose|Terrasse der Muße
Brightwater Lake|Blendwassersee
Gunther's Retreat|Gunthers Zufluchtsort
Garren's Haunt|Garrens Schlupfwinkel
Balnir Farmstead|Balnirs Bauernhof
Cold Hearth Manor|Das Verlassene Anwesen
Crusader Outpost|Außenposten der Kreuzzügler
The North Coast|Die Nordküste
Whispering Shore|Die Flüsternde Küste
Lordamere Lake|Der Lordameresee
Fenris Isle|Insel Fenris
Faol's Rest|Faols Ruheplatz
Shadowglen|Laubschattental
Steelgrill's Depot|Stahlrosts Depot
Hearthglen|Herdweiler
Northridge Lumber Camp|Sägewerk des Nordkamms
School of Necromancy|Schule der Totenbeschwörung
Uther's Tomb|Uthers Grabmal
Sorrow Hill|Trauerhügel
The Weeping Cave|Die Weinende Höhle
Felstone Field|Teufelssteinfeld
Dalson's Farm|Dalsons Hof
Gahrron's Withering|Gahrrons Trauerfeld
The Writhing Haunt|Das Trostlose Feld
Mardenholde Keep|Burg Mardenholde
Pyrewood Village|Lohenscheit
Utgarde Keep|Burg Utgarde
The Great Sea|Das Große Meer
Unused Ironcladcove|Eiserne Bucht
Shadowfang Keep|Burg Schattenfang
Icecrown|Eiskrone
Iceflow Lake|Eiswellensee
Helm's Bed Lake|Helmsbettsee
Deep Elem Mine|Tiefenfelsmine
Alexston Farmstead|Alexstons Bauernhof
Red Cloud Mesa|Die Hochwolkenebene
Bloodhoof Village|Dorf der Bluthufe
Stonebull Lake|Steinbullensee
Ravaged Caravan|Überfallene Karawane
Red Rocks|Teufelsfelsen
The Skittering Dark|Das Huschdunkel
Valgan's Field|Valgans Feld
The Sepulcher|Das Grabmal
Olsen's Farthing|Olsens Acker
The Greymane Wall|Der Graumähnenwall
Beren's Peril|Berens List
The Dawning Isles|Die Morgeninseln
Ambermill|Mühlenbern
Fenris Keep|Burg Fenris
The Decrepit Fields|Die Verfallenen Felder
Malden's Orchard|Maldens Obsthain
The Ivar Patch|Das Ivarfeld
The Dead Field|Das Todesfeld
The Rotting Orchard|Der Verrottende Obstgarten
Brightwood Grove|Schattenhain
Forlorn Rowe|Das Verlassene Gut
The Whipple Estate|Anwesen der Whipples
The Yorgen Farmstead|Yorgens Bauernhof
The Cauldron|Der Kessel
Grimesilt Dig Site|Rußschlacks Grabungsstätte
Dreadmaul Rock|Schreckensfels
Ruins of Thaurissan|Die Ruinen von Thaurissan
Flame Crest|Flammenkamm
Blackrock Stronghold|Schwarzfelsfestung
The Pillar of Ash|Die Aschensäule
Altar of Storms|Altar der Stürme
Shadowthread Cave|Schattenweberhöhle
Fel Rock|Teufelsfels
Lake Al'Ameth|Al'Amethsee
Starbreeze Village|Sternenhauch
Gnarlpine Hold|Höhle der Knarzklauen
Ban'ethil Barrow Den|Grabhügel von Ban'ethil
The Cleft|Die Kluft
The Oracle Glade|Die Lichtung des Orakels
Wellspring River|Quellfluss
Wellspring Lake|Quellsee
Hillsbrad Foothills|Vorgebirge des Hügellands
Azshara Crater|Krater von Azshara
Ruins of Southshore|Ruinen von Süderstade
Tarren Mill|Tarrens Mühle
Durnholde Keep|Burg Durnholde
UNUSED Stonewrought Pass|Steinwerkpass
The Foothill Caverns|Die Vorgebirgshöhlen
Brazie Farmstead|Brazies Bauernhof
Dalaran Crater|Dalarankrater
Ruins of Alterac|Die Ruinen von Alterac
Crushridge Hold|Trümmergrathöhle
Slaughter Hollow|Schlächtergrotte
The Uplands|Das Oberland
Southpoint Gate|Südwachttor
The Sludge Fields|Die Schlickfelder
Hillsbrad|Hügellandhof
Azurelode Mine|Der Azurschacht
Nethander Stead|Nethandersiedlung
Thoradin's Wall|Thoradinswall
Eastern Strand|Oststrand
Western Strand|Weststrand
South Seas UNUSED|Die Südlichen Meere
Jaguero Isle|Die Insel Jaguero
Baradin Bay|Baradinbucht
Menethil Bay|Bucht von Menethil
Misty Reed Strand|Nebelschilfstrand
The Savage Coast|Die Ungezähmte Küste
The Crystal Shore|Das Kristallufer
Shell Beach|Muschelschalenstrand
North Tide's Run|Nördlicher Gezeitenstrom
South Tide's Run|Südlicher Gezeitenstrom
The Overlook Cliffs|Die Aussichtsklippen
The Forbidding Sea|Das Verbotene Meer
Ironbeard's Tomb|Eisenbarts Grabmal
Crystalvein Mine|Kristalladermine
Ruins of Aboraz|Ruinen von Aboraz
Janeiro's Point|Janeirospitze
Northfold Manor|Nordhof
Go'Shek Farm|Go'Sheks Hof
Dabyrie's Farmstead|Bauernhof der Dabyries
Boulderfist Hall|Halle der Felsfäuste
Witherbark Village|Lager der Bleichborken
Drywhisker Gorge|Schlucht der Trockenstoppel
Refuge Pointe|Die Zuflucht
Blackwater Shipwrecks|Schiffswracks der Schwarzmeerräuber
O'Breen's Camp|O'Breens Lager
Stromgarde Keep|Burg Stromgarde
The Tower of Arathor|Der Turm von Arathor
The Sanctum|Das Sanktum
Faldir's Cove|Die Faldirbucht
The Drowned Reef|Das Versunkene Riff
Thandol Span|Thandolübergang
Ashenvale|Angreifer
Circle of East Binding|Der Kreis der Östlichen Bindung
Circle of West Binding|Kreis der Westlichen Bindung
Circle of Inner Binding|Der Kreis der Inneren Bindung
Circle of Outer Binding|Kreis der Äußeren Bindung
Apocryphan's Rest|Apocryphans Ruheplatz
Angor Fortress|Festung Angor
Lethlor Ravine|Die Lethlorklamm
Ruins of Kargath|Ruinen von Kargath
Agmond's End|Agmondkuppe
Hammertoe's Digsite|Hammerzehs Grabungsstätte
Dustbelch Grotto|Die Staubspeiergrotte
Aerie Peak|Nistgipfel
Wildhammer Keep|Burg Wildhammer
Quel'Danil Lodge|Jagdhütte Quel'Danil
Skulk Rock|Lauerfels
The Altar of Zul|Der Altar von Zul
Brambleblade Ravine|Dornrankenklamm
The Venture Co. Mine|Die Mine der Venture Co.
Felwood|Teufelswald
Razor Hill|Klingenhügel
Valley of Trials|Tal der Prüfungen
The Den|Der Höhlenbau
Burning Blade Coven|Koven der Brennenden Klinge
Northwatch Foothold|Vorposten der Nordwacht
Sen'jin Village|Sen'jin
Echo Isles|Die Echoinseln
Thunder Ridge|Donnergrat
Drygulch Ravine|Staubwindklamm
Dustwind Cave|Staubwindhöhle
Tiragarde Keep|Burg Tiragarde
Scuttle Coast|Schipperküste
Bladefist Bay|Messerbucht
Deadeye Shore|Kilroggs Küste
Southfury River|Der Südstrom
Far Watch Post|Fernwacht
The Crossroads|Das Wegekreuz
Boulder Lode Mine|Felsadermine
The Sludge Fen|Das Schlickmoor
The Dry Hills|Die Trockenen Hügel
Dreadmist Peak|Glutnebelgipfel
The Forgotten Pools|Die Vergessenen Teiche
Lushwater Oasis|Die Blühende Oase
The Stagnant Oasis|Die Brackige Oase
The Merchant Coast|Die Händlerküste
Ratchet|Ratschet
Darkspear Strand|Strand der Dunkelspeere
Grizzly Hills|Grizzlyhügel
Grizzlemaw|Grauschlund
Winterhoof Water Well|Brunnen der Winterhufe
Thunderhorn Water Well|Brunnen der Donnerhörner
Wildmane Water Well|Brunnen der Wildmähnen
Skyline Ridge|Horizontgrat
Thousand Needles|Tausend Nadeln
The Tidus Stair|Der Tidustritt
Shady Rest Inn|"Gasthaus ""Zur Süßen Ruh"""
Bael'dun Digsite|Grabungsstätte von Bael'dun
Stonetalon Mountains|Steinkrallengebirge
Gillijim's Isle|Gillijims Insel
Island of Doctor Lapidis|Insel des Doktor Lapidis
Razorwind Canyon|Klingenschlucht
Bathran's Haunt|Bathrans Schlupfwinkel
The Ruins of Ordil'Aran|Die Ruinen von Ordil'Aran
Maestra's Post|Maestras Posten
The Zoram Strand|Der Zoramstrand
The Shrine of Aessina|Der Schrein von Aessina
Fire Scar Shrine|Schrein des Sengenden Feuers
The Ruins of Stardust|Die Sternenstaubruinen
The Howling Vale|Das Heulende Tal
Silverwind Refuge|Silberwindzuflucht
Mystral Lake|Mystralsee
Fallen Sky Lake|Himmelssturzsee
Remains of Iris Lake|Überreste des Irissees
Moonwell of Purity|Mondbrunnen der Reinheit
Raynewood Retreat|Rajenbaum
The Shady Nook|Der Schattenwinkel
Night Run|Nachtflucht
Splintertree Post|Splitterholzposten
The Dor'Danil Barrow Den|Grabhügel von Dor'Danil
Falfarren River|Der Falfarren
Felfire Hill|Dämonenhügel
Demon Fall Canyon|Dämonensturz
Demon Fall Ridge|Dämonenstieg
Warsong Lumber Camp|Holzfällerlager des Kriegshymnenklans
Bough Shadow|Schattengrün
The Shimmering Flats|Die Schimmernde Ebene
Lake Falathim|Falathimsee
Ruins of Auberdine|Die Ruinen von Auberdine
Ruins of Mathystra|Die Ruinen von Mathystra
Tower of Althalaxx|Der Turm von Althalaxx
Cliffspring Falls|Die Klippenquellfälle
Grove of the Ancients|Der Hain der Uralten
The Master's Glaive|Die Meistergleve
Remtravel's Excavation|Wirrbarts Ausgrabung
Mist's Edge|Der Nebelrand
The Long Wash|Der Lange Strand
Wildbend River|Die Wildschnellen
Blackwood Den|Bau der Schwarzfelle
Cliffspring River|Der Klippenquell
The Veiled Sea|Das Verhüllte Meer
Gold Road|Goldstraße
Scarlet Watch Post|Scharlachroter Wachposten
Sun Rock Retreat|Sonnenfels
Windshear Crag|Die Scherwindklippe
Cragpool Lake|Felskesselsee
Mirkfallon Lake|Mirkfallonsee
The Charred Vale|Das Verbrannte Tal
Valley of the Bloodfuries|Tal der Blutfurien
Stonetalon Peak|Der Steinkrallengipfel
The Talon Den|Der Krallenbau
Greatwood Vale|Hochwipfeltal
Thunder Bluff UNUSED|Donnerfels
Brave Wind Mesa|Heldenwindebene
Fire Stone Mesa|Steinflammenebene
Mantle Rock|Mantelfels
Spirit RiseUNUSED|Die Anhöhe der Geister
Ruins of Jubuwal|Ruinen von Jubuwal
Pools of Arlithrien|Teiche von Arlithrien
The Rustmaul Dig Site|Rostnagels Grabungsstätte
Splithoof Crag|Spalthufklippe
Highperch|Der Steilhang
The Screeching Canyon|Der Kreischende Canyon
Freewind Post|Freiwindposten
The Great Lift|Der Große Aufzug
Galak Hold|Galakhöhle
Roguefeather Den|Bau der Wildfedern
The Weathered Nook|Der Wetterwinkel
Un'Goro Crater|Der Krater von Un'Goro
Razorfen Kraul|Kral der Klingenhauer
Raven Hill Cemetery|Friedhof von Rabenflucht
Moonglade|Aufseher
Howling Fjord|Der Heulende Fjord
Brackenwall Village|Brackenwall
Swamplight Manor|Irrlichtanwesen
Bloodfen Burrow|Blutsumpfbau
Darkmist Cavern|Graunebelhöhlen
Moggle Point|Moggelspitze
Beezil's Wreck|Beezils Wrack
Witch Hill|Hexenhügel
Sentry Point|Späherwacht
North Point Tower|Nordwacht
West Point Tower|Westwacht
Lost Point|Die Verlassene Wacht
Bluefen|Blaumoor
Stonemaul Ruins|Ruinen der Steinbrecher
The Den of Flame|Der Flammenbau
The Dragonmurk|Das Drachendüster
Wyrmbog|Der Drachensumpf
Blackhoof Village|Dorf der Schwarzhufe
Theramore Isle|Die Insel Theramore
Foothold Citadel|Wehrzitadelle
Ironclad Prison|Eisernes Gefängnis
Dustwallow Bay|Bucht der Düstermarschen
Tidefury Cove|Tidenbucht
Dreadmurk Shore|Schreckensmoorküste
Addle's Stead|Addles Siedlung
Fire Plume Ridge|Feuersäulengrat
Lakkari Tar Pits|Teergruben von Lakkari
Terror Run|Terrorflucht
The Slithering Scar|Die Wuchernde Narbe
Marshal's Refuge|Marschalls Zuflucht
Fungal Rock|Fungusfels
Golakka Hot Springs|Die Heißen Quellen von Golakka
The Loch|Der Loch
Beggar's Haunt|Bettlerschlupfwinkel
Kodo Graveyard|Der Kodofriedhof
Ghost Walker Post|Geistwandlerposten
Sar'theris Strand|Sar'therisstrand
Thunder Axe Fortress|Festung Donneraxt
Bolgan's Hole|Bolgans Loch
Mannoroc Coven|Zirkel der Mannoroc
Gelkis Village|Dorf der Gelkis
Valley of Spears|Tal der Speere
Nijel's Point|Die Nijelspitze
Kolkar Village|Kolkar
Mount Hyjal|Hyjal
Winterspring|Winterquell
Blackwolf River|Schwarzwolfschnellen
Kodo Rock|Kodofels
Hidden Path|Verborgener Pfad
Spirit Rock|Geisterfelsen
Shrine of the Dormant Flame|Schrein der Schlafenden Flamme
Lake Elune'ara|See von Elune'ara
The Harborage|Der Sichere Hafen
Outland|Scherbenwelt
Tradesmen's Terrace UNUSED|Die Terrasse der Händler
The Temple Gardens UNUSED|Die Tempelgärten
Temple of Elune UNUSED|Tempel von Elune
Warrior's Terrace UNUSED|Die Terrasse der Krieger
Rut'theran Village|Rut'theran
Ironband's Compound|Eisenbands Truppenlager
The Stockade|Das Verlies
Wailing Caverns|Die Höhlen des Wehklagens
Blackfathom Deeps|Tiefschwarze Grotte
Fray Island|Prügeleiland
Razorfen Downs|Hügel der Klingenhauer
Ban'ethil Hollow|Lichtung von Ban'ethil
Scarlet Monastery|Das Scharlachrote Kloster
Jerod's Landing|Jerods Anlegestelle
Ridgepoint Tower|Kammwacht
The Darkened Bank|Das Dunkle Ufer
Coldridge Pass|Eisklamm
Chill Breeze Valley|Frosthauchtal
Shimmer Ridge|Schimmergrat
Amberstill Ranch|Gehöft Bernruh
The Tundrid Hills|Die Tundridhügel
South Gate Pass|Südtorpass
South Gate Outpost|Südtoraußenposten
North Gate Pass|Nordtorpass
North Gate Outpost|Nordtoraußenposten
Gates of Ironforge|Tore von Eisenschmiede
Stillwater Pond|Stillwassertümpel
Nightmare Vale|Alptraumtal
Venomweb Vale|Giftwebertal
Razormane Grounds|Revier der Klingenmähnen
Skull Rock|Knochenhöhle
Palemane Rock|Bleichmähnenfels
Windfury Ridge|Windfurienkamm
The Golden Plains|Die Goldenen Ebenen
The Rolling Plains|Die Wogenden Ebenen
Twilight Grove|Zwielichtshain
GM Island|GM-Insel
Purgation Isle|Fegefeuerinsel
The Jansen Stead|Jansens Hof
The Dead Acre|Der Todesacker
The Molsen Farm|Molsens Hof
Stendel's Pond|Stendels Tümpel
The Dagger Hills|Die Dolchhügel
Demont's Place|Demonts Heim
The Dust Plains|Die Staubebenen
Stonesplinter Valley|Splittersteintal
Valley of Kings|Tal der Könige
Algaz Station|Station Algaz
Bucklebree Farm|Hof Schildhöh
The Shining Strand|Der Leuchtende Strand
North Tide's Beachhead|Nördliche Gezeitenbucht
Grizzlepaw Ridge|Grautatzengrat
The Verdant Fields|Die Saftgrünen Felder
Steamwheedle Port|Dampfdruckpier
Sandsorrow Watch|Sandmarterwache
Thistleshrub Valley|Disteltal
The Gaping Chasm|Die Klaffende Schlucht
The Noxious Lair|Der Giftige Unterschlupf
Dunemaul Compound|Truppenlager der Dünenbrecher
Eastmoon Ruins|Ostmondruinen
Waterspring Field|Wasserfeld
Zalashji's Den|Zalashjis Bau
Land's End Beach|Landendestrand
Wavestrider Beach|Wellenschreiterstrand
Ruins of Uldum|Ruinen von Uldum
Valley of the Watchers|Tal der Behüter
Gunstan's Post|Gunstans Posten
Southmoon Ruins|Südmondruinen
Render's Camp|Renders Lager
Render's Valley|Renders Tal
Render's Rock|Renders Fels
Stonewatch Tower|Turm der Steinwacht
Galardell Valley|Galardelltal
Lakeridge Highway|Uferpfad
Three Corners|Drei Ecken
Direforge Hill|Hügel der Düsterschmiede
Raptor Ridge|Raptorgrat
Black Channel Marsh|Schwarzkanalmarschen
The Green Belt|Der Grüne Gürtel
Mosshide Fen|Moosfellmoor
Thelgen Rock|Thelgenfelsen
Bluegill Marsh|Blaukiemenmarschen
Saltspray Glen|Salzgischtschlucht
Sundown Marsh|Sonnenwendmarschen
Angerfang Encampment|Lager der Grollhauer
Dragonmaw Gates|Tore des Drachenmals
The Lost Fleet|Die Verlorene Flotte
Darrow Hill|Darrohügel
Webwinder Path|Weberpass
The Hushed Bank|Das Stille Ufer
Manor Mistmantle|Anwesen der Dunstmantels
Grimtotem Compound|Truppenlager der Grimmtotems
The Writhing Deep|Die Gewundene Tiefe
Wildwind Lake|Wildwindsee
Gordunni Outpost|Außenposten der Gordunni
Feral Scar Vale|Wildschrammtal
Frayfeather Highlands|Fransenfederhochland
Idlewind Lake|Idlewindsee
The Forgotten Coast|Die Vergessene Küste
East Pillar|Ostsäule
West Pillar|Westsäule
Dream Bough|Traumgeäst
Jademir Lake|Jademirsee
Ruins of Ravenwind|Ruinen von Rabenwind
Rage Scar Hold|Wutschrammfeste
Ruins of Feathermoon|Ruinen der Mondfederfeste
Ruins of Solarsal|Ruinen von Solarsal
The Twin Colossals|Die Zwillingskolosse
Sardor Isle|Insel Sardor
Isle of Dread|Die Insel des Schreckens
High Wilderness|Die Obere Wildnis
Lower Wilds|Die Untere Wildnis
Southern Gold Road|Südliche Goldstraße
Utgarde Pinnacle|Turm Utgarde
Blackmaw Hold|Schwarzschlundfeste
Vanndir Encampment|Vanndirlager
Legash Encampment|Lager der Legashi
Darnassian Base Camp|Darnassisches Basislager
Ruins of Eldarath|Ruinen von Eldarath 
Hetaera's Clutch|Hetaeras Gelege
Temple of Zin-Malor|Tempel von Zin-Malor
Bear's Head|Bärenkopf
Ruins of Arkkoran|Ruinen von Arkkoran
Bay of Storms|Die Bucht der Stürme
The Shattered Strand|Strand der Trümmer
Tower of Eldara|Turm von Eldara
Jagged Reef|Gezacktes Riff
Southridge Beach|Südklippenufer
Ravencrest Monument|Rabenkrones Monument
Forlorn Ridge|Der Einsame Grat
Lake Mennar|Mennarsee
Shadowsong Shrine|Schattensangschrein
Haldarr Encampment|Lager der Haldarr
The Ruined Reaches|Die Verfallenen Gegenden
Talondeep Vale|Steinkrallental
The Talondeep Path|Der Steinkrallenpfad
Rocktusk Farm|Felshauerhof
Jaggedswine Farm|Scheckeneberhof
Lost Rigger Cove|Mast- und Schotbucht
Gallows' Corner|Galgeneck
Emerald Forest|Smaragdwald
Sunken Temple|Versunkener Tempel
Dreadmaul Hold|Feste Schreckensfels
Nethergarde Keep|Burg Nethergarde
Dreadmaul Post|Schreckensfelsposten
Serpent's Coil|Schlangenschlinge
Firewatch Ridge|Feuerwachtgrat
The Slag Pit|Die Schlackengrube
The Sea of Cinders|Das Meer der Asche
Thorium Point|Thoriumspitze
Nethergarde Mines|Mine von Nethergarde
The Temple of Atal'Hakkar|Der Tempel von Atal'Hakkar
Undercity|Unterstadt
Not Used Deadmines|Nicht benutzt - Todesminen
Stormwind City|Sturmwind
Ironforge|Eisenschmiede
Splithoof Hold|Spalthufhöhle
Cape of Stranglethorn|Schlingendornkap
Southern Savage Coast|Südliche Ungezähmte Küste
Unused Ironclad Cove 003|Eiserne Bucht
The Deadmines|Die Todesminen
Ironclad Cove|Eiserne Bucht
Blackrock Spire|Schwarzfelsspitze
Blackrock Depths|Die Schwarzfelstiefen
Grol'dom Farm UNUSED|Grol'dom Hof UNUSED
Mor'shan Base Camp|Stützpunkt Mor'shan
Honor's Stand UNUSED|Ehrenwacht
Valley of Heroes|Das Tal der Helden
Thunder Bluff|Donnerfels
Elder Rise|Die Anhöhe der Ältesten
Spirit Rise|Die Anhöhe der Geister
Hunter Rise|Die Anhöhe der Jäger
Cenarion Enclave|Die Enklave des Cenarius
Craftsmen's Terrace|Die Terrasse der Handwerker
Warrior's Terrace|Die Terrasse der Krieger
The Temple Gardens|Die Tempelgärten
Tradesmen's Terrace|Die Terrasse der Händler
Gavin's Naze|Gavins Landspitze
Sofera's Naze|Soferas Landspitze
Corrahn's Dagger|Corrahns Dolch
The Headland|Die Landzunge
Misty Shore|Nebelufer
Dandred's Fold|Dandreds Senke
Growless Cave|Eisfellhöhle
Chillwind Point|Zugwindspitze
Bramblescar|Dornennarbe
Thorn Hill|Dornenhügel
Honor's Stand|Ehrenwacht
The Mor'shan Rampart|Schutzwall von Mor'shan
Grol'dom Farm|Grol'doms Hof
Mistvale Valley|Nebeltal
Nek'mani Wellspring|Nek'maniquellbrunnen
Hardwrench Hideaway|Hartzangs Versteck
Venture Co. Base Camp|Stützpunkt der Venture Co.
Gurubashi Arena|Arena der Gurubashi
Spirit Den|Geisterhöhlenbau
The Crimson Veil|Die Purpurschleier
The Riptide|Die Springflut
The Damsel's Luck|"Die ""Maid im Glück"""
Venture Co. Operations Center|Arbeitszentrale der Venture Co.
Deadwood Village|Lager der Totenwaldfelle
Felpaw Village|Revier der Teufelspfoten
Bloodvenom River|Blutgiftbach
Bloodvenom Falls|Die Blutgiftfälle
Shatter Scar Vale|Narbengrund
Irontree Woods|Der Eisenwald
Irontree Cavern|Eisenwaldhöhle
Timbermaw Hold|Holzschlundfeste
Shadow Hold|Schattenfeste
Shrine of the Deceiver|Schrein des Betrügers
Purespring Cavern|Reinquellhöhle
Sorrowmurk|Sorgendunkel
Draenil'dur Village|Draenil'dur
Splinterspear Junction|Splitterspeerkreuzung
Stagalbog|Stagalsumpf
The Shifting Mire|Der Wabersumpf
Stagalbog Cave|Stagalsumpfhöhle
Witherbark Caverns|Höhlen der Bleichborken
Boulder'gor|Fels'gor
Valley of Fangs|Fangzahntal
The Dustbowl|Das Staubbecken
Mirage Flats|Illusionenebene
Featherbeard's Hovel|Federbarts Hütte
Shindigger's Camp|Kniegräbers Lager
Plaguemist Ravine|Seuchennebelklamm
Valorwind Lake|Ehrenwindsee
Hiri'watha Research Station|Forschungsstation Hiri'watha
The Creeping Ruin|Die Gruselruinen
Bogen's Ledge|Bogens Kante
The Maker's Terrace|Terrasse des Schöpfers
Dustwind Gulch|Staubwindschlucht
Noonshade Ruins|Tagschattenruinen
Broken Pillar|Zerbrochene Säule
Abyssal Sands|Die Ewigen Sande
Southbreak Shore|Südbrandung
Caverns of Time|Höhlen der Zeit
The Marshlands|Die Marschen
Ironstone Plateau|Eisensteinplateau
Blackchar Cave|Schwarzbrandhöhle
Tanner Camp|Gerbers Lager
Dustfire Valley|Staubfeuertal
Misty Reed Farm|Die Nebelschilffarm
Bloodvenom Post|Blutgiftposten 
Talonbranch Glade|Nachtlaublichtung 
Twilight Vale|Das Zwielichttal
Twilight Shore|Das Zwielichtufer
Alcaz Island|Insel Alcaz
Darkcloud Pinnacle|Düsterwolkengipfel
Dawning Wood Catacombs|Katakomben des Morgenwaldes
Stonewatch Keep|Burg Steinwacht
Stoutlager Inn|Gasthof zum Starkbierlager
Thunderbrew Distillery|Brauerei Donnerbräu
Menethil Keep|Burg Menethil
Deepwater Tavern|Tiefenwassertaverne
Shadow Grave|Schattengrab
Brill Town Hall|Rathaus von Brill
Gallows' End Tavern|"Taverne ""Zur Galgenschlinge"""
The Pools of VisionUNUSED|Die Teiche der Visionen
Dreadmist Den|Glutnebelbau
Emberstrife's Den|Aschenschwinges Bau
Onyxia's Lair|Onyxias Hort
Windshear Mine|Scherwindmine
Roland's Doom|Rolands Verdammnis
Battle Ring|Kampfring
The Pools of Vision|Die Teiche der Visionen
Shadowbreak Ravine|Schattenklamm
Broken Spear Village|Bruchspeeringen
Whitereach Post|Weißgipfelposten
Zane's Eye Crater|Zanes Augenkrater
