Original|Translated
Jeff NW Quadrant|Джефф СЗ Квадрант
Jeff SE Quadrant|Джефф ЮВ Квадрант
Jeff SW Quadrant|Джефф ЮЗ Квадрант
Tirisfal Glades|Тирисфальские леса
Stone Cairn Lake|Озеро Каменных Столбов
Goldshire|Златоземье
Eastvale Logging Camp|Лесопилка Восточной долины
Mirror Lake Orchard|Сад у Зеркального озера
Tower of Azora|Башня Азоры
Mirror Lake|Зеркальное озеро
Vul'Gol Ogre Mound|Лощина Вул'Гол
Raven Hill|Вороний Холм
Redridge Canyons|Каньоны Красногорья
Tower of Ilgalar|Башня Илгалара
Alther's Mill|Лесопилка Альтера
Rethban Caverns|Пещеры Ретбана
Rebel Camp|Лагерь Повстанцев
Nesingwary's Expedition|Экспедиция Эрнестуэя
Kurzen's Compound|Лагерь Курцена
Ruins of Zul'Kunda|Руины Зул'Кунды
Ruins of Zul'Mamwe|Руины Зул'Мамве
The Vile Reef|Коварный риф
Mosh'Ogg Ogre Mound|Холм Мош'Огг
The Stockpile|Схрон
Saldean's Farm|Ферма Сальдена
Sentinel Hill|Сторожевой холм
Furlbrow's Pumpkin Farm|Тыквенная ферма Хмуроброва
Jangolode Mine|Рудник Янго
Gold Coast Quarry|Прииск на Золотом Берегу
Westfall Lighthouse|Маяк в Западном крае
Misty Valley|Туманная долина
Grom'gol Base Camp|Лагерь Гром'гол
Whelgar's Excavation Site|Раскопки Вельгара
Westbrook Garrison|Гарнизон у Западного ручья
Tranquil Gardens Cemetery|Безмятежное кладбище
Zuuldaia Ruins|Руины Зуулдая
Bal'lal Ruins|Руины Бал'лал
Kal'ai Ruins|Руины Кал'аи
Tkashi Ruins|Руины Ткаши
Balia'mah Ruins|Руины Балиа'ма
Ziata'jai Ruins|Руины Зиата'джаи
Mizjah Ruins|Руины Мизжа
Silverpine Forest|Серебряный бор
Kharanos|Каранос
Coldridge Valley|Холодная долина
New Tinkertown|Новый Город Механиков
Gol'Bolar Quarry|Карьер Гол'Болар
Frostmane Hold|Форт Мерзлогривов
The Grizzled Den|Серая берлога
Brewnall Village|Поселок Пивоваров
Misty Pine Refuge|Сторожка у заснеженной сосны
Eastern Plaguelands|Восточные Чумные земли
Teldrassil|Росток
Ironband's Excavation Site|Раскопки Сталекрута
Mo'grosh Stronghold|Оплот Мо'грош
Thelsamar|Телсамар
Algaz Gate|Врата Альгаза
Stonewrought Dam|Каменная Плотина
The Farstrider Lodge|Приют Странников
Darkshore|Темные берега
Silver Stream Mine|Серебряные копи
Menethil Harbor|Гавань Менетилов
Designer Island|Остров Дизайнера
The Bulwark|Бастион
Ruins of Lordaeron|Руины Лордерона
Deathknell|Похоронный Звон
Night Web's Hollow|Паучья низина
Solliden Farmstead|Усадьба Соллиден
Agamand Mills|Мельницы Агамондов
Agamand Family Crypt|Семейная усыпальница Агамондов
Brill|Брилл
Whispering Gardens|Шепчущие сады
Terrace of Repose|Терраса Покоя
Brightwater Lake|Озеро Ясноводное
Gunther's Retreat|Приют Гюнтера
Garren's Haunt|Ферма Гаррена
Balnir Farmstead|Усадьба Балнира
Cold Hearth Manor|"Поместье ""Остывший Очаг"""
Crusader Outpost|Застава Алого Ордена
The North Coast|Северное побережье
Whispering Shore|Шепчущий берег
Lordamere Lake|Озеро Лордамер
Fenris Isle|Остров Фенриса
Faol's Rest|Могила Фаола
Dolanaar|Доланаар
Darnassus UNUSED|Дарнас НЕ ИСПОЛЬЗУЕТСЯ
Shadowglen|Тенистая долина
Steelgrill's Depot|Поселок Сталежара
Hearthglen|Дольный Очаг
Northridge Lumber Camp|Лесопилка Северного Кряжа
Andorhal|Андорал
School of Necromancy|Школа некромантии
Uther's Tomb|Гробница Утера
Sorrow Hill|Холм печали
The Weeping Cave|Грот Слез
Felstone Field|Поле Джанис
Dalson's Farm|Ферма Далсона
Gahrron's Withering|Пустошь Гаррона
The Writhing Haunt|Удел Страданий
Mardenholde Keep|Крепость Марденхольд
Pyrewood Village|Деревня Погребальных Костров
Dun Modr|Дун Модр
Utgarde Keep|Крепость Утгард
The Great Sea|Великое море
Unused Ironcladcove|Не используется Потайная бухта
Shadowfang Keep|Крепость Темного Клыка
Icecrown|Ледяная Корона
Iceflow Lake|Заледеневшее озеро
Helm's Bed Lake|Озеро Хельмово Ложе
Deep Elem Mine|Серебряный рудник
Mulgore|Мулгорский
Alexston Farmstead|Поместье Алекстона
Red Cloud Mesa|Плато Красного Облака
Camp Narache|Лагерь Нараче
Bloodhoof Village|Деревня Кровавого Копыта
Stonebull Lake|Озеро Каменного Быка
Ravaged Caravan|Разграбленный караван
Red Rocks|Красные скалы
The Skittering Dark|Оплетающая Тьма
Valgan's Field|Поле Валгана
The Sepulcher|Гробница
Olsen's Farthing|Удел Ольсена
The Greymane Wall|Стена Седогрива
Beren's Peril|Погибель Берена
The Dawning Isles|Рассветные острова
Ambermill|Янтарная мельница
Fenris Keep|Крепость Фенриса
The Decrepit Fields|Старая пашня
Malden's Orchard|Сад Мальдена
The Ivar Patch|Делянка Ивара
The Dead Field|Мертвое поле
The Rotting Orchard|Гниющий сад
Brightwood Grove|Светлая роща
Forlorn Rowe|Покинутая усадьба
The Whipple Estate|Имение Уиппл
The Yorgen Farmstead|Усадьба Йоргена
The Cauldron|Котлован
Grimesilt Dig Site|Карьер Грязнули
Dreadmaul Rock|Скала Молота Ужаса
Ruins of Thaurissan|Руины Тауриссана
Flame Crest|Пламенеющий Стяг
Blackrock Stronghold|Крепость Черной горы
The Pillar of Ash|Башня Пепла
Altar of Storms|Алтарь бури
Aldrassil|Альдрассил
Shadowthread Cave|Паучье логово
Fel Rock|Пещера Бесов
Lake Al'Ameth|Озеро Аль'Амет
Starbreeze Village|Деревня Звездного Ветра
Gnarlpine Hold|Лагерь у Кривой Сосны
Ban'ethil Barrow Den|Обитель Бен'этиль
The Cleft|Расселина
The Oracle Glade|Поляна Оракула
Wellspring River|Родниковая река
Wellspring Lake|Родниковое озеро
Hillsbrad Foothills|Предгорья Хилсбрада
Azshara Crater|Кратер Азшары
Dun Algaz|Дун Альгаз
Ruins of Southshore|Руины Южнобережья
Tarren Mill|Мельница Таррен
Durnholde Keep|Крепость Дарнхольд
UNUSED Stonewrought Pass|НЕ ИСПОЛЬЗУЕТСЯ Подгорная тропа
The Foothill Caverns|Пещеры предгорий
Brazie Farmstead|Усадьба Брейзи
Dalaran Crater|Даларанский кратер
Strahnbrad|Странбрад
Ruins of Alterac|Руины Альтерака
Crushridge Hold|Логово Раздробленного Хребта
Slaughter Hollow|Кровавая низина
The Uplands|Высокогорье
Southpoint Gate|Южные врата
The Sludge Fields|Топкие поля
Hillsbrad|Хилсбрад
Azurelode Mine|Лазуритовый рудник
Nethander Stead|Владение Нетандера
Dun Garok|Дун Гарок
Thoradin's Wall|Стена Торадина
Eastern Strand|Восточное побережье
Western Strand|Западное побережье
South Seas UNUSED|Южные моря НЕ ИСПОЛЬЗУЕТСЯ
Jaguero Isle|Остров Жагуаро
Baradin Bay|Бухта Барадин
Menethil Bay|Бухта Менетилов
Misty Reed Strand|Тростниковый берег
The Savage Coast|Гибельный берег
The Crystal Shore|Хрустальное взморье
Shell Beach|Ракушечный пляж
North Tide's Run|Берег Северного прилива
South Tide's Run|Берег Южного прилива
The Overlook Cliffs|Отвесные скалы
The Forbidding Sea|Зловещее море
Ironbeard's Tomb|Гробница Железноборода
Crystalvein Mine|Хрустальная шахта
Ruins of Aboraz|Руины Абораза
Janeiro's Point|Остров Жанейро
Northfold Manor|Северное поместье
Go'Shek Farm|Ферма Го'Шека
Dabyrie's Farmstead|Усадьба Дабири
Boulderfist Hall|Крепость Тяжелого Кулака
Witherbark Village|Деревня Сухокожих
Drywhisker Gorge|Теснина Сухоусов
Refuge Pointe|Опорный пункт
Hammerfall|Павший Молот
Blackwater Shipwrecks|Обломки судов Черноводья
O'Breen's Camp|Лагерь О'Брина
Stromgarde Keep|Крепость Стромгард
The Tower of Arathor|Башня Аратора
The Sanctum|Святилище
Faldir's Cove|Бухта Фальдира
The Drowned Reef|Подводный риф
Thandol Span|Мост Тандола
Ashenvale|Ясеневый лес
Circle of East Binding|Восточный круг подчинения
Circle of West Binding|Западный круг подчинения
Circle of Inner Binding|Внутренний круг подчинения
Circle of Outer Binding|Внешний круг подчинения
Apocryphan's Rest|Скелет Апокрифана
Angor Fortress|Крепость Ангор
Lethlor Ravine|Долина Летлор
Ruins of Kargath|Руины Каргата
Camp Kosh|Лагерь Кош
Camp Boff|Лагерь Бофф
Camp Wurg|Лагерь Вург
Camp Cagg|Лагерь Кэгг
Agmond's End|Удел Эгмонда
Hammertoe's Digsite|Карьер Тяжелоступа
Dustbelch Grotto|Грот Гнилобрюхих
Aerie Peak|Заоблачный пик
Wildhammer Keep|Крепость Громового Молота
Quel'Danil Lodge|Сторожка Кель'Данил
Skulk Rock|Осклизлая скала
Zun'watha|Зун'вата
Shadra'Alor|Шадра'Алор
Jintha'Alor|Джинта'Алор
The Altar of Zul|Алтарь Зула
Seradane|Серадан
Feralas|Фералас
Brambleblade Ravine|Ежевичная лощина
The Venture Co. Mine|Рудник Торговой компании
Felwood|Оскверненный лес
Razor Hill|Колючий Холм
Valley of Trials|Долина Испытаний
The Den|Логово
Burning Blade Coven|Грот Пылающего Клинка
Northwatch Foothold|Крепость Северной стражи
Sen'jin Village|Деревня Сен'джин
Echo Isles|Острова Эха
Thunder Ridge|Громовой хребет
Drygulch Ravine|Сухая лощина
Dustwind Cave|Пещера Пыльного Ветра
Tiragarde Keep|Крепость Тирагард
Scuttle Coast|Берег Разбитых Кораблей
Bladefist Bay|Бухта Острорука
Deadeye Shore|Взморье Мертвого Глаза
Southfury River|Река Строптивая
Far Watch Post|Дальняя застава
The Crossroads|Перекресток
Boulder Lode Mine|Каменный карьер
The Sludge Fen|Нефтяное болото
The Dry Hills|Сухие холмы
Dreadmist Peak|Вершина Багрового Тумана
The Forgotten Pools|Забытые пруды
Lushwater Oasis|Цветущий оазис
The Stagnant Oasis|Застывший оазис
The Merchant Coast|Торговое побережье
Ratchet|Кабестан
Darkspear Strand|Побережье Черного Копья
Grizzly Hills|Седые холмы
Grizzlemaw|Седая Пасть
Winterhoof Water Well|Колодец Заиндевевшего Копыта
Thunderhorn Water Well|Колодец Громового Рога
Wildmane Water Well|Колодец Буйной Гривы
Skyline Ridge|Гряда на горизонте
Thousand Needles|Тысяча Игл
The Tidus Stair|Лестница Прилива
Shady Rest Inn|"Таверна ""Последний привал"""
Bael'dun Digsite|Раскопки Бейл'дана
Desolace|Пустоши
Stonetalon Mountains|Когтистые горы
Orgrimmar UNUSED|Оргриммар НЕ ИСПОЛЬЗУЕТСЯ
Gillijim's Isle|Остров Гиллиджима
Island of Doctor Lapidis|Остров доктора Лапидиса
Razorwind Canyon|Каньон Колючего Ветра
Bathran's Haunt|Убежище Батрана
The Ruins of Ordil'Aran|Руины Ордил'Арана
Maestra's Post|Застава Мейстры
The Zoram Strand|Зорамское взморье
Astranaar|Астранаар
The Shrine of Aessina|Святилище Эссины
Fire Scar Shrine|Святилище Огненной Расщелины
The Ruins of Stardust|Руины Звездной Пыли
The Howling Vale|Воющая долина
Silverwind Refuge|Приют Серебряного Ветра
Mystral Lake|Озеро Мистраль
Fallen Sky Lake|Зеркало Небес
Remains of Iris Lake|Обмелевшее озеро Ирис
Moonwell of Purity|Лунный колодец чистоты
Raynewood Retreat|Приют в Ночных Лесах
The Shady Nook|Тенистый закоулок
Night Run|Ночная поляна
Xavian|Ксавиан
Satyrnaar|Сатирнаар
Splintertree Post|Застава Расщепленного Дерева
The Dor'Danil Barrow Den|Обитель Дор'Данил
Falfarren River|Река Фалфаррен
Felfire Hill|Холм Демонического Огня
Demon Fall Canyon|Каньон Гибели Демона
Demon Fall Ridge|Гряда Гибели Демона
Warsong Lumber Camp|Лесозаготовки Песни Войны
Bough Shadow|Тенистая Крона
The Shimmering Flats|Мерцающая равнина
Tanaris|Танарис
Lake Falathim|Озеро Фалатим
Ruins of Auberdine|Руины Аубердина
Ruins of Mathystra|Руины Матистры
Tower of Althalaxx|Башня Алталакса
Cliffspring Falls|Водопад Скалистый
Bashal'Aran|Башал'Аран
Ameth'Aran|Амет'Аран
Grove of the Ancients|Роща Древних
The Master's Glaive|Меч Властителя
Remtravel's Excavation|Раскопки Сомнамбулера
Mist's Edge|Туманный Предел
The Long Wash|Длинный пролив
Wildbend River|Петляющая река
Blackwood Den|Берлога племени Чернолесья
Cliffspring River|Река Скалистая
The Veiled Sea|Сокрытое море
Gold Road|Золотой Путь
Scarlet Watch Post|Сторожевой пост Алого ордена
Sun Rock Retreat|Приют у Солнечного Камня
Windshear Crag|Утес Ветрорезов
Cragpool Lake|Скалистое озеро
Mirkfallon Lake|Мутное озеро
The Charred Vale|Обугленная долина
Valley of the Bloodfuries|Долина Кровавой Ярости
Stonetalon Peak|Пик Каменного Когтя
The Talon Den|Логово Когтя
Greatwood Vale|Долина Высокого леса
Thunder Bluff UNUSED|Громовой Утес НЕ ИСПОЛЬЗУЕТСЯ
Brave Wind Mesa|Плато Дерзкого Ветра
Fire Stone Mesa|Плато Огненного Камня
Mantle Rock|Скала Мантия
Hunter Rise UNUSED|Вершина Охотников НЕ ИСПОЛЬЗУЕТСЯ
Spirit RiseUNUSED|Уступ Духов НЕ ИСПОЛЬЗУЕТСЯ
Elder RiseUNUSED|Вершина Старейшин НЕ ИСПОЛЬЗУЕТСЯ
Ruins of Jubuwal|Руины Жубуваля
Pools of Arlithrien|Пруды Арлитриэна
The Rustmaul Dig Site|Карьер Ржавой Кувалды
Camp E'thok|Лагерь Э'Ток
Splithoof Crag|Скала Треснувшего Копыта
Highperch|Скальное гнездовье
The Screeching Canyon|Каньон Визга
Freewind Post|Застава Вольного Ветра
The Great Lift|Великий подъемник
Galak Hold|Форт Галак
Roguefeather Den|Логово Легкоперых
The Weathered Nook|Угол Семи Ветров
Thalanaar|Таланаар
Un'Goro Crater|Кратер Ун'Горо
Razorfen Kraul|Лабиринты Иглошкурых
Raven Hill Cemetery|Кладбище Вороньего Холма
Moonglade|Лунная поляна
Howling Fjord|Ревущий фьорд
Brackenwall Village|Деревня Гиблотопь
Swamplight Manor|"Сторожка ""Болотный огонек"""
Bloodfen Burrow|Логово Кровавой Топи
Darkmist Cavern|Мглистая пещера
Moggle Point|Вершина Моггл
Beezil's Wreck|Место крушения дирижабля Бизила
Witch Hill|Ведьмин холм
Sentry Point|Сторожевой пост
North Point Tower|Северная башня
West Point Tower|Западная башня
Lost Point|Разрушенная башня
Bluefen|Синяя топь
Stonemaul Ruins|Руины Деревни Каменного Молота
The Den of Flame|Огненное логово
The Dragonmurk|Земля Драконов
Wyrmbog|Драконьи топи
Blackhoof Village|Деревня Черного Копыта
Theramore Isle|Остров Терамор
Foothold Citadel|Цитадель
Ironclad Prison|Потайная бухта
Dustwallow Bay|Пылевая бухта
Tidefury Cove|Залив Яростных Волн
Dreadmurk Shore|Зловещий берег
Addle's Stead|Участок Эддла
Fire Plume Ridge|Вулкан Огненного Венца
Lakkari Tar Pits|Смоляные ямы Лаккари
Terror Run|Путь Ужаса
The Slithering Scar|Скользкий овраг
Marshal's Refuge|Укрытие Маршалла
Fungal Rock|Пещера лишайников
Golakka Hot Springs|Горячие источники Голакка
The Loch|Озеро Лок
Beggar's Haunt|Приют Бродяги
Kodo Graveyard|Кладбище кодо
Ghost Walker Post|Застава Скитающихся Духов
Sar'theris Strand|Побережье Сар'Терис
Thunder Axe Fortress|Крепость Громового Топора
Bolgan's Hole|Пещера Болгана
Mannoroc Coven|Поле Маннорок
Sargeron|Саргерон
Shok'Thokar|Шок'Токар
Gelkis Village|Деревня Гелкис
Valley of Spears|Долина Копий
Nijel's Point|Высота Найджела
Kolkar Village|Деревня Колкар
Mount Hyjal|Гора Хиджал
Winterspring|Зимние Ключи
Blackwolf River|Волчья река
Kodo Rock|Дольмен Кодо
Hidden Path|Потайная тропа
Spirit Rock|Священный Камень
Shrine of the Dormant Flame|Святилище Дремлющего Пламени
Lake Elune'ara|Озеро Элуне'ара
The Harborage|Убежище
Outland|Запределье
Craftsmen's Terrace UNUSED|Терраса ремесленников НЕ ИСПОЛЬЗУЕТСЯ
Tradesmen's Terrace UNUSED|Терраса торговцев НЕ ИСПОЛЬЗУЕТСЯ
The Temple Gardens UNUSED|Храмовые сады НЕ ИСПОЛЬЗУЕТСЯ
Temple of Elune UNUSED|Храм Элуны НЕ ИСПОЛЬЗУЕТСЯ
Cenarion Enclave UNUSED|Анклав Кенария НЕ ИСПОЛЬЗУЕТСЯ
Warrior's Terrace UNUSED|Терраса Воинов НЕ ИСПОЛЬЗУЕТСЯ
Rut'theran Village|Деревня Рут'теран
Ironband's Compound|Мастерская Сталекрута
The Stockade|Тюрьма
Wailing Caverns|Пещеры Стенаний
Blackfathom Deeps|Непроглядная Пучина
Fray Island|Остров Битв
Gnomeregan|Гномреганский
Razorfen Downs|Курганы Иглошкурых
Ban'ethil Hollow|Лощина Бен'этиль
Scarlet Monastery|Монастырь Алого ордена
Jerod's Landing|Лагерь Джерода
Ridgepoint Tower|Дозорная башня
The Darkened Bank|Темный берег
Coldridge Pass|Туннель Холодной долины
Chill Breeze Valley|Долина Промозглого Ветра
Shimmer Ridge|Мерцающий хребет
Amberstill Ranch|Ферма Янтарленов
The Tundrid Hills|Холмы Тандрид
South Gate Pass|Южные врата
South Gate Outpost|Застава у Южных врат
North Gate Pass|Северные врата
North Gate Outpost|Застава у Северных врат
Gates of Ironforge|Врата Стальгорна
Stillwater Pond|Тихий омут
Nightmare Vale|Долина Кошмаров
Venomweb Vale|Долина ядовитых пауков
Razormane Grounds|Земли Иглогривых
Skull Rock|Скала Черепа
Palemane Rock|Утес Бледногривов
Windfury Ridge|Гряда Неистовства Ветра
The Golden Plains|Золотые равнины
The Rolling Plains|Холмистые равнины
Twilight Grove|Мглистая роща
GM Island|Остров ГМ
Purgation Isle|Остров Очищения
The Jansen Stead|Владение Янсена
The Dead Acre|Мертвая пашня
The Molsen Farm|Ферма Мольсена
Stendel's Pond|Пруд Стенделя
The Dagger Hills|Холмы Кинжалов
Demont's Place|Участок Демонта
The Dust Plains|Пыльные равнины
Stonesplinter Valley|Долина Камнедробов
Valley of Kings|Долина Королей
Algaz Station|Станция Альгаз
Bucklebree Farm|Ферма Баклбри
The Shining Strand|Сияющий берег
North Tide's Beachhead|Северная приливная низина
Grizzlepaw Ridge|Хребет Седых Лап
The Verdant Fields|Зеленеющие поля
Gadgetzan|Прибамбасск
Steamwheedle Port|Порт Хитрой Шестеренки
Zul'Farrak|Зул'Фаррак
Sandsorrow Watch|Застава Скорбных Песков
Thistleshrub Valley|Долина Кактусов
The Gaping Chasm|Зияющая бездна
The Noxious Lair|Ядовитый улей
Dunemaul Compound|Поселение Песчаного Молота
Eastmoon Ruins|Руины Восточной Луны
Waterspring Field|Родниковое поле
Zalashji's Den|Логово Залашьи
Land's End Beach|Пляж на Краю Света
Wavestrider Beach|Берег Морского Бродяги
Ruins of Uldum|Руины Ульдума
Valley of the Watchers|Долина Стражей
Gunstan's Post|Застава Ганстена
Southmoon Ruins|Руины Южной Луны
Render's Camp|Лагерь Ренда
Render's Valley|Долина Ренда
Render's Rock|Скала Ренда
Stonewatch Tower|Башня Каменной Стражи
Galardell Valley|Долина Галарделл
Lakeridge Highway|Озерный тракт
Three Corners|Три Угла
Direforge Hill|Зловещий холм
Raptor Ridge|Гряда Ящеров
Black Channel Marsh|Черная трясина
The Green Belt|Зеленый Пояс
Mosshide Fen|Болото Мохошкуров
Thelgen Rock|Пещера Тельгена
Bluegill Marsh|Болота Синежабрых
Saltspray Glen|Долина Солевого Тумана
Sundown Marsh|Закатное болото
Angerfang Encampment|Лагерь Злого Клыка
Grim Batol|Грим Батол
Dragonmaw Gates|Врата Драконьей Пасти
The Lost Fleet|Погибший Флот
Darrow Hill|Холм Дарроу
Webwinder Path|Паучий тракт
The Hushed Bank|Затихший берег
Manor Mistmantle|Поместье Мистмантла
Camp Mojache|Лагерь Мохаче
Grimtotem Compound|Лагерь Зловещего Тотема
The Writhing Deep|Гудящая Бездна
Wildwind Lake|Штормовое озеро
Gordunni Outpost|Поселение Гордунни
Mok'Gordun|Мок'Гордун
Feral Scar Vale|Долина Свирепого Утеса
Frayfeather Highlands|Высокогорье Блеклых Перьев
Idlewind Lake|Озеро Тихого Ветра
The Forgotten Coast|Забытый берег
East Pillar|Восточная колонна
West Pillar|Западная колонна
Dream Bough|Сонные Ветви
Jademir Lake|Нефритовое озеро
Oneiros|Онейрос
Ruins of Ravenwind|Руины Яростного Ветра
Rage Scar Hold|Пещера Бешеного оврага
Ruins of Feathermoon|Руины Оперенной Луны
Ruins of Solarsal|Руины Соларсаля
Lower Wilds UNUSED|Низинные чащобы НЕ ИСПОЛЬЗУЕТСЯ
The Twin Colossals|Два Колосса
Sardor Isle|Остров Сардор
Isle of Dread|Остров Ужаса
High Wilderness|Высокогорные дебри
Lower Wilds|Низинные чащобы
Southern Gold Road|Южный Золотой Путь
Utgarde Pinnacle|Вершина Утгард
Blackmaw Hold|Логово Черночревов
Vanndir Encampment|Лагерь Ванндир
Legash Encampment|Лагерь Легаш
Darnassian Base Camp|Лагерь дарнасских эльфов
Ruins of Eldarath|Руины Эльдарата
Hetaera's Clutch|Гнездо Хетайры
Temple of Zin-Malor|Храм Зин-Малор
Bear's Head|Медвежий угол
Ursolan|Урсолан
Ruins of Arkkoran|Руины храма Арккоран
Bay of Storms|Залив Бурь
The Shattered Strand|Разоренное побережье
Tower of Eldara|Башня Эльдары
Jagged Reef|Острые рифы
Southridge Beach|Южный пляж
Ravencrest Monument|Памятник Гребню Ворона
Forlorn Ridge|Одинокая вершина
Lake Mennar|Озеро Меннар
Shadowsong Shrine|Святилище Песни Теней
Haldarr Encampment|Лагерь Халдарр
Valormok|Храбростан
The Ruined Reaches|Опустошенный берег
Talondeep Vale|Дол Когтя
The Talondeep Path|Туннель Когтя
Rocktusk Farm|Ферма Каменного Клыка
Jaggedswine Farm|Свиноферма
Lost Rigger Cove|Бухта Сорванных Парусов
Uldaman|Ульдаман
Gallows' Corner|Перекресток Висельников
Silithus|Силитус
Emerald Forest|Изумрудный лес
Sunken Temple|Затонувший храм
Dreadmaul Hold|Форт Молота Ужаса
Nethergarde Keep|Крепость Стражей Пустоты
Dreadmaul Post|Стоянка Молота Ужаса
Serpent's Coil|Змеиные Кольца
Firewatch Ridge|Гряда Огненной стражи
The Slag Pit|Шлаковая Яма
The Sea of Cinders|Пепельное Море
Thorium Point|Лагерь Братства Тория
Nethergarde Mines|Рудники гарнизона
The Temple of Atal'Hakkar|Храм Атал'Хаккар
Undercity|Подгородский
Not Used Deadmines|Не использующиеся Мертвые копи
Stormwind City|Штормград
Ironforge|Стражник
Splithoof Hold|Оплот Треснувшего Копыта
Cape of Stranglethorn|Мыс Тернистой долины
Southern Savage Coast|Южный Гибельный берег
The Deadmines|Мертвые копи
Ironclad Cove|Потайная бухта
Blackrock Spire|Пик Черной горы
Blackrock Depths|Глубины Черной горы
Raptor Grounds UNUSED|Земли ящеров НЕ ИСПОЛЬЗУЕТСЯ
Grol'dom Farm UNUSED|Ферма Гроль'дома НЕ ИСПОЛЬЗУЕТСЯ
Mor'shan Base Camp|Лагерь Мор'шан
Honor's Stand UNUSED|Застава Чести НЕ ИСПОЛЬЗУЕТСЯ
Blackthorn Ridge UNUSED|Хребет Черный шип НЕ ИСПОЛЬЗУЕТСЯ
Bramblescar UNUSED|Ежевичный Шип НЕ ИСПОЛЬЗУЕТСЯ
Agama'gor UNUSED|Агамагор НЕ ИСПОЛЬЗУЕТСЯ
Valley of Heroes|Аллея Героев
Orgrimmar|Оргриммарский
Thunder Bluff|Громовой Утес
Elder Rise|Вершина Старейшин
Spirit Rise|Вершина Духов
Hunter Rise|Вершина Охотников
Darnassus|Дарнасская
Cenarion Enclave|Анклав Кенария
Craftsmen's Terrace|Терраса Ремесленников
Warrior's Terrace|Терраса Воинов
The Temple Gardens|Храмовые сады
Tradesmen's Terrace|Терраса Торговцев
Gavin's Naze|Возвышенность Гэвина
Sofera's Naze|Возвышенность Соферы
Corrahn's Dagger|Уступ Коррана
The Headland|Высокий отрог
Misty Shore|Мглистый берег
Dandred's Fold|Овчарня Дандреда
Growless Cave|Промерзшая пещера
Chillwind Point|Берег Промозглого Ветра
Bramblescar|Ежевичный овраг
Thorn Hill|Тернистый холм
Honor's Stand|Застава Чести
The Mor'shan Rampart|Застава Мор'шан
Grol'dom Farm|Ферма Гроль'дома
Mistvale Valley|Мглистая долина
Nek'mani Wellspring|Родник Нек'Мани
Hardwrench Hideaway|Укрытие Кофельнагель
Venture Co. Base Camp|Главный лагерь Торговой компании
Gurubashi Arena|Арена Гурубаши
Spirit Den|Пещера Духов
The Crimson Veil|"""Кровавая завеса"""
The Riptide|Бурун
The Damsel's Luck|Госпожа Удача
Venture Co. Operations Center|Штаб-квартира Торговой компании
Deadwood Village|Деревня Мертвого Леса
Felpaw Village|Деревня Сквернолапов
Jaedenar|Джеденар
Bloodvenom River|Река Отравленной Крови
Bloodvenom Falls|Водопад Отравленной Крови
Shatter Scar Vale|Долина Рваных Ран
Irontree Woods|Железнолесье
Irontree Cavern|Пещера Железнолесья
Timbermaw Hold|Крепость Древобрюхов
Shadow Hold|Оплот Теней
