Original|Translated
Menethil Harbor|米奈希爾港
Designer Island|設計者之島
The Bulwark|亡靈壁壘
Ruins of Lordaeron|羅德隆廢墟
Deathknell|喪鐘鎮
Night Web's Hollow|夜行蜘蛛洞穴
Solliden Farmstead|索利丹農莊
Agamand Mills|阿加曼德磨坊
Agamand Family Crypt|阿加曼德家族墓穴
Brill|布瑞爾
Whispering Gardens|耳語花園
Terrace of Repose|休息區
Brightwater Lake|澈水湖
Gunther's Retreat|岡瑟爾的居所
Garren's Haunt|加倫鬼屋
Balnir Farmstead|巴尼爾農莊
Cold Hearth Manor|爐灰莊園
Crusader Outpost|十字軍前哨
The North Coast|北部海岸
Whispering Shore|耳語海岸
Lordamere Lake|洛丹米爾湖
Fenris Isle|芬里斯島
Faol's Rest|法奧之墓
Dolanaar|多蘭納爾
Shadowglen|幽影谷
Steelgrill's Depot|鋼架補給站
Hearthglen|壁爐谷
Northridge Lumber Camp|北山伐木場
Andorhal|安多哈爾
School of Necromancy|通靈術學校
Uther's Tomb|烏瑟之墓
Sorrow Hill|悔恨嶺
The Weeping Cave|哭泣之洞
Felstone Field|費爾斯通農場
Dalson's Farm|達爾松農場
Gahrron's Withering|蓋羅恩農場
The Writhing Haunt|苦痛鬼屋
Mardenholde Keep|瑪登霍爾德城堡
Pyrewood Village|焚木村
Dun Modr|丹莫德
Utgarde Keep|俄特加德要塞
The Great Sea|無盡之海
Shadowfang Keep|影牙城堡
Icecrown|寒冰皇冠
Iceflow Lake|湧冰湖
Helm's Bed Lake|盔枕湖
Deep Elem Mine|深埃連礦坑
Mulgore|莫高雷
Alexston Farmstead|艾力克斯頓農莊
Red Cloud Mesa|紅雲台地
Camp Narache|納拉其營地
Bloodhoof Village|血蹄村
Stonebull Lake|石牛湖
Ravaged Caravan|被破壞的貨車
Red Rocks|赤色石
The Skittering Dark|粘絲洞
Valgan's Field|瓦爾甘牧場
The Sepulcher|瑟伯切爾
Olsen's Farthing|奧森農場
The Greymane Wall|葛雷邁恩之牆
Beren's Peril|博倫的巢穴
The Dawning Isles|黎明島
Ambermill|安伯米爾
Fenris Keep|芬里斯城堡
The Decrepit Fields|荒廢的農場
Malden's Orchard|瑪爾丁果園
The Ivar Patch|伊瓦農場
The Dead Field|亡者農場
The Rotting Orchard|爛果園
Brightwood Grove|亮木樹林
Forlorn Rowe|荒棄鬼屋
The Whipple Estate|維普爾莊園
The Yorgen Farmstead|猶根農場
The Cauldron|大熔爐
Grimesilt Dig Site|煤渣挖掘場
Dreadmaul Rock|巨槌石
Ruins of Thaurissan|索瑞森廢墟
Flame Crest|烈焰峰
Blackrock Stronghold|黑石要塞
The Pillar of Ash|灰燼之柱
Altar of Storms|風暴祭壇
Aldrassil|奧達希爾
Shadowthread Cave|影絲洞
Fel Rock|惡魔石
Lake Al'Ameth|奧拉密斯湖
Starbreeze Village|星風村
Gnarlpine Hold|脊骨堡
Ban'ethil Barrow Den|班奈希爾獸穴
The Cleft|大斷崖
The Oracle Glade|神諭林地
Wellspring River|湧泉河
Wellspring Lake|湧泉湖
Hillsbrad Foothills|希爾斯布萊德丘陵
Azshara Crater|艾薩拉盆地
Dun Algaz|丹奧加茲
Ruins of Southshore|南海鎮廢墟
Tarren Mill|塔倫米爾
Durnholde Keep|敦霍爾德城堡
The Foothill Caverns|丘陵洞穴
Brazie Farmstead|布瑞奇農莊
Dalaran Crater|達拉然陷坑
Strahnbrad|斯坦恩布萊德
Ruins of Alterac|奧特蘭克廢墟
Crushridge Hold|破碎嶺城堡
Slaughter Hollow|屠殺谷地
The Uplands|高地
Southpoint Gate|南點大門
The Sludge Fields|淤泥農場
Hillsbrad|希爾斯布萊德
Azurelode Mine|碧玉礦坑
Nethander Stead|奈杉德崗哨
Dun Garok|丹加洛克
Thoradin's Wall|索拉丁之牆
Eastern Strand|東部海灘
Western Strand|西部海岸
Jaguero Isle|哈圭羅島
Baradin Bay|巴拉丁海灣
Menethil Bay|米奈希爾海灣
Misty Reed Strand|蘆葦海灘
The Savage Coast|野人海岸
The Crystal Shore|水晶海岸
Shell Beach|貝殼海灘
North Tide's Run|北潮海岸
South Tide's Run|南流海岸
The Overlook Cliffs|望海崖
The Forbidding Sea|禁忌之海
Ironbeard's Tomb|鐵鬚之墓
Crystalvein Mine|水晶礦坑
Ruins of Aboraz|阿博拉茲廢墟
Janeiro's Point|加尼祿哨站
Northfold Manor|諾斯弗德農場
Go'Shek Farm|格沙克農場
Dabyrie's Farmstead|達比雷農莊
Boulderfist Hall|石拳大廳
Witherbark Village|枯木村
Drywhisker Gorge|枯鬚峽谷
Refuge Pointe|避難谷地
Hammerfall|落錘鎮
Blackwater Shipwrecks|黑水灣沉船
O'Breen's Camp|奧布里營地
Stromgarde Keep|激流堡
The Tower of Arathor|阿拉索之塔
The Sanctum|聖所
Faldir's Cove|法迪爾海灣
The Drowned Reef|水下暗礁
Thandol Span|薩多爾大橋
Ashenvale|梣谷
Circle of East Binding|東部禁錮法陣
Circle of West Binding|西部禁錮法陣
Circle of Inner Binding|內禁錮法陣
Circle of Outer Binding|外禁錮法陣
Apocryphan's Rest|聖者之陵
Angor Fortress|苦痛堡壘
Lethlor Ravine|萊瑟羅峽谷
Ruins of Kargath|卡加斯廢墟
Camp Kosh|柯什營地
Camp Boff|博夫營地
Camp Wurg|瓦格營地
Camp Cagg|卡格營地
Agmond's End|埃格蒙德的營地
Hammertoe's Digsite|鐵趾挖掘場
Dustbelch Grotto|火山洞穴
Aerie Peak|鷹巢山
Wildhammer Keep|蠻錘城堡
Quel'Danil Lodge|奎爾丹尼小屋
Skulk Rock|隱匿石
Zun'watha|祖瓦沙
Shadra'Alor|沙德拉洛
Jintha'Alor|辛薩羅
The Altar of Zul|祖爾祭壇
Seradane|瑟拉丹
Feralas|菲拉斯
Brambleblade Ravine|刺刃峽谷
The Venture Co. Mine|風險投資公司礦坑
Felwood|費伍德森林
Razor Hill|剃刀嶺
Valley of Trials|試煉谷
The Den|大獸穴
Burning Blade Coven|燃刃集會所
Northwatch Foothold|北方根據地
Sen'jin Village|森金村
Echo Isles|回音群島
Thunder Ridge|雷霆山
Drygulch Ravine|枯水谷
Dustwind Cave|塵風洞穴
Tiragarde Keep|提拉加德城堡
Scuttle Coast|流亡海岸
Bladefist Bay|刃拳海灣
Deadeye Shore|亡眼海岸
Southfury River|怒水河
Far Watch Post|前沿哨所
The Crossroads|十字路口
Boulder Lode Mine|石礦坑
The Sludge Fen|淤泥沼澤
The Dry Hills|無水嶺
Dreadmist Peak|鬼霧峰
The Forgotten Pools|遺忘之池
Lushwater Oasis|甜水綠洲
The Stagnant Oasis|死水綠洲
The Merchant Coast|商旅海岸
Ratchet|棘齒城
Darkspear Strand|暗矛海灘
Grizzly Hills|灰白之丘
Grizzlemaw|灰喉鎮
Winterhoof Water Well|冬蹄水井
Thunderhorn Water Well|雷角水井
Wildmane Water Well|蠻鬃水井
Skyline Ridge|沖天嶺
Thousand Needles|千針石林
The Tidus Stair|提度斯階梯
Shady Rest Inn|樹蔭旅店
Bael'dun Digsite|巴爾丹挖掘場
Desolace|淒涼之地
Stonetalon Mountains|石爪山脈
Gillijim's Isle|吉利吉姆之島
Island of Doctor Lapidis|拉匹迪斯之島
Razorwind Canyon|烈風峽谷
Bathran's Haunt|巴斯蘭鬼屋
The Ruins of Ordil'Aran|奧迪拉蘭廢墟
Maestra's Post|邁斯特拉崗哨
The Zoram Strand|佐拉姆海岸
Astranaar|阿斯特蘭納
The Shrine of Aessina|艾森娜神殿
Fire Scar Shrine|火痕神殿
The Ruins of Stardust|星塵廢墟
The Howling Vale|狼嚎谷
Silverwind Refuge|銀風避難所
Mystral Lake|密斯特拉湖
Fallen Sky Lake|墜星湖
Remains of Iris Lake|伊瑞斯湖遺址
Moonwell of Purity|純淨月井
Raynewood Retreat|林中樹居
The Shady Nook|林蔭小徑
Night Run|夜道谷
Xavian|薩維亞
Satyrnaar|薩提納爾
Splintertree Post|碎木崗哨
The Dor'Danil Barrow Den|朵丹尼爾獸穴
Falfarren River|弗倫河
Felfire Hill|冥火嶺
Demon Fall Canyon|屠魔峽谷
Demon Fall Ridge|屠魔山
Warsong Lumber Camp|戰歌伐木營地
Bough Shadow|大樹蔭
The Shimmering Flats|閃光平原
Tanaris|塔納利斯
Lake Falathim|法拉希姆湖
Ruins of Auberdine|奧伯丁廢墟
Ruins of Mathystra|瑪塞斯特拉廢墟
Tower of Althalaxx|奧薩拉克斯之塔
Cliffspring Falls|壁泉瀑布
Bashal'Aran|巴莎蘭
Ameth'Aran|亞米薩蘭
Grove of the Ancients|古樹之林
The Master's Glaive|主宰之劍
Remtravel's Excavation|雷姆塔維爾挖掘場
Mist's Edge|薄霧海
The Long Wash|長橋碼頭
Wildbend River|急彎河
Blackwood Den|黑木洞穴
Cliffspring River|壁泉河
The Veiled Sea|迷霧之海
Gold Road|黃金之路
Scarlet Watch Post|血色十字軍崗哨
Sun Rock Retreat|烈日石居
Windshear Crag|狂風峭壁
Cragpool Lake|峭壁湖
Mirkfallon Lake|暗色湖
The Charred Vale|焦炭谷
Valley of the Bloodfuries|血怒峽谷
Stonetalon Peak|石爪峰
The Talon Den|猛禽洞穴
Greatwood Vale|巨木谷
Brave Wind Mesa|強風台地
Fire Stone Mesa|火石台地
Mantle Rock|披肩石
Ruins of Jubuwal|朱布瓦爾廢墟
Pools of Arlithrien|亞里斯瑞恩之池
The Rustmaul Dig Site|鏽槌挖掘場
Camp E'thok|伊索克營地
Splithoof Crag|裂蹄峭壁
Highperch|風巢
The Screeching Canyon|尖嘯峽谷
Freewind Post|亂風崗
The Great Lift|升降梯
Galak Hold|加拉克城堡
Roguefeather Den|飛羽洞穴
The Weathered Nook|老屋
Thalanaar|薩蘭納爾
Un'Goro Crater|安戈洛環形山
Razorfen Kraul|剃刀沼澤
Raven Hill Cemetery|烏鴉嶺墓園
Moonglade|月光林地
Howling Fjord|凜風峽灣
Brackenwall Village|蕨牆村
Swamplight Manor|水光莊園
Bloodfen Burrow|血沼墓穴
Darkmist Cavern|暗霧洞穴
Moggle Point|摩戈爾哨塔
Beezil's Wreck|比吉爾的飛艇殘骸
Witch Hill|女巫嶺
Sentry Point|警戒崗哨
North Point Tower|北點哨塔
West Point Tower|西點哨塔
Lost Point|迷失哨塔
Bluefen|藍色沼地
Stonemaul Ruins|石槌廢墟
The Den of Flame|火焰洞穴
The Dragonmurk|黑龍谷
Wyrmbog|巨龍泥沼
Blackhoof Village|黑蹄村
Theramore Isle|塞拉摩島
Foothold Citadel|塞拉摩堡壘
Ironclad Prison|鐵欄監獄
Dustwallow Bay|塵泥海灣
Tidefury Cove|狂潮灣
Dreadmurk Shore|恐懼海岸
Addle's Stead|腐草農場
Fire Plume Ridge|火羽山
Lakkari Tar Pits|拉卡利油沼
Terror Run|恐懼小道
The Slithering Scar|巨痕谷
Marshal's Refuge|馬紹爾營地
Fungal Rock|蘑菇石
Golakka Hot Springs|葛拉卡溫泉
The Loch|洛克湖
Beggar's Haunt|乞丐鬼屋
Kodo Graveyard|科多獸墳場
Ghost Walker Post|鬼旅崗哨
Sar'theris Strand|薩瑟里斯海岸
Thunder Axe Fortress|雷斧堡壘
Bolgan's Hole|波爾甘的洞穴
Mannoroc Coven|瑪諾洛克集會所
Sargeron|薩格隆
Shok'Thokar|修克托卡
Gelkis Village|吉爾吉斯村
Valley of Spears|長矛谷
Nijel's Point|尼耶爾前哨站
Kolkar Village|科卡爾村
Mount Hyjal|海加爾山
Winterspring|冬泉谷
Blackwolf River|黑狼河
Kodo Rock|科多石
Hidden Path|秘道
Spirit Rock|靈魂石地
Shrine of the Dormant Flame|眠炎聖殿
Lake Elune'ara|月神湖
The Harborage|避難營
Outland|外域
Rut'theran Village|魯瑟蘭村
Ironband's Compound|鐵環營地
The Stockade|監獄
Wailing Caverns|哀嚎洞穴
Blackfathom Deeps|黑澗深淵
Fray Island|勇士島
Gnomeregan|諾姆瑞根
Razorfen Downs|剃刀高地
Ban'ethil Hollow|班尼希爾谷地
Scarlet Monastery|血色修道院
Jerod's Landing|傑羅德碼頭
Ridgepoint Tower|山巔之塔
The Darkened Bank|暗色河灘
Coldridge Pass|寒脊山小徑
Chill Breeze Valley|寒風峽谷
Shimmer Ridge|閃光嶺
Amberstill Ranch|凍石農場
The Tundrid Hills|凍土嶺
South Gate Pass|南門小徑
South Gate Outpost|南門崗哨
North Gate Pass|北門小徑
North Gate Outpost|北門崗哨
Gates of Ironforge|鐵爐堡大門
Stillwater Pond|靜水池
Nightmare Vale|夢魘谷
Venomweb Vale|毒蛛峽谷
Razormane Grounds|剃鬃營地
Skull Rock|骷髏石
Palemane Rock|白鬃石
Windfury Ridge|狂風山
The Golden Plains|金色平原
The Rolling Plains|草海平原
Twilight Grove|暮光森林
GM Island|GM島
Purgation Isle|贖罪島
The Jansen Stead|傑生農場
The Dead Acre|死亡農地
The Molsen Farm|摩爾森農場
Stendel's Pond|斯特登的池塘
The Dagger Hills|匕首嶺
Demont's Place|迪蒙特荒野
The Dust Plains|塵埃平原
Stonesplinter Valley|石裂之谷
Valley of Kings|國王谷
Algaz Station|奧加茲崗哨
Bucklebree Farm|巴克布雷農場
The Shining Strand|閃光湖岸
North Tide's Beachhead|北潮谷地
Grizzlepaw Ridge|灰爪山
The Verdant Fields|青草平原
Gadgetzan|加基森
Steamwheedle Port|熱砂港
Zul'Farrak|祖爾法拉克
Sandsorrow Watch|流沙崗哨
Thistleshrub Valley|灌木谷
The Gaping Chasm|大裂口
The Noxious Lair|腐化之巢
Dunemaul Compound|砂槌營地
Eastmoon Ruins|東月廢墟
Waterspring Field|清泉平原
Zalashji's Den|薩拉辛之穴
Land's End Beach|天涯海灘
Wavestrider Beach|破浪海灘
Ruins of Uldum|奧丹姆廢墟
Valley of the Watchers|守衛之谷
Gunstan's Post|古斯坦崗哨
Southmoon Ruins|南月廢墟
Render's Camp|撕裂者營地
Render's Valley|撕裂者山谷
Render's Rock|撕裂者之石
Stonewatch Tower|石望哨塔
Galardell Valley|加拉德爾山谷
Lakeridge Highway|湖邊大道
Three Corners|三角路口
Direforge Hill|厄爐嶺
Raptor Ridge|恐龍嶺
Black Channel Marsh|黑水沼澤
The Green Belt|綠帶草地
Mosshide Fen|蘚皮沼地
Thelgen Rock|瑟根石
Bluegill Marsh|藍鰓沼澤
Saltspray Glen|鹽沫沼澤
Sundown Marsh|日落沼澤
Angerfang Encampment|怒牙營地
Grim Batol|格瑞姆巴托
Dragonmaw Gates|龍喉大門
The Lost Fleet|失落的艦隊
Darrow Hill|達隆山
Webwinder Path|蛛網小徑
The Hushed Bank|寂靜河岸
Manor Mistmantle|密斯特曼托莊園
Camp Mojache|莫沙徹營地
Grimtotem Compound|恐怖圖騰營地
The Writhing Deep|痛苦深淵
Wildwind Lake|狂風湖
Gordunni Outpost|戈杜尼前哨站
Mok'Gordun|莫克高頓
Feral Scar Vale|深痕谷
Frayfeather Highlands|亂羽高地
Idlewind Lake|微風湖
The Forgotten Coast|被遺忘的海岸
East Pillar|東部石柱
West Pillar|西部石柱
Dream Bough|夢境之樹
Jademir Lake|加德米爾湖
Oneiros|奧奈羅斯
Ruins of Ravenwind|鴉風廢墟
Rage Scar Hold|怒痕堡
Ruins of Feathermoon|羽月廢墟
Ruins of Solarsal|索蘭薩爾廢墟
The Twin Colossals|雙塔山
Sardor Isle|薩爾多島
Isle of Dread|恐怖之島
High Wilderness|高原荒野
Lower Wilds|低地荒野
Southern Gold Road|南黃金之路
Utgarde Pinnacle|俄特加德之巔
Blackmaw Hold|黑喉要塞
Vanndir Encampment|范迪爾營地
Legash Encampment|雷加什營地
Darnassian Base Camp|達納蘇斯營地
Ruins of Eldarath|埃達拉斯廢墟
Hetaera's Clutch|赫塔拉的巢穴
Temple of Zin-Malor|辛瑪洛神殿
Bear's Head|熊頭
Ursolan|厄索蘭
Ruins of Arkkoran|亞考蘭廢墟
Bay of Storms|風暴海灣
The Shattered Strand|碎裂水岸
Tower of Eldara|艾達拉之塔
Jagged Reef|鋸齒暗礁
Southridge Beach|南山海灘
Ravencrest Monument|黑羽紀念碑
Forlorn Ridge|淒涼山
Lake Mennar|門納爾湖
Shadowsong Shrine|影歌神殿
Haldarr Encampment|哈達爾營地
Valormok|瓦羅莫克
The Ruined Reaches|廢墟海岸
Talondeep Vale|深爪谷
The Talondeep Path|深爪小徑
Rocktusk Farm|石牙農場
Jaggedswine Farm|野豬農場
Lost Rigger Cove|落帆海灣
Uldaman|奧達曼
Gallows' Corner|絞刑場
Silithus|希利蘇斯
Emerald Forest|翠葉森林
Sunken Temple|沉沒的神廟
Dreadmaul Hold|巨槌要塞
Nethergarde Keep|守望堡
Dreadmaul Post|巨槌崗哨
Serpent's Coil|盤蛇谷
Firewatch Ridge|觀火嶺
The Slag Pit|熔渣之池
The Sea of Cinders|灰燼之海
Thorium Point|瑟銀哨塔
Nethergarde Mines|守望礦坑
The Temple of Atal'Hakkar|阿塔哈卡神廟
Undercity|幽暗城
Stormwind City|暴風城
Ironforge|鐵爐堡
Splithoof Hold|裂蹄堡
Cape of Stranglethorn|荊棘谷海角
Southern Savage Coast|南野人海岸
The Deadmines|死亡礦坑
Ironclad Cove|鐵甲灣
Blackrock Spire|黑石塔
Blackrock Depths|黑石深淵
Mor'shan Base Camp|莫爾杉營地
Honor's Stand UNUSED|榮譽看臺UNUSED
Valley of Heroes|英雄谷
Orgrimmar|奧格瑪
Thunder Bluff|雷霆崖
Elder Rise|長者高地
Spirit Rise|靈魂高地
Hunter Rise|獵人高地
Darnassus|達納蘇斯
Cenarion Enclave|塞納里奧區
Craftsmen's Terrace|工匠區
Warrior's Terrace|戰士區
The Temple Gardens|神殿花園
Tradesmen's Terrace|貿易區
Gavin's Naze|加文高地
Sofera's Naze|索菲亞高地
Corrahn's Dagger|考蘭之匕
The Headland|山頭營地
Misty Shore|霧氣湖岸
Dandred's Fold|達倫德農場
Growless Cave|無草洞
Chillwind Point|冰風崗哨
Bramblescar|棘痕平原
Thorn Hill|荊棘嶺
Honor's Stand|榮譽看臺
The Mor'shan Rampart|莫爾杉壁壘
Grol'dom Farm|格羅多姆農場
Mistvale Valley|薄霧山谷
Nek'mani Wellspring|納克邁尼聖泉
Hardwrench Hideaway|硬心藏匿處
Venture Co. Base Camp|風險投資公司營地
Gurubashi Arena|古拉巴什競技場
Spirit Den|靈魂之穴
The Crimson Veil|紅霧號
The Riptide|斬浪號
The Damsel's Luck|少女的好運
Venture Co. Operations Center|風險投資公司工作中心
Deadwood Village|死木村
Felpaw Village|魔爪村
Jaedenar|加德納爾
Bloodvenom River|血毒河
Bloodvenom Falls|血毒瀑布
Shatter Scar Vale|碎痕谷
Irontree Woods|鐵木森林
Irontree Cavern|鐵木山洞
Timbermaw Hold|木喉要塞
Shadow Hold|暗影堡
Shrine of the Deceiver|欺詐者神殿
Purespring Cavern|純淨泉水洞穴
Sorrowmurk|憂傷濕地
Draenil'dur Village|德萊尼村
Splinterspear Junction|斷矛路口
Stagalbog|雄鹿泥沼
The Shifting Mire|流沙泥潭
Stagalbog Cave|雄鹿泥沼洞穴
Witherbark Caverns|枯木洞穴
Boulder'gor|博多戈爾
Valley of Fangs|巨牙谷
The Dustbowl|漫塵盆地
Mirage Flats|幻象平地
Featherbeard's Hovel|羽鬚屋舍
Shindigger's Camp|拉普索迪營地
Plaguemist Ravine|疫霧深谷
Valorwind Lake|瓦羅溫湖
Agol'watha|亞戈瓦薩
Hiri'watha Research Station|西利瓦薩研究站
The Creeping Ruin|爬蟲廢墟
Bogen's Ledge|伯根的棚屋
The Maker's Terrace|造物者遺跡
Dustwind Gulch|塵風峽谷
Shaol'watha|沙爾瓦薩
Noonshade Ruins|熱影廢墟
Broken Pillar|破碎石柱
Abyssal Sands|深沙平原
Southbreak Shore|塔納利斯南海
Caverns of Time|時光之穴
The Marshlands|沼澤地
Ironstone Plateau|鐵石高原
Blackchar Cave|黑炭谷
Tanner Camp|製皮匠營地
Dustfire Valley|塵火谷
Misty Reed Farm|蘆葦農場
Bloodvenom Post|血毒崗哨
Talonbranch Glade|刺枝林地
Stratholme|斯坦索姆
Quel'Thalas|奎爾薩拉斯
Scholomance|通靈學院
Twilight Vale|暮光谷
Twilight Shore|暮光海岸
Alcaz Island|奧卡茲島
Darkcloud Pinnacle|暗雲峰
Dawning Wood Catacombs|黎明墓穴
Stonewatch Keep|石望要塞
Maraudon|瑪拉頓
Stoutlager Inn|烈酒旅店
Thunderbrew Distillery|雷酒釀酒廠
Menethil Keep|米奈希爾城堡
Deepwater Tavern|深水旅店
Shadow Grave|灰影墓穴
Brill Town Hall|布瑞爾城鎮大廳
Gallows' End Tavern|恐懼之末旅店
Dreadmist Den|鬼霧獸穴
Emberstrife's Den|艾博斯塔夫的巢穴
Onyxia's Lair|奧妮克希亞的巢穴
Windshear Mine|狂風礦坑
Roland's Doom|羅蘭之墓
Battle Ring|競技場
The Pools of Vision|預見之池
Shadowbreak Ravine|破影峽谷
Broken Spear Village|斷矛村
Whitereach Post|白沙崗哨
Gornia|戈尼亞
Zane's Eye Crater|贊恩之眼
Mirage Raceway|沙漠賽道
Frostsaber Rock|霜刀石
The Hidden Grove|隱秘小林
Timbermaw Post|木喉崗哨
Winterfall Village|寒水村
Mazthoril|麥索瑞爾
Frostfire Hot Springs|冰火溫泉
Ice Thistle Hills|冰薊嶺
Dun Mandarr|丹曼達爾
Frostwhisper Gorge|霜語峽谷
Owl Wing Thicket|梟翼樹叢
Lake Kel'Theril|凱斯利爾湖
The Ruins of Kel'Theril|凱斯利爾廢墟
Starfall Village|墜星村
Ban'Thallow Barrow Den|班薩羅獸穴
Everlook|永望鎮
Darkwhisper Gorge|暗語峽谷
Deeprun Tram|礦道地鐵
The Fungal Vale|蘑菇谷
The Marris Stead|瑪瑞斯農場
The Undercroft|墓室
Darrowshire|達隆郡
Crown Guard Tower|皇冠哨塔
Corin's Crossing|考林路口
Death Cultist Base Camp|死亡教徒營地
Tyr's Hand|提爾之手
The Scarlet Basilica|血色十字軍教堂
Light's Hope Chapel|聖光之願禮拜堂
Browman Mill|布洛米爾
The Noxious Glade|劇毒林地
Eastwall Tower|東牆之塔
Northdale|北谷
Zul'Mashar|祖爾瑪夏
Mazra'Alor|瑪茲拉羅
Northpass Tower|北地哨塔
Quel'Lithien Lodge|奎爾林斯小屋
Plaguewood|病木林
Scourgehold|瘟疫要塞
Darrowmere Lake|達隆米爾湖
Caer Darrow|凱爾達隆
Thistlefur Village|薊皮村
The Quagmire|泥潭沼澤
Windbreak Canyon|風裂峽谷
South Seas|南海
Razor Hill Barracks|剃刀嶺兵營
Bloodtooth Camp|血牙營地
Forest Song|林歌神殿
Greenpaw Village|綠爪村
Silverwing Outpost|銀翼哨站
Nighthaven|永夜港
Shrine of Remulos|雷姆洛斯神殿
Stormrage Barrow Dens|怒風獸穴
The Black Morass|黑色沼澤
Old Hillsbrad Foothills|希爾斯布萊德丘陵舊址
Southshore|南海鎮
Hillsbrad Fields|希爾斯布萊德農場
Southpoint Tower|南點哨塔
Tethris Aran|塔迪薩蘭
Ethel Rethor|艾瑟雷索
Ranazjar Isle|拉納加爾島
Kormek's Hut|考米克小屋
Shadowprey Village|葬影村
Blackrock Pass|黑石小徑
Morgan's Vigil|摩根的崗哨
Slither Rock|滑石
Terror Wing Path|龍翼小徑
Draco'dar|德拉考達爾
Ragefire Chasm|怒焰裂谷
Nightsong Woods|夜歌森林
Morlos'Aran|莫洛亞藍
Emerald Sanctuary|翡翠聖地
