Original|Translated
Tower of Ilgalar|Tour d’Ilgalar
Alther's Mill|Scierie d’Alther
Rethban Caverns|Cavernes de Rethban
Rebel Camp|Camp Rebelle
Nesingwary's Expedition|Expédition de Nesingwary
Kurzen's Compound|Base de Kurzen
Ruins of Zul'Kunda|Ruines de Zul’Kunda
Ruins of Zul'Mamwe|Ruines de Zul’Mamwe
The Vile Reef|Le récif Infâme
Mosh'Ogg Ogre Mound|Tertre des Ogres mosh’Ogg
The Stockpile|La Réserve
Saldean's Farm|Ferme des Saldean
Sentinel Hill|Colline des Sentinelles
Furlbrow's Pumpkin Farm|Ferme de potirons des Froncebouille
Jangolode Mine|Mine Veine-de-Jango
Gold Coast Quarry|Carrière de la Côte de l’or
Westfall Lighthouse|Phare de l’Ouest
Misty Valley|Vallée des Brumes
Grom'gol Base Camp|Campement Grom’gol
Whelgar's Excavation Site|Excavations de Whelgar
Westbrook Garrison|Garnison du ruisseau de l’Ouest
Tranquil Gardens Cemetery|Cimetière des Jardins paisibles
Zuuldaia Ruins|Ruines de Zuuldaia
Bal'lal Ruins|Ruines de Bal’lal
Kal'ai Ruins|Ruines de Kal’ai
Tkashi Ruins|Ruines de Tkashi
Balia'mah Ruins|Ruines de Balia’mah
Ziata'jai Ruins|Ruines de Ziata’jai
Mizjah Ruins|Ruines de Mizjah
Silverpine Forest|Forêt des Pins-Argentés
Coldridge Valley|Vallée des Frigères
New Tinkertown|La Nouvelle-Brikabrok
Gol'Bolar Quarry|Carrière de Gol’Bolar
Frostmane Hold|Repaire des Crins-de-Givre
The Grizzled Den|L’antre Gris
Brewnall Village|Brassetout
Misty Pine Refuge|Refuge de Brumepins
Eastern Plaguelands|Maleterres de l’Est
Ironband's Excavation Site|Excavations de Baguefer
Mo'grosh Stronghold|Bastion des Mo’grosh
Algaz Gate|Porte d’Algaz
Stonewrought Dam|Barrage de Formepierre
The Farstrider Lodge|Le pavillon des Pérégrins
Darkshore|Sombrivage
Silver Stream Mine|Mine du Ru d’argent
Menethil Harbor|Port de Menethil
Designer Island|Île des Concepteurs
The Bulwark|La Barricade
Ruins of Lordaeron|Ruines de Lordaeron
Deathknell|Le Glas
Night Web's Hollow|Grottes des Tisse-nuit
Solliden Farmstead|Ferme des Solliden
Agamand Mills|Moulins d’Agamand
Agamand Family Crypt|Crypte de la famille Agamand
Whispering Gardens|Jardins des Murmures
Terrace of Repose|Terrasse de la Quiétude
Brightwater Lake|Lac Étincelant
Gunther's Retreat|Retraite de Gunther
Garren's Haunt|Antre de Garren
Balnir Farmstead|Ferme des Balnir
Cold Hearth Manor|Manoir du Foyer froid
Crusader Outpost|Avant-poste des Croisés
The North Coast|La côte Nord
Whispering Shore|Rivage des Murmures
Lordamere Lake|Lac Lordamere
Fenris Isle|Île de Fenris
Faol's Rest|Repos de Faol
Darnassus UNUSED|Darnassus
Shadowglen|Sombrevallon
Steelgrill's Depot|Dépôt de Grillacier
Hearthglen|Âtreval
Northridge Lumber Camp|Camp de bûcherons de la Crête du Nord
School of Necromancy|École de Nécromancie
Uther's Tomb|Tombeau d’Uther
Sorrow Hill|Colline des Chagrins
The Weeping Cave|La grotte des Pleurs
Felstone Field|Champ de Gangrepierre
Dalson's Farm|Ferme de Dalson
Gahrron's Withering|La Flétrissure de Gahrron
The Writhing Haunt|Le repaire Putride
Mardenholde Keep|Donjon de Mardenholde
Pyrewood Village|Bois-du-Bûcher
Utgarde Keep|Donjon d’Utgarde
The Great Sea|La Grande mer
Unused Ironcladcove|Crique du Cuirassé
Shadowfang Keep|Donjon d’Ombrecroc
Icecrown|La Couronne de glace
Iceflow Lake|Lac Glacial
Helm's Bed Lake|Lac du Lit d’Helm
Deep Elem Mine|Mine du gouffre d’Elem
Alexston Farmstead|Ferme des Alexston
Red Cloud Mesa|Mesa de Nuage rouge
Bloodhoof Village|Sabot-de-Sang
Stonebull Lake|Lac Taureau-de-Pierre
Ravaged Caravan|Caravane dévastée
Red Rocks|Rochers Rouges
The Skittering Dark|Le Grouillement
Valgan's Field|Champ de Valgan
The Sepulcher|Le Sépulcre
Olsen's Farthing|Essarts des Olsen
The Greymane Wall|Le mur de Grisetête
Beren's Peril|Péril de Beren
The Dawning Isles|Les îles de l’Aube
Ambermill|Moulin-de-l’Ambre
Fenris Keep|Donjon de Fenris
The Decrepit Fields|Les champs Délabrés
Malden's Orchard|Verger de Malden
The Ivar Patch|Le lopin d’Ivar
The Dead Field|Le champ des Morts
The Rotting Orchard|Le verger Pourrissant
Brightwood Grove|Bosquet de Clairbois
Forlorn Rowe|La masure Lugubre
The Whipple Estate|Le domaine de Whipple
The Yorgen Farmstead|La ferme des Yorgen
The Cauldron|Le Chaudron
Grimesilt Dig Site|Site de fouilles de Crasseboue
Dreadmaul Rock|Rocher des Cognepeurs
Ruins of Thaurissan|Ruines de Thaurissan
Flame Crest|Corniche des Flammes
Blackrock Stronghold|Bastion Rochenoire
The Pillar of Ash|Le Pilier de cendres
Altar of Storms|Autel des Tempêtes
Shadowthread Cave|Grotte de Sombrefil
Fel Rock|Gangreroche
Lake Al'Ameth|Lac Al’Ameth
Starbreeze Village|Brise-Stellaire
Gnarlpine Hold|Camp des Pins-tordus
Ban'ethil Barrow Den|Refuge des saisons de Ban’ethil
The Cleft|La Faille
The Oracle Glade|La clairière de l’Oracle
Wellspring River|L’Aigue-vive
Wellspring Lake|Lac d’Aigue-vive
Hillsbrad Foothills|Contreforts de Hautebrande
Azshara Crater|Cratère d’Azshara
Ruins of Southshore|Ruines d’Austrivage
Tarren Mill|Moulin-de-Tarren
Durnholde Keep|Donjon de Fort-de-Durn
UNUSED Stonewrought Pass|Passage de Formepierre
The Foothill Caverns|Les cavernes des Contreforts
Brazie Farmstead|Ferme de Brazie
Dalaran Crater|Cratère de Dalaran
Strahnbrad|Strahnbrande
Ruins of Alterac|Ruines d’Alterac
Crushridge Hold|Bastion Cassecrête
Slaughter Hollow|Creux du Massacre
The Uplands|Les Hauteurs
Southpoint Gate|Porte de la Pointe du Midi
The Sludge Fields|Champs Fangeux
Hillsbrad|Hautebrande
Azurelode Mine|Mine de Veine-Azur
Nethander Stead|Ferme des Nethander
Thoradin's Wall|Mur de Thoradin
Eastern Strand|Rivage Oriental
Western Strand|Rivage Occidental
South Seas UNUSED|Mers du Sud
Jaguero Isle|Île aux Jagueros
Baradin Bay|Baie de Baradin
Menethil Bay|Baie de Menethil
Misty Reed Strand|Grève de Brumejonc
The Savage Coast|La côte Sauvage
The Crystal Shore|Le rivage de Cristal
Shell Beach|Plage aux Coquillages
North Tide's Run|La côte Nord
South Tide's Run|La côte Sud
The Overlook Cliffs|Les Hauts-Surplombs
The Forbidding Sea|La mer Interdite
Ironbeard's Tomb|Tombe de Barbe-de-fer
Crystalvein Mine|Mine aux Cristaux
Ruins of Aboraz|Ruines d’Aboraz
Janeiro's Point|Cap Janeiro
Northfold Manor|Manoir de Nordclos
Go'Shek Farm|Ferme de Go’Shek
Dabyrie's Farmstead|Ferme des Dabyrie
Boulderfist Hall|Hall Rochepoing
Witherbark Village|Fanécorce
Drywhisker Gorge|Gorge des Sèches-Moustaches
Refuge Pointe|Refuge de l’Ornière
Hammerfall|Trépas-d’Orgrim
Blackwater Shipwrecks|Épaves des Flots noirs
O'Breen's Camp|Camp de O’Breen
Stromgarde Keep|Donjon de Stromgarde
The Tower of Arathor|La tour d’Arathor
The Sanctum|Le sanctum
Faldir's Cove|Crique de Faldir
The Drowned Reef|Le récif Englouti
Thandol Span|Viaduc de Thandol
Ashenvale|Assaillant
Circle of East Binding|Cercle de Lien oriental
Circle of West Binding|Cercle de Lien occidental
Circle of Inner Binding|Cercle de Lien intérieur
Circle of Outer Binding|Cercle de Lien extérieur
Apocryphan's Rest|Repos d’Apocryphan
Angor Fortress|Forteresse d’Angor
Lethlor Ravine|Ravin de Lethlor
Ruins of Kargath|Ruines de Kargath
Agmond's End|Fin d’Agmond
Hammertoe's Digsite|Site de fouilles de Martèlorteil
Dustbelch Grotto|Grotte de Crache-Poussière
Aerie Peak|Nid-de-l’Aigle
Wildhammer Keep|Donjon des Marteaux-hardis
Quel'Danil Lodge|Gîte de Quel’Danil
Skulk Rock|Rocher de l’Affût
Zun'watha|Zun’watha
Shadra'Alor|Shadra’Alor
Jintha'Alor|Jintha’Alor
The Altar of Zul|L’Autel de Zul
Feralas|Féralas
Brambleblade Ravine|Ravin de Roncelame
The Venture Co. Mine|Mine de la KapitalRisk
Felwood|Gangrebois
Razor Hill|Tranchecolline
Valley of Trials|Vallée des Épreuves
The Den|L’Antre
Burning Blade Coven|Convent de la Lame-Ardente
Northwatch Foothold|Tête de pont de Guet-du-Nord
Sen'jin Village|Village de Sen’jin
Echo Isles|Îles de l’Écho
Thunder Ridge|Falaises du Tonnerre
Drygulch Ravine|Ravin Asséché
Dustwind Cave|Caverne des Terrevent
Tiragarde Keep|Donjon de Tiragarde
Scuttle Coast|Côte des Naufrages
Bladefist Bay|Baie de Lamepoing
Deadeye Shore|Rivage d’Œil-Mort
Southfury River|Furie-du-Sud
Far Watch Post|Poste de Guet-Lointain
The Crossroads|La Croisée
Boulder Lode Mine|Mine des Pierriers
The Sludge Fen|La Videfange
The Dry Hills|Les collines Arides
Dreadmist Peak|Pic de Brume-Funeste
The Forgotten Pools|Les bassins Oubliés
Lushwater Oasis|Oasis Luxuriante
The Stagnant Oasis|L’oasis Stagnante
The Merchant Coast|Côte des Marchands
Ratchet|Cabestan
Darkspear Strand|Grève des Sombrelances
Grizzly Hills|Les Grisonnes
Grizzlemaw|Grisegueule
Winterhoof Water Well|Puits Sabot-d’Hiver
Thunderhorn Water Well|Puits Corne-tonnerre
Wildmane Water Well|Puits Crin-Sauvage
Skyline Ridge|Crête de l’Horizon
Thousand Needles|Mille pointes
The Tidus Stair|L’escalier des Marées
Shady Rest Inn|Auberge du Repos ombragé
Bael'dun Digsite|Site de fouilles de Bael’Dun
Desolace|Désolace
Stonetalon Mountains|Les Serres-Rocheuses
Orgrimmar UNUSED|Orgrimmar
Gillijim's Isle|Île de Gillijim
Island of Doctor Lapidis|Île du docteur Lapidis
Razorwind Canyon|Canyon de Tranchevent
Bathran's Haunt|Repaire de Bathran
The Ruins of Ordil'Aran|Les ruines d’Ordil’Aran
Maestra's Post|Poste de Maestra
The Zoram Strand|La grève de Zoram
The Shrine of Aessina|Le sanctuaire d’Aessina
Fire Scar Shrine|Sanctuaire de Scarfeu
The Ruins of Stardust|Les ruines de Chimétoile
The Howling Vale|Le val Hurlant
Silverwind Refuge|Refuge de Vent-d’Argent
Mystral Lake|Lac Mystral
Fallen Sky Lake|Lac Tombeciel
Remains of Iris Lake|Vestiges du lac Iris
Moonwell of Purity|Puits de Lune de pureté
Raynewood Retreat|Retraite de Raynebois
The Shady Nook|Le creux Ombragé
Night Run|Défilé de la nuit
Splintertree Post|Poste de Bois-Brisé
The Dor'Danil Barrow Den|Refuge des saisons de Dor’danil
Falfarren River|La Falfarren
Felfire Hill|Colline Gangrefeu
Demon Fall Canyon|Canyon de la Malechute
Demon Fall Ridge|Crête de la Malechute
Warsong Lumber Camp|Camp de bûcherons Chanteguerre
Bough Shadow|L’Ombrage
The Shimmering Flats|Les Salines
Lake Falathim|Lac Falathim
Ruins of Auberdine|Ruines d’Auberdine
Ruins of Mathystra|Ruines de Mathystra
Tower of Althalaxx|Tour d’Althalaxx
Cliffspring Falls|Chutes de la Bondissante
Bashal'Aran|Bashal’Aran
Ameth'Aran|Ameth’Aran
Grove of the Ancients|Bosquet des Anciens
The Master's Glaive|Le Glaive du Maître
Remtravel's Excavation|Excavations de Songerrance
Mist's Edge|Lisière des Brumes
The Long Wash|Le Lent reflux
Wildbend River|La Sinueuse
Blackwood Den|Tanière des Noirbois
Cliffspring River|La Bondissante
The Veiled Sea|La mer Voilée
Gold Road|Route de l’Or
Scarlet Watch Post|Poste de garde de la Croisade
Sun Rock Retreat|Retraite de Roche-Soleil
Windshear Crag|Combe des Cisailles
Cragpool Lake|Lac de la Combe
Mirkfallon Lake|Lac Mirkfallon
The Charred Vale|Le val Calciné
Valley of the Bloodfuries|Vallée des Rouges-furies
Stonetalon Peak|Pic des Serres-Rocheuses
The Talon Den|L’antre des Serres
Greatwood Vale|Val de Grandbois
Thunder Bluff UNUSED|Les Pitons-du-Tonnerre
Brave Wind Mesa|Mesa de Brave-Vent
Fire Stone Mesa|Mesa de Pierrefeu
Mantle Rock|Roche du Manteau
Hunter Rise UNUSED|Cime des Chasseurs
Spirit RiseUNUSED|Cime des Esprits
Elder RiseUNUSED|Cime des Anciens
Ruins of Jubuwal|Ruines de Jubuwal
Pools of Arlithrien|Bassins d’Arlithrien
The Rustmaul Dig Site|Site de fouilles de Cognerouille
Camp E'thok|Camp E’thok
Splithoof Crag|Combe du Sabot-Fendu
Highperch|Haut-Perchoir
The Screeching Canyon|Canyon des Hurlements
Freewind Post|Poste de Librevent
The Great Lift|La Grande élévation
Galak Hold|Repaire des Galak
Roguefeather Den|Tanière des Volplumes
The Weathered Nook|La niche Érodée
Un'Goro Crater|Cratère d’Un’Goro
Razorfen Kraul|Kraal de Tranchebauge
Raven Hill Cemetery|Cimetière de Colline-aux-Corbeaux
Moonglade|Reflet-de-Lune
Howling Fjord|Fjord Hurlant
Brackenwall Village|Mur-de-Fougères
Swamplight Manor|Manoir des Flammeroles
Bloodfen Burrow|Terrier des Rougefanges
Darkmist Cavern|Caverne de Sombrebrume
Moggle Point|Cap Moggle
Beezil's Wreck|Épave de Beezil
Witch Hill|Colline des Sorcières
Sentry Point|Halte de la Vigie
North Point Tower|Tour de la Halte Nord
West Point Tower|Tour du Cap Ouest
Lost Point|Halte Perdue
Bluefen|Marais Bleu
Stonemaul Ruins|Ruines Cognepierres
The Den of Flame|L’antre des Flammes
The Dragonmurk|Le cloaque aux Dragons
Wyrmbog|Tourbière du Ver
Blackhoof Village|Sabot-Noir
Theramore Isle|Île de Theramore
Foothold Citadel|Citadelle de Theramore
Ironclad Prison|Prison du Cuirassé
Dustwallow Bay|Baie d’Âprefange
Tidefury Cove|Crique du Mascaret
Dreadmurk Shore|Rivage de Troubleffroi
Addle's Stead|Ferme des Addle
Fire Plume Ridge|Crête de la Fournaise
Lakkari Tar Pits|Fosses de goudron de Lakkari
Terror Run|Coteaux de la Terreur
The Slithering Scar|La Balafre sinueuse
Marshal's Refuge|Refuge des Marshal
Fungal Rock|Rocher Fongique
Golakka Hot Springs|Sources de Golakka
The Loch|Le Loch
Beggar's Haunt|Repaire des Mendiants
Kodo Graveyard|Cimetière des Kodos
Ghost Walker Post|Poste de Rôdeur-fantôme
Sar'theris Strand|Grève de Sar’theris
Thunder Axe Fortress|Forteresse de Hache-Tonnerre
Bolgan's Hole|Trou de Bolgan
Mannoroc Coven|Convent de Mannoroc
Shok'Thokar|Shok’Thokar
Gelkis Village|Village des Gelkis
Valley of Spears|Vallée des Lances
Nijel's Point|Combe de Nijel
Kolkar Village|Village des Kolkars
Mount Hyjal|Mont Hyjal
Winterspring|Berceau-de-l’Hiver
Blackwolf River|Fleuve Loup-Noir
Kodo Rock|Rocher des Kodos
Hidden Path|Chemin Secret
Spirit Rock|Rocher des Esprits
Shrine of the Dormant Flame|Autel de la Flamme dormante
Lake Elune'ara|Lac Élune’ara
The Harborage|Le havre Boueux
Outland|Outreterre
Craftsmen's Terrace UNUSED|Terrasse des Artisans
Tradesmen's Terrace UNUSED|Terrasse des Marchands
The Temple Gardens UNUSED|Les jardins du Temple
Temple of Elune UNUSED|Temple d’Élune
Cenarion Enclave UNUSED|Enclave Cénarienne
Warrior's Terrace UNUSED|Terrasse des Guerriers
Rut'theran Village|Rut’theran
Ironband's Compound|Base de Baguefer
The Stockade|La Prison
Wailing Caverns|Cavernes des Lamentations
Blackfathom Deeps|Profondeurs de Brassenoire
Fray Island|Île de la Dispute
Razorfen Downs|Souilles de Tranchebauge
Ban'ethil Hollow|Creux de Ban’ethil
Scarlet Monastery|Monastère Écarlate
Jerod's Landing|Le débarcadère de Jerod
Ridgepoint Tower|Tour de la Crête
The Darkened Bank|La rive Sombre
Coldridge Pass|Passe des Frigères
Chill Breeze Valley|Vallée de la Bise
Shimmer Ridge|Crête Scintillante
Amberstill Ranch|Ferme des Distillambre
The Tundrid Hills|Les collines de Tundrid
South Gate Pass|Passage de la Porte Sud
South Gate Outpost|Avant-poste de la Porte Sud
North Gate Pass|Passage de la Porte Nord
North Gate Outpost|Avant-poste de la Porte Nord
Gates of Ironforge|Portes de Forgefer
Stillwater Pond|Étang Immobile
Nightmare Vale|Vallée des Cauchemars
Venomweb Vale|Vallée de Tissevenin
Razormane Grounds|Terres des Tranchecrins
Skull Rock|Rocher du Crâne
Palemane Rock|Rocher des Crins-Pâles
Windfury Ridge|Crête des Furies-des-vents
The Golden Plains|Les plaines Dorées
The Rolling Plains|Les plaines Vallonnées
Twilight Grove|Bosquet crépusculaire
GM Island|Île des MJ
Purgation Isle|Île de la Purification
The Jansen Stead|La ferme des Jansen
The Dead Acre|L’acre Mort
The Molsen Farm|La ferme des Molsen
Stendel's Pond|Étang de Stendel
The Dagger Hills|Les collines de la Dague
Demont's Place|Maison de Demont
The Dust Plains|Les plaines de Poussière
Stonesplinter Valley|Vallée des Brisepierre
Valley of Kings|Vallée des Rois
Algaz Station|Poste d’Algaz
Bucklebree Farm|Ferme des Bucklebree
The Shining Strand|Le rivage Rayonnant
North Tide's Beachhead|Tête de pont de la Côte Nord
Grizzlepaw Ridge|Falaise de Vieillegriffe
The Verdant Fields|Les champs Verdoyants
Steamwheedle Port|Port Gentepression
Zul'Farrak|Zul’Farrak
Sandsorrow Watch|Guet de Tristesable
Thistleshrub Valley|Vallée des Chardonniers
The Gaping Chasm|Le gouffre Béant
The Noxious Lair|Le repaire Nuisible
Dunemaul Compound|Base des Cognedunes
Eastmoon Ruins|Ruines d’Estelune
Waterspring Field|Champ des Puisatiers
Zalashji's Den|Tanière de Zalashji
Land's End Beach|Plage du Bout-du-Monde
Wavestrider Beach|Plage des Déferlantes
Ruins of Uldum|Ruines d’Uldum
Valley of the Watchers|Vallée des Guetteurs
Gunstan's Post|Poste de Gunstan
Southmoon Ruins|Ruines de Sudelune
Render's Camp|Camp des Étripeurs
Render's Valley|Vallée des Étripeurs
Render's Rock|Rocher des Étripeurs
Stonewatch Tower|Tour de Guet-de-Pierre
Galardell Valley|Vallée de Galardell
Lakeridge Highway|Grand-route de la crête du Lac
Three Corners|Trois chemins
Direforge Hill|Colline de Morneforge
Raptor Ridge|Crête des Raptors
Black Channel Marsh|Marais des Eaux-Noires
The Green Belt|La Ceinture verte
Mosshide Fen|Marais des Poils-moussus
Thelgen Rock|Rocher de Thelgen
Bluegill Marsh|Marais des Branchies-bleues
Saltspray Glen|Vallon des Embruns
Sundown Marsh|Marais du Couchant
Angerfang Encampment|Campement de Hargnecroc
Dragonmaw Gates|Portes des Gueules-de-dragon
The Lost Fleet|La flotte Perdue
Darrow Hill|Colline de Darrow
Webwinder Path|Sentier des Tisseuses
The Hushed Bank|La rive Silencieuse
Manor Mistmantle|Manoir Mantebrume
Grimtotem Compound|Base des Totems-Sinistres
The Writhing Deep|Gouffre Grouillant
Wildwind Lake|Lac des Rafales
Gordunni Outpost|Avant-poste des Gordunni
Mok'Gordun|Mok’Gordun
Feral Scar Vale|Val des Griffes farouches
Frayfeather Highlands|Hautes-terres des Aigreplumes
Idlewind Lake|Lac Idlewind
The Forgotten Coast|La côte Oubliée
East Pillar|Pilier Est
West Pillar|Pilier Ouest
Dream Bough|Bosquet du Rêve
Jademir Lake|Lac Jademir
Ruins of Ravenwind|Ruines de Vent-du-Corbeau
Rage Scar Hold|Repaire des Griffes féroces
Ruins of Feathermoon|Ruines de Pennelune
Ruins of Solarsal|Ruines de Solarsal
Lower Wilds UNUSED|Étendues Sauvages
The Twin Colossals|Les Colosses jumeaux
Sardor Isle|Île de Sardor
Isle of Dread|Île de l’Effroi
High Wilderness|Les plateaux Sauvages
Lower Wilds|Étendues Sauvages
Southern Gold Road|Route de l’Or méridionale
Utgarde Pinnacle|Cime d’Utgarde
Blackmaw Hold|Repaire des Noiregueules
Vanndir Encampment|Campement de Vanndir
Legash Encampment|Campement Legashi
Darnassian Base Camp|Camp de base Darnassien
Ruins of Eldarath|Ruines d’Eldarath
Hetaera's Clutch|Frai d’Hetaera
Temple of Zin-Malor|Temple de Zin-Malor
Bear's Head|Tête d’ours
Ruins of Arkkoran|Ruines d’Arkkoran
Bay of Storms|Baie des Tempêtes
The Shattered Strand|La grève Fracassée
Tower of Eldara|Tour d’Eldara
Jagged Reef|Récif Déchiqueté
Southridge Beach|Plage des Crêtes du sud
Ravencrest Monument|Chute de Corvaltus
Forlorn Ridge|La crête Lugubre
Lake Mennar|Lac Mennar
Shadowsong Shrine|Sanctuaire de Chantelombre
Haldarr Encampment|Campement des Haldarr
The Ruined Reaches|Les confins Dévastés
Talondeep Vale|Vallée de la Perce des serres
The Talondeep Path|La Perce des serres
Rocktusk Farm|Ferme Brochepierre
Jaggedswine Farm|Ferme Rêche-pourceau
Lost Rigger Cove|Crique des Gréements
Gallows' Corner|Fourche du Gibet
Emerald Forest|Forêt d’Émeraude
Sunken Temple|Temple englouti
Dreadmaul Hold|Bastion Cognepeur
Nethergarde Keep|Rempart-du-Néant
Dreadmaul Post|Poste Cognepeur
Serpent's Coil|Anneaux du serpent
Firewatch Ridge|Crête de Guet-du-Feu
The Slag Pit|La fosse aux Scories
The Sea of Cinders|La mer de Braises
Thorium Point|Halte du Thorium
Nethergarde Mines|Mines de Rempart-du-Néant
The Temple of Atal'Hakkar|Le temple d’Atal’Hakkar
Undercity|Fossoyeuse
Not Used Deadmines|Mortemines [non utilisé]
Stormwind City|Hurlevent
Ironforge|Forgefer
Splithoof Hold|Bastion du Sabot-Fendu
Cape of Stranglethorn|Cap Strangleronce
Southern Savage Coast|Côte Sauvage du Sud
Unused The Deadmines 002|Les Mortemines
Unused Ironclad Cove 003|Crique du Cuirassé
The Deadmines|Les Mortemines
Ironclad Cove|Crique du Cuirassé
Blackrock Spire|Pic Rochenoire
Blackrock Depths|Profondeurs de Rochenoire
Raptor Grounds UNUSED|[INUTILISÉ]Terres des Raptors
Grol'dom Farm UNUSED|[INUTILISÉ]Ferme de Grol’dom
Mor'shan Base Camp|Campement de Mor’shan
Honor's Stand UNUSED|[INUTILISÉ]Le Séjour de l’honneur
Blackthorn Ridge UNUSED|[INUTILISÉ]Crête de Noirépine
Bramblescar UNUSED|[INUTILISÉ]Ronceplaie
Agama'gor UNUSED|[INUTILISÉ]Agama’gor
Valley of Heroes|Vallée des Héros
Thunder Bluff|Les Pitons-du-Tonnerre
Elder Rise|Cime des Anciens
Spirit Rise|Cime des Esprits
Hunter Rise|Cime des Chasseurs
Cenarion Enclave|Enclave Cénarienne
Craftsmen's Terrace|Terrasse des Artisans
Warrior's Terrace|Terrasse des Guerriers
The Temple Gardens|Les jardins du Temple
Tradesmen's Terrace|Terrasse des Marchands
Gavin's Naze|Promontoire de Gavin
Sofera's Naze|Promontoire de Sofera
Corrahn's Dagger|Dague de Corrahn
The Headland|L’Avancée
Misty Shore|Rivage Brumeux
Dandred's Fold|Clos de Dandred
Growless Cave|Caverne Stérile
Chillwind Point|Pointe du Noroît
Bramblescar|Ronceplaie
Thorn Hill|Colline des Épines
Honor's Stand|Le Séjour de l’honneur
The Mor'shan Rampart|Le Rempart de Mor’shan
Grol'dom Farm|Ferme de Grol’dom
Mistvale Valley|Valbrume
Nek'mani Wellspring|Fontaine des Nek’mani
Hardwrench Hideaway|Planque de Serrelavis
Venture Co. Base Camp|Campement de la KapitalRisk
Gurubashi Arena|Arène des Gurubashi
Spirit Den|Antre des Esprits
The Crimson Veil|La Voile cramoisie
The Riptide|Le Courant
The Damsel's Luck|La Chance de la demoiselle
Venture Co. Operations Center|Centre d’opérations de la KapitalRisk
Deadwood Village|Village des Mort-bois
Felpaw Village|Village de Gangrepatte
Bloodvenom River|La Vénéneuse
Bloodvenom Falls|Chutes de la Vénéneuse
Shatter Scar Vale|Val Grêlé
Irontree Woods|Bois d’Arbrefer
Irontree Cavern|Caverne d’Arbrefer
Timbermaw Hold|Repaire des Grumegueules
Shadow Hold|Fort des Ombres
Shrine of the Deceiver|Sanctuaire du Trompeur
Purespring Cavern|Caverne de la Source pure
Sorrowmurk|Noirchagrin
Draenil'dur Village|Village de Draenil’dur
Splinterspear Junction|Croisement de Lance-brisée
The Shifting Mire|Le bourbier Changeant
Stagalbog Cave|Caverne de Stagalbog
Witherbark Caverns|Cavernes Fanécorces
Boulder'gor|Roche’gor
Valley of Fangs|Vallée des Crocs
The Dustbowl|Vallée de la Poussière
Mirage Flats|Vallée des Mirages
Featherbeard's Hovel|Taudis de Barbe-de-plumes
