Original|Translated
Shadowglen|그늘 협곡
Steelgrill's Depot|스틸그릴의 정비소
Hearthglen|하스글렌
Northridge Lumber Camp|북마루 벌목지
Andorhal|안돌할
School of Necromancy|강령술 학교
Uther's Tomb|우서 경의 무덤
Sorrow Hill|슬픔의 언덕
The Weeping Cave|진흙탕 동굴
Felstone Field|펠스톤 농장
Dalson's Farm|달슨 농장
Gahrron's Withering|가론의 흉가
The Writhing Haunt|고통의 흉가
Mardenholde Keep|마르덴홀드 요새
Pyrewood Village|장작나무 마을
Dun Modr|던 모드르
Utgarde Keep|우트가드 성채
The Great Sea|대해
Unused Ironcladcove|철갑 동굴 미사용
Shadowfang Keep|그림자송곳니 성채
Icecrown|얼음왕관
Iceflow Lake|얼음 호수
Helm's Bed Lake|투구바닥 호수
Deep Elem Mine|심원 광산
Mulgore|멀고어
Alexston Farmstead|알렉스턴 농장
Red Cloud Mesa|붉은구름 고원
Camp Narache|나라체 야영지
Bloodhoof Village|블러드후프 마을
Stonebull Lake|황소바위 호수
Ravaged Caravan|습격당한 짐마차 행렬
Red Rocks|붉은 바위 언덕
The Skittering Dark|암흑 땅거미굴
Valgan's Field|발간 농장
The Sepulcher|공동묘지
Olsen's Farthing|올슨 농장
The Greymane Wall|그레이메인 성벽
Beren's Peril|베렌의 동굴
The Dawning Isles|여명의 섬
Ambermill|호박색 농장
Fenris Keep|펜리스 요새
The Decrepit Fields|오래된 들판
Malden's Orchard|말덴의 과수원
The Ivar Patch|이바르 호박밭
The Dead Field|죽음의 농장
The Rotting Orchard|오염된 과수원
Brightwood Grove|밝은나무 숲
Forlorn Rowe|버려진 흉가
The Whipple Estate|휘플가 저택
The Yorgen Farmstead|요르겐 농장
The Cauldron|용광로
Grimesilt Dig Site|검댕가루 작업현장
Dreadmaul Rock|우레망치 바위굴
Ruins of Thaurissan|타우릿산의 폐허
Flame Crest|화염 마루
Blackrock Stronghold|검은바위 요새
The Pillar of Ash|잿빛 기둥
Altar of Storms|폭풍의 제단
Aldrassil|알드랏실
Shadowthread Cave|그늘 거미굴
Fel Rock|악마 바위굴
Lake Al'Ameth|알아메스 호수
Starbreeze Village|별바람 마을
Gnarlpine Hold|나무옹이 요새
Ban'ethil Barrow Den|바네실 지하굴
The Cleft|바위 동굴
The Oracle Glade|신탁의 숲
Wellspring River|생명의 강
Wellspring Lake|생명의 호수
Hillsbrad Foothills|언덕마루 구릉지
Azshara Crater|아즈샤라 분화구
Dun Algaz|던 알가즈
Ruins of Southshore|남녘해안 폐허
Tarren Mill|타렌 제분소
Durnholde Keep|던홀드 요새
UNUSED Stonewrought Pass|돌다지 고개 미사용
The Foothill Caverns|구릉지 동굴
Brazie Farmstead|브레이지 농장
Dalaran Crater|달라란 구덩이
Strahnbrad|스트란브래드
Ruins of Alterac|알터랙 폐허
Crushridge Hold|산사태 오우거 소굴
Slaughter Hollow|살육의 동굴
The Uplands|고원
Southpoint Gate|남부경비 관문
The Sludge Fields|진흙 농장
Hillsbrad|언덕마루
Azurelode Mine|청금석 광산
Nethander Stead|네산더 농장
Dun Garok|던 가록
Thoradin's Wall|소라딘의 성벽
Eastern Strand|동부 해안
Western Strand|서부 해안
South Seas UNUSED|남쪽 바다 미사용
Jaguero Isle|자구에로 섬
Baradin Bay|바라딘 만
Menethil Bay|메네실 만
Misty Reed Strand|안개갈대 해안
The Savage Coast|폭풍 해안
The Crystal Shore|수정 해안
Shell Beach|조개껍질 해안
North Tide's Run|북부 해안가
South Tide's Run|남부 해안가
The Overlook Cliffs|전망대 절벽
The Forbidding Sea|성난 바다
Ironbeard's Tomb|아이언비어드의 고분
Crystalvein Mine|수정 광산
Ruins of Aboraz|아보라즈의 폐허
Janeiro's Point|자네이로 섬
Northfold Manor|북부습곡 장원
Go'Shek Farm|고셰크 농장
Dabyrie's Farmstead|다비리 농장
Boulderfist Hall|돌주먹 소굴
Witherbark Village|마른나무껍질 마을
Drywhisker Gorge|마른수염 골짜기
Refuge Pointe|임시 주둔지
Hammerfall|망치 주둔지
Blackwater Shipwrecks|검은바다 난파지
O'Breen's Camp|오브린의 야영지
Stromgarde Keep|스트롬가드 요새
The Tower of Arathor|아라소르의 탑
The Sanctum|성소
Faldir's Cove|팔디르의 만
The Drowned Reef|가라앉은 산호초
Thandol Span|탄돌 교각
Ashenvale|잿빛 골짜기
Circle of East Binding|동쪽 봉인의 마법진
Circle of West Binding|서쪽 봉인의 마법진
Circle of Inner Binding|내부 봉인의 마법진
Circle of Outer Binding|외부 봉인의 마법진
Apocryphan's Rest|아포크리판의 안식처
Angor Fortress|고통의 요새
Lethlor Ravine|레슬로 협곡
Ruins of Kargath|카르가스 폐허
Camp Kosh|코쉬 야영지
Camp Boff|보프 야영지
Camp Wurg|우르그 야영지
Camp Cagg|카그 야영지
Agmond's End|아그몬드의 최후
Hammertoe's Digsite|해머토의 발굴현장
Dustbelch Grotto|먼지목도리 소굴
Aerie Peak|맹금의 봉우리
Wildhammer Keep|와일드해머 요새
Quel'Danil Lodge|쿠엘다닐 오두막
Skulk Rock|굼벵이 바위굴
Zun'watha|준와타
Shadra'Alor|샤드라알로
Jintha'Alor|진타알로
The Altar of Zul|줄의 제단
Seradane|세라데인
Feralas|페랄라스
Brambleblade Ravine|칼날가시 협곡
The Venture Co. Mine|투자개발회사 광산
Felwood|악령숲
Razor Hill|칼바위 언덕
Valley of Trials|시험의 골짜기
The Den|동굴 막사
Burning Blade Coven|불타는 칼날단 소굴
Northwatch Foothold|북부감시 거점
Sen'jin Village|센진 마을
Echo Isles|메아리 섬
Thunder Ridge|천둥 마루
Drygulch Ravine|모래바람 협곡
Dustwind Cave|먼지바람 동굴
Tiragarde Keep|티라가드 요새
Scuttle Coast|가라앉은 해안
Bladefist Bay|칼날주먹 만
Deadeye Shore|데드아이 해안
Southfury River|성난남녘 강
Far Watch Post|천리길 경비초소
The Crossroads|십자로
Boulder Lode Mine|돌무더기 광산
The Sludge Fen|진흙 늪
The Dry Hills|메마른 언덕
Dreadmist Peak|공포안개 봉우리
The Forgotten Pools|잊혀진 웅덩이
Lushwater Oasis|푸른 오아시스
The Stagnant Oasis|죽은 오아시스
The Merchant Coast|무역 해안
Ratchet|톱니항
Darkspear Strand|검은창 해안
Grizzly Hills|회색 구릉지
Grizzlemaw|회색구렁 요새
Winterhoof Water Well|윈터후프 우물
Thunderhorn Water Well|썬더혼 우물
Wildmane Water Well|와일드메인 우물
Skyline Ridge|지평선 마루
Thousand Needles|버섯구름 봉우리
The Tidus Stair|타이더스 계단
Shady Rest Inn|그늘 쉼터 여관
Bael'dun Digsite|바엘던 발굴현장
Desolace|잊혀진 땅
Stonetalon Mountains|돌발톱 산맥
Orgrimmar UNUSED|오그리마 미사용
Gillijim's Isle|길리짐의 섬
Island of Doctor Lapidis|학자 라피디스의 섬
Razorwind Canyon|칼끝바람 협곡
Bathran's Haunt|배스랜 서식지
The Ruins of Ordil'Aran|오르딜아란의 폐허
Maestra's Post|마에스트라 주둔지
The Zoram Strand|조람 해안
Astranaar|아스트라나르
The Shrine of Aessina|아에시나의 제단
Fire Scar Shrine|불타버린 신전
The Ruins of Stardust|별가루의 폐허
The Howling Vale|울부짖는 골짜기
Silverwind Refuge|실바람 산장
Mystral Lake|미스트랄 호수
Fallen Sky Lake|유성 호수
Remains of Iris Lake|아이리스 호수의 흔적
Moonwell of Purity|정화의 달샘
Raynewood Retreat|레인나무 은신처
The Shady Nook|그늘 동굴
Night Run|어둠의 터
Xavian|사비안
Satyrnaar|사티르나르
Splintertree Post|토막나무 주둔지
The Dor'Danil Barrow Den|도르다닐 지하굴
Falfarren River|팔파렌 강
Felfire Hill|악령불 언덕
Demon Fall Canyon|악마벼락 협곡
Demon Fall Ridge|악마벼락 마루
Warsong Lumber Camp|전쟁노래 벌목기지
Bough Shadow|어둠의 나무
The Shimmering Flats|소금 평원
Tanaris|타나리스
Lake Falathim|팔라딤 호수
Ruins of Auberdine|아우버다인 폐허
Ruins of Mathystra|마시스트라 폐허
Tower of Althalaxx|알살락스의 탑
Cliffspring Falls|절벽 폭포
Bashal'Aran|바샬아란
Ameth'Aran|아메스아란
Grove of the Ancients|고대정령의 숲
The Master's Glaive|지배자의 고대검
Remtravel's Excavation|렘트래블의 발굴현장
Mist's Edge|안개 해안
The Long Wash|침식지
Wildbend River|성난굽이 강
Blackwood Den|검은나무 소굴
Cliffspring River|폭포수 강
The Veiled Sea|장막의 바다
Gold Road|황금길
Scarlet Watch Post|붉은십자군 경비초소
Sun Rock Retreat|해바위 야영지
Windshear Crag|칼바람 바위산
Cragpool Lake|바위웅덩이 호수
Mirkfallon Lake|땅거미 호수
The Charred Vale|잿더미 계곡
Valley of the Bloodfuries|혈폭풍 일족의 골짜기
Stonetalon Peak|돌발톱 봉우리
The Talon Den|갈퀴발톱굴
Greatwood Vale|큰소나무 계곡
Thunder Bluff UNUSED|썬더 블러프 미사용
Brave Wind Mesa|용사의 바람절벽
Fire Stone Mesa|부싯돌 고원
Mantle Rock|바람막이 바위
Hunter Rise UNUSED|수렵의 봉우리 미사용
Spirit RiseUNUSED|정기의 봉우리 미사용
Elder RiseUNUSED|장로의 봉우리 미사용
Ruins of Jubuwal|주부왈의 폐허
Pools of Arlithrien|아리스리엔 연못
The Rustmaul Dig Site|녹슨망치 발굴현장
Camp E'thok|에톡 야영지
Splithoof Crag|갈래발굽 바윗골
Highperch|마루둥지
The Screeching Canyon|비명 협곡
Freewind Post|높새바람 봉우리
The Great Lift|구름 승강장
Galak Hold|갈라크 소굴
Roguefeather Den|하피 동굴
The Weathered Nook|비바람 바위굴
Thalanaar|탈라나르
Un'Goro Crater|운고로 분화구
Razorfen Kraul|가시덩굴 우리
Raven Hill Cemetery|까마귀 언덕 묘지
Moonglade|달숲
Howling Fjord|울부짖는 협만
Brackenwall Village|담쟁이 마을
Swamplight Manor|늪지기 오두막
Bloodfen Burrow|붉은늪지 동굴
Darkmist Cavern|암흑안개 굴
Moggle Point|모글 야영지
Beezil's Wreck|비질의 추락지
Witch Hill|마녀 언덕
Sentry Point|감시초소
North Point Tower|북부 경비탑
West Point Tower|서부 경비탑
Lost Point|버려진 경비탑
Bluefen|푸른늪지
Stonemaul Ruins|돌망치 폐허
The Den of Flame|화염의 둥지
The Dragonmurk|용의 늪
Wyrmbog|용의 둥지
Blackhoof Village|검은발굽 마을
Theramore Isle|테라모어 섬
Foothold Citadel|거점 요새
Ironclad Prison|철갑 감옥
Dustwallow Bay|먼지진흙 만
Tidefury Cove|성난파도 만
Dreadmurk Shore|몸서리 해안
Addle's Stead|애들 농장
Fire Plume Ridge|불기둥 마루
Lakkari Tar Pits|락카리 잿구덩이
Terror Run|공포의 터
The Slithering Scar|갈래굽이 구렁
Marshal's Refuge|마샬의 야영지
Fungal Rock|버섯 바위굴
Golakka Hot Springs|골락카 간헐천
The Loch|대호수
Beggar's Haunt|부랑자 소굴
Kodo Graveyard|코도 무덤
Ghost Walker Post|침묵의 초소
Sar'theris Strand|살데리스 해안
Thunder Axe Fortress|천둥도끼 요새
Bolgan's Hole|볼간의 굴
Mannoroc Coven|만노로크 소굴
Sargeron|살게론
Shok'Thokar|쇼크토카르
Gelkis Village|겔키스 마을
Valley of Spears|뾰족바위 골짜기
Nijel's Point|나이젤의 야영지
Kolkar Village|콜카르 마을
Mount Hyjal|하이잘 산
Winterspring|새끼
Blackwolf River|검은늑대 강
Kodo Rock|코도 바위
Hidden Path|비밀의 길
Spirit Rock|정기 바위
Shrine of the Dormant Flame|희미한 불꽃의 제단
Lake Elune'ara|엘룬아라 호수
The Harborage|피난처
Outland|아웃랜드
Craftsmen's Terrace UNUSED|장인의 정원 미사용
Tradesmen's Terrace UNUSED|상인의 정원 미사용
The Temple Gardens UNUSED|신전 정원 미사용
Temple of Elune UNUSED|엘룬의 신전 미사용
Cenarion Enclave UNUSED|세나리온 자치령 미사용
Warrior's Terrace UNUSED|전사의 정원 미사용
Rut'theran Village|루테란 마을
Ironband's Compound|아이언밴드 야영지
The Stockade|스톰윈드 지하감옥
Wailing Caverns|통곡의 동굴
Blackfathom Deeps|검은심연 나락
Fray Island|격투의 섬
Gnomeregan|놈리건
Razorfen Downs|가시덩굴 구릉
Ban'ethil Hollow|바네실 동굴
Scarlet Monastery|붉은십자군 수도원
Jerod's Landing|제로드 선착장
Ridgepoint Tower|마루목 감시탑
The Darkened Bank|어스름 강둑
Coldridge Pass|눈마루 통로
Chill Breeze Valley|찬바람 골짜기
Shimmer Ridge|아지랑이 마루
Amberstill Ranch|앰버스틸 목장
The Tundrid Hills|툰드리드 언덕
South Gate Pass|남부 관문 통행로
South Gate Outpost|남부 관문 전초기지
North Gate Pass|북부 관문 통행로
North Gate Outpost|북부 관문 전초기지
Gates of Ironforge|아이언포지 성문
Stillwater Pond|청정 연못
Nightmare Vale|악몽의 골짜기
Venomweb Vale|독그물 골짜기
Razormane Grounds|서슬갈기 영토
Skull Rock|해골 바위굴
Palemane Rock|회색갈기 바위굴
Windfury Ridge|성난바람 마루
The Golden Plains|황금 초원
The Rolling Plains|구릉 초원
Twilight Grove|황혼의 숲
GM Island|GM의 안식처
Purgation Isle|속죄의 섬
The Jansen Stead|얀센 농장
The Dead Acre|메마른 논밭
The Molsen Farm|몰센 농장
Stendel's Pond|스텐들의 연못
The Dagger Hills|비수 언덕
Demont's Place|데몬트의 집터
The Dust Plains|먼지 언덕
Stonesplinter Valley|가루바위 골짜기
Valley of Kings|왕의 계곡
Algaz Station|알가즈 주둔지
Bucklebree Farm|버클브리 농장
The Shining Strand|반짝이는 호숫가
North Tide's Beachhead|북부 해안 교두보
Grizzlepaw Ridge|곰발바닥 마루
The Verdant Fields|신록의 들판
Gadgetzan|가젯잔
Steamwheedle Port|스팀휘들 항구
Zul'Farrak|줄파락
Sandsorrow Watch|슬픈모래 감시탑
Thistleshrub Valley|덤불나무 골짜기
The Gaping Chasm|모래지옥 협곡
The Noxious Lair|맹독의 둥지
Dunemaul Compound|모래망치 주둔지
Eastmoon Ruins|동쪽 달 폐허
Waterspring Field|샘솟는 벌판
Zalashji's Den|잘라쉬지의 굴
Land's End Beach|끝자락 해안
Wavestrider Beach|파도타기 해안
Ruins of Uldum|울둠 폐허
Valley of the Watchers|감시자의 골짜기
Gunstan's Post|건스탠의 야영지
Southmoon Ruins|남쪽 달 폐허
Render's Camp|약탈의 야영지
Render's Valley|약탈의 계곡
Render's Rock|약탈의 바위굴
Stonewatch Tower|돌망루 탑
Galardell Valley|갈라델 골짜기
Lakeridge Highway|호수마루 오솔길
Three Corners|붉은마루 삼거리
Direforge Hill|공포철로 언덕
Raptor Ridge|랩터 마루
Black Channel Marsh|검은바닥 습지대
The Green Belt|녹지대
Mosshide Fen|이끼가죽 수렁
Thelgen Rock|텔겐 바위굴
Bluegill Marsh|푸른아가미 습지대
Saltspray Glen|소금물 습지대
Sundown Marsh|해몰이 늪
Angerfang Encampment|성난송곳니 야영지
Grim Batol|그림 바톨
Dragonmaw Gates|용아귀 관문
The Lost Fleet|잃어버린 해안
Darrow Hill|다로우 언덕
Webwinder Path|그물누비 고개
The Hushed Bank|고요의 강둑
Manor Mistmantle|미스트맨틀 장원
Camp Mojache|모자케 야영지
Grimtotem Compound|그림토템 주둔지
The Writhing Deep|고통의 구덩이
Wildwind Lake|갈기바람 호수
Gordunni Outpost|골두니 전초기지
Mok'Gordun|모크골둔
Feral Scar Vale|거친흉터 골짜기
Frayfeather Highlands|공작날개 고원
Idlewind Lake|산들바람 호수
The Forgotten Coast|잊혀진 해안
East Pillar|동쪽 기둥
West Pillar|서쪽 기둥
Dream Bough|꿈나무
Jademir Lake|비취비늘 호수
Oneiros|오네이로스
Ruins of Ravenwind|까마귀바람 폐허
Rage Scar Hold|무쇠설인 소굴
Ruins of Feathermoon|페더문 폐허
Ruins of Solarsal|솔라살 폐허
Lower Wilds UNUSED|낮은벌 미사용
The Twin Colossals|쌍둥이 바위산
Sardor Isle|살도르 섬
Isle of Dread|공포의 섬
High Wilderness|높은벌
Lower Wilds|낮은벌
Southern Gold Road|남부 황금길
Utgarde Pinnacle|우트가드 첨탑
Blackmaw Hold|검은아귀 요새
Vanndir Encampment|반디르 야영지
Legash Encampment|레가쉬 야영지
Darnassian Base Camp|다르나서스 주둔지
Ruins of Eldarath|엘다라스 폐허
Hetaera's Clutch|헤타에라의 손아귀
Temple of Zin-Malor|진말로의 신전
Bear's Head|곰마루
Ursolan|우르솔란
Ruins of Arkkoran|아크코란의 폐허
Bay of Storms|폭풍의 만
The Shattered Strand|조각난 해안
Tower of Eldara|엘다라의 탑
Jagged Reef|톱니 산호초
Southridge Beach|남녘마루 해안
Ravencrest Monument|레이븐크레스트 기념비
Forlorn Ridge|쓸쓸한 마루
Lake Mennar|멘나르 호수
Shadowsong Shrine|섀도송 제단
Haldarr Encampment|할다르 야영지
Valormok|발로르모크
The Ruined Reaches|버려진 착륙장
Talondeep Vale|갈퀴자국 골짜기
The Talondeep Path|갈퀴자국 토굴길
Rocktusk Farm|바위엄니 농장
Jaggedswine Farm|톱니멧돼지 농장
Lost Rigger Cove|해적단 소굴
Uldaman|울다만
Gallows' Corner|교수대 삼거리
Silithus|차원문
Emerald Forest|에메랄드 숲
Sunken Temple|가라앉은 사원
Dreadmaul Hold|우레망치 요새
Nethergarde Keep|네더가드 요새
Dreadmaul Post|우레망치 주둔지
Serpent's Coil|뱀의 보금자리
Firewatch Ridge|불망루 마루
The Slag Pit|잿가루 채석장
The Sea of Cinders|잿더미 바다
Thorium Point|토륨 거점
Nethergarde Mines|네더가드 광산
The Temple of Atal'Hakkar|아탈학카르 신전
Undercity|언더시티
Not Used Deadmines|죽음의 폐광
Stormwind City|스톰윈드
Ironforge|아이언포지
Splithoof Hold|갈래발굽 소굴
Cape of Stranglethorn|가시덤불 곶
Southern Savage Coast|폭풍 해안 남부
Unused The Deadmines 002|죽음의 폐광 002 미사용
Unused Ironclad Cove 003|철갑 동굴 003 미사용
The Deadmines|죽음의 폐광
Ironclad Cove|철갑 동굴
Blackrock Spire|검은바위 첨탑
Blackrock Depths|검은바위 나락
Raptor Grounds UNUSED|랩터 서식지 미사용
Grol'dom Farm UNUSED|그롤돔 농장 미사용
Mor'shan Base Camp|몰샨 주둔지
Honor's Stand UNUSED|명예의 감시탑
Blackthorn Ridge UNUSED|검은가시 마루 미사용
Bramblescar UNUSED|가시덩굴 벌판 미사용
Agama'gor UNUSED|아가마고르 미사용
Valley of Heroes|영웅의 계곡
Orgrimmar|오그리마
Thunder Bluff|썬더 블러프
Elder Rise|장로의 봉우리
Spirit Rise|정기의 봉우리
Hunter Rise|수렵의 봉우리
Darnassus|다르나서스
Cenarion Enclave|세나리온 자치령
Craftsmen's Terrace|장인의 정원
Warrior's Terrace|전사의 정원
The Temple Gardens|신전 정원
Tradesmen's Terrace|상인의 정원
Gavin's Naze|가빈 절벽
Sofera's Naze|소페라 절벽
Corrahn's Dagger|코란의 비수
The Headland|마루터기
Misty Shore|물안개 호숫가
Dandred's Fold|단드레드 장원
Growless Cave|침묵의 동굴
Chillwind Point|서리바람 거점
Bramblescar|가시덩굴 벌판
Thorn Hill|가시덩굴 언덕
Honor's Stand|명예의 감시탑
The Mor'shan Rampart|몰샨의 망루
Grol'dom Farm|그롤돔 농장
Mistvale Valley|안개계곡 골짜기
Nek'mani Wellspring|네크마니 수원지
Hardwrench Hideaway|하드렌치 은신처
Venture Co. Base Camp|투자개발회사 탐사기지
Gurubashi Arena|구루바시 투기장
Spirit Den|정기의 동굴
The Crimson Veil|주홍빛 장막호
The Riptide|격정의 파도호
The Damsel's Luck|아가씨의 행운호
Venture Co. Operations Center|투자개발회사 기계조작실
Deadwood Village|마른가지 마을
Felpaw Village|악령발 마을
Jaedenar|제데나르
Bloodvenom River|피멍울 강
Bloodvenom Falls|피멍울 폭포
Shatter Scar Vale|불벼락 골짜기
Irontree Woods|강철나무 숲
Irontree Cavern|강철나무 굴
Timbermaw Hold|나무구렁 요새
Shadow Hold|어둠의 요새
Shrine of the Deceiver|기만자의 사원
Purespring Cavern|맑은샘 동굴
Sorrowmurk|슬픔의 그늘
Draenil'dur Village|드레닐두르 마을
Splinterspear Junction|부러진창 교차로
Stagalbog|진흙수렁
The Shifting Mire|변화의 늪
Stagalbog Cave|진흙수렁 동굴
Witherbark Caverns|마른나무껍질 동굴
Boulder'gor|돌주먹 언덕
Valley of Fangs|송곳니 골짜기
The Dustbowl|먼지받이
Mirage Flats|신기루 벌판
Featherbeard's Hovel|페더비어드의 오두막
Shindigger's Camp|신디거의 야영지
Plaguemist Ravine|역병안개 협곡
Valorwind Lake|돌개바람 호수
Agol'watha|아골와타
Hiri'watha Research Station|히리와타 연구 기지
The Creeping Ruin|굼벵이 폐허
Bogen's Ledge|보겐의 절벽
The Maker's Terrace|창조주의 정원
Dustwind Gulch|먼지바람 협곡
Shaol'watha|샤올와타
Noonshade Ruins|해그늘 폐허
Broken Pillar|무너진 기둥
Abyssal Sands|끝없는 사막
Southbreak Shore|거친파도 해안
Caverns of Time|시간의 동굴
The Marshlands|늪지대
Ironstone Plateau|강철바위 고원
Blackchar Cave|검은재 동굴
Tanner Camp|무두장이 야영지
Dustfire Valley|먼지불 골짜기
Misty Reed Farm|안개갈대 농장
Bloodvenom Post|피멍울 초소
Talonbranch Glade|갈퀴가지 숲
Stratholme|스트라솔름
Quel'Thalas|쿠엘탈라스
Scholomance|스칼로맨스
Twilight Vale|황혼의 계곡
Twilight Shore|황혼 해안
Alcaz Island|알카즈 섬
Darkcloud Pinnacle|먹구름 봉우리
Dawning Wood Catacombs|새벽숲 지하묘지
Stonewatch Keep|돌망루 요새
Maraudon|마라우돈
Stoutlager Inn|스타우트라거 여관
Thunderbrew Distillery|썬더브루 양조장
Menethil Keep|메네실 요새
Deepwater Tavern|깊은바다 선술집
Shadow Grave|암흑의 무덤
Brill Town Hall|브릴 마을회관
Gallows' End Tavern|교수대끝 선술집
The Pools of VisionUNUSED|예언의 웅덩이 미사용
Dreadmist Den|공포안개 굴
Emberstrife's Den|엠버스트라이프의 굴
Onyxia's Lair|오닉시아의 둥지
Windshear Mine|칼바람 광산
Roland's Doom|롤랜드 광산
Battle Ring|전투장
The Pools of Vision|예언의 웅덩이
Shadowbreak Ravine|동트는 협곡
