Original|Translated
New Tinkertown|Nueva Ciudad Manitas
Gol'Bolar Quarry|Cantera de Gol'Bolar
Frostmane Hold|Poblado Peloescarcha
The Grizzled Den|El Cubil Pardo
Brewnall Village|Las Birras
Misty Pine Refuge|Refugio Pinobruma
Eastern Plaguelands|Tierras de la Peste del Este
Ironband's Excavation Site|Excavación de Vetaferro
Mo'grosh Stronghold|Fortaleza de Mo'grosh
Algaz Gate|Puerta de Algaz
Stonewrought Dam|Presa de las Tres Cabezas
The Farstrider Lodge|Cabaña de los Errantes
Darkshore|Costa Oscura
Silver Stream Mine|Mina de Fuenteplata
Menethil Harbor|Puerto de Menethil
Designer Island|Isla del Diseñador
The Bulwark|El Baluarte
Ruins of Lordaeron|Ruinas de Lordaeron
Deathknell|Camposanto
Night Web's Hollow|Hoya Nocturácnidas
Solliden Farmstead|Hacienda Solliden
Agamand Mills|Molinos de Agamand
Agamand Family Crypt|Cripta de la Familia Agamand
Brill|Rémol
Whispering Gardens|Jardines de los Susurros
Terrace of Repose|Bancal del Reposo
Brightwater Lake|Lago Aguasclaras
Gunther's Retreat|Refugio de Gunther
Garren's Haunt|Granja de Garren
Balnir Farmstead|Hacienda Balnir
Cold Hearth Manor|Mansión Fríogar
Crusader Outpost|Avanzada de los Cruzados
The North Coast|La Costa Norte
Whispering Shore|Costa Murmurante
Lordamere Lake|Lago Lordamere
Fenris Isle|Isla de Fenris
Faol's Rest|Tumba de Faol
Shadowglen|Cañada Umbría
Steelgrill's Depot|Almacén de Brasacerada
Hearthglen|Vega del Amparo
Northridge Lumber Camp|Aserradero Crestanorte
School of Necromancy|Escuela de Nigromancia
Uther's Tomb|Tumba de Uther
Sorrow Hill|Colina de las Penas
The Weeping Cave|La Cueva del Llanto
Felstone Field|Campo de Piedramácula
Dalson's Farm|Granja de Dalson
Gahrron's Withering|Gangrena de Gahrron
The Writhing Haunt|El Tormento
Mardenholde Keep|Fortaleza de Mardenholde
Pyrewood Village|Aldea Piroleña
Utgarde Keep|Fortaleza de Utgarde
The Great Sea|Mare Magnum
Unused Ironcladcove|Unused Cala del Acorazado
Shadowfang Keep|Castillo de Colmillo Oscuro
Icecrown|Corona de Hielo
Iceflow Lake|Lago Glacial
Helm's Bed Lake|Lago de Helm
Deep Elem Mine|Mina de Elem
Alexston Farmstead|Hacienda de Alexston
Red Cloud Mesa|Mesa de la Nube Roja
Camp Narache|Campamento Narache
Bloodhoof Village|Poblado Pezuña de Sangre
Stonebull Lake|Lago Toro de Piedra
Ravaged Caravan|Caravana Devastada
Red Rocks|Roca Roja
The Skittering Dark|Penumbra de las Celerácnidas
Valgan's Field|Campo de Valgan
The Sepulcher|El Sepulcro
Olsen's Farthing|Finca de Olsen
The Greymane Wall|La Muralla de Cringris
Beren's Peril|El Desafío de Beren
The Dawning Isles|Islas del Alba
Ambermill|Molino Ámbar
Fenris Keep|Castillo de Fenris
The Decrepit Fields|Los Campos Decrépitos
Malden's Orchard|Huerta de Malden
The Ivar Patch|Los Dominios de Ivar
The Dead Field|El Campo Muerto
The Rotting Orchard|El Vergel Pútrido
Brightwood Grove|Arboleda del Destello
Forlorn Rowe|Loma Inhóspita
The Whipple Estate|El Raquitismo
The Yorgen Farmstead|La Hacienda Yorgen
The Cauldron|La Caldera
Grimesilt Dig Site|Excavación de Limugre
Dreadmaul Rock|Roca Machacamiedo
Ruins of Thaurissan|Ruinas de Thaurissan
Flame Crest|Peñasco Llamarada
Blackrock Stronghold|Bastión de Roca Negra
The Pillar of Ash|El Pilar de Ceniza
Altar of Storms|Altar de la Tempestad
Shadowthread Cave|Gruta Narácnida
Fel Rock|Roca Mácula
Lake Al'Ameth|Lago Al'Ameth
Starbreeze Village|Aldea Brisa Estelar
Gnarlpine Hold|Tierras de los Tuercepinos
Ban'ethil Barrow Den|Túmulo de Ban'ethil
The Cleft|La Grieta
The Oracle Glade|El Claro del Oráculo
Wellspring River|Río Primigenio
Wellspring Lake|Lago Primigenio
Hillsbrad Foothills|Laderas de Trabalomas
Azshara Crater|Cráter de Azshara
Ruins of Southshore|Ruinas de Costasur
Tarren Mill|Molino Tarren
Durnholde Keep|Castillo de Durnholde
The Foothill Caverns|Cuevas de la Ladera
Brazie Farmstead|Granja de Brazie
Dalaran Crater|Cráter de Dalaran
Ruins of Alterac|Ruinas de Alterac
Crushridge Hold|Dominios de los Aplastacresta
Slaughter Hollow|Cuenca de la Matanza
The Uplands|Las Tierras Altas
Southpoint Gate|Puerta Austral
The Sludge Fields|Los Campos de Lodo
Hillsbrad|Trabalomas
Azurelode Mine|Mina Azur
Nethander Stead|Granja Nethander
Thoradin's Wall|Muralla de Thoradin
Eastern Strand|Playa del Este
Western Strand|Playa del Oeste
Jaguero Isle|Isla Jaguero
Baradin Bay|Bahía de Baradin
Menethil Bay|Bahía de Menethil
Misty Reed Strand|Playa Juncobruma
The Savage Coast|La Costa Salvaje
The Crystal Shore|La Costa de Cristal
Shell Beach|Playa del Molusco
North Tide's Run|Cala Mareanorte
South Tide's Run|Cala Mareasur
The Overlook Cliffs|Los Acantilados Dominantes
The Forbidding Sea|Mar Adusto
Ironbeard's Tomb|Tumba de Barbaférrea
Crystalvein Mine|Mina de Cristal
Ruins of Aboraz|Ruinas de Aboraz
Janeiro's Point|Cayo de Janeiro
Northfold Manor|Mansión Redilnorte
Go'Shek Farm|Granja Go'shek
Dabyrie's Farmstead|Granja de Dabyrie
Boulderfist Hall|Sala Puño de Roca
Witherbark Village|Poblado Secacorteza
Drywhisker Gorge|Cañón Mostacho Seco
Refuge Pointe|Refugio de la Zaga
Hammerfall|Sentencia
Blackwater Shipwrecks|Naufragios de Aguasnegras
O'Breen's Camp|Campamento de O'Breen
Stromgarde Keep|Castillo de Stromgarde
The Tower of Arathor|Torre de Arathor
The Sanctum|El Sagrario
Faldir's Cove|Cala de Faldir
The Drowned Reef|El Arrecife Hundido
Thandol Span|Puente Thandol
Ashenvale|Vallefresno
Circle of East Binding|Círculo de Vínculo Este
Circle of West Binding|Círculo de Vínculo Oeste
Circle of Inner Binding|Círculo de Vínculo Interior
Circle of Outer Binding|Círculo de Vínculo Exterior
Apocryphan's Rest|Descanso de Apócrifo
Angor Fortress|Fortaleza de Angor
Lethlor Ravine|Barranco Lethlor
Ruins of Kargath|Ruinas de Kargath
Camp Kosh|Asentamiento Kosh
Camp Boff|Asentamiento Boff
Camp Wurg|Asentamiento Wurg
Camp Cagg|Asentamiento Cagg
Agmond's End|El Final de Agmond
Hammertoe's Digsite|Excavación de Piemartillo
Dustbelch Grotto|Gruta Rotapolvo
Aerie Peak|Pico Nidal
Wildhammer Keep|Fortaleza de los Martillo Salvaje
Quel'Danil Lodge|Avanzada Quel'Danil
Skulk Rock|Roca Oculta
The Altar of Zul|El Altar de Zul
Brambleblade Ravine|Barranco Cortazarza
The Venture Co. Mine|Mina Ventura y Cía.
Felwood|Frondavil
Razor Hill|Cerrotajo
Valley of Trials|Valle de los Retos
The Den|El Cubil
Burning Blade Coven|Aquelarre del Filo Ardiente
Northwatch Foothold|Ciudadela del Fuerte del Norte
Sen'jin Village|Poblado Sen'jin
Echo Isles|Islas del Eco
Thunder Ridge|Monte del Trueno
Drygulch Ravine|Barranco Árido
Dustwind Cave|Cueva Viento Seco
Tiragarde Keep|Fuerte de Tiragarde
Scuttle Coast|Costa de la Huida
Bladefist Bay|Bahía de Garrafilada
Deadeye Shore|Costa de Mortojo
Southfury River|Río Furia del Sur
Far Watch Post|Avanzada del Puente
The Crossroads|El Cruce
Boulder Lode Mine|Mina Pedrusco
The Sludge Fen|El Fangal
The Dry Hills|Las Colinas Áridas
Dreadmist Peak|Cima Calígine
The Forgotten Pools|Las Charcas del Olvido
Lushwater Oasis|Oasis Aguaverde
The Stagnant Oasis|El Oasis Estancado
The Merchant Coast|La Costa Mercante
Ratchet|Trinquete
Darkspear Strand|Playa Lanza Negra
Grizzly Hills|Colinas Pardas
Grizzlemaw|Fauceparda
Winterhoof Water Well|Pozo Pezuña Invernal
Thunderhorn Water Well|Pozo Tronacuerno
Wildmane Water Well|Pozo Ferocrín
Skyline Ridge|Cresta Horizonte
Thousand Needles|Las Mil Agujas
The Tidus Stair|El Escalón de la Marea
Shady Rest Inn|Posada Reposo Umbrío
Bael'dun Digsite|Excavación de Bael'dun
Stonetalon Mountains|Sierra Espolón
Gillijim's Isle|Isla de Gillijim
Island of Doctor Lapidis|Isla del Doctor Lapidis
Razorwind Canyon|Cañón del Ventajo
Bathran's Haunt|Ruinas de Bathran
The Ruins of Ordil'Aran|Las Ruinas de Ordil'Aran
Maestra's Post|Atalaya de Maestra
The Zoram Strand|La Ensenada de Zoram
The Shrine of Aessina|El Santuario de Aessina
Fire Scar Shrine|Santuario de la Escara
The Ruins of Stardust|Las Ruinas del Polvo Estelar
The Howling Vale|Vega del Aullido
Silverwind Refuge|Refugio Brisa de Plata
Mystral Lake|Lago Mystral
Fallen Sky Lake|Lago Cielo Estrellado
Remains of Iris Lake|Ruinas del Lago Iris
Moonwell of Purity|Poza de la Luna de Pureza
Raynewood Retreat|Refugio de la Algaba
The Shady Nook|El Rincón Lóbrego
Night Run|Senda de la Noche
Splintertree Post|Puesto del Hachazo
The Dor'Danil Barrow Den|El Túmulo de Dor'danil
Falfarren River|Río Falfarren
Felfire Hill|Cerro Lumbrevil
Demon Fall Canyon|Barranco del Demonio
Demon Fall Ridge|Cresta del Demonio
Warsong Lumber Camp|Aserradero Grito de Guerra
Bough Shadow|Talloumbrío
The Shimmering Flats|El Desierto de Sal
Lake Falathim|Lago Falathim
Ruins of Auberdine|Ruinas de Auberdine
Ruins of Mathystra|Ruinas de Mathystra
Tower of Althalaxx|Torre de Althalaxx
Cliffspring Falls|Salto de Fonroca
Grove of the Ancients|Páramo de los Ancianos
The Master's Glaive|La Espada del Maestro
Remtravel's Excavation|Excavación de Tripirrem
Mist's Edge|Cabo de la Niebla
The Long Wash|Playa del Oleaje
Wildbend River|Río Culebra
Blackwood Den|Cubil del Bosque Negro
Cliffspring River|Río Fonroca
The Veiled Sea|Mar de la Bruma
Gold Road|Camino del Oro
Scarlet Watch Post|Atalaya Escarlata
Sun Rock Retreat|Refugio Roca del Sol
Windshear Crag|Risco Cortaviento
Cragpool Lake|Lago del Peñasco
Mirkfallon Lake|Lago Mirkfallon
The Charred Vale|La Vega Carbonizada
Valley of the Bloodfuries|Valle Furia Sangrienta
Stonetalon Peak|Cima del Espolón
The Talon Den|El Cubil del Espolón
Greatwood Vale|Vega del Gran Bosque
Thunder Bluff UNUSED|Cima del Trueno UNUSED
Brave Wind Mesa|Mesa de Viento Bravo
Fire Stone Mesa|Mesa de La Piedra de Fuego
Mantle Rock|Rocamanto
Ruins of Jubuwal|Ruinas de Jubuwal
Pools of Arlithrien|Estanques de Arlithrien
The Rustmaul Dig Site|Excavación Oximelena
Camp E'thok|Campamento E'thok
Splithoof Crag|Risco Pezuña Quebrada
Highperch|Nido Alto
The Screeching Canyon|Cañón del Chirrido
Freewind Post|Poblado Viento Libre
The Great Lift|El Gran Elevador
Galak Hold|Dominios Galak
Roguefeather Den|Guarida Malapluma
The Weathered Nook|El Hueco Perdido
Un'Goro Crater|Cráter de Un'Goro
Razorfen Kraul|Horado Rajacieno
Raven Hill Cemetery|Cementerio del Cerro del Cuervo
Moonglade|Claro de la Luna
Howling Fjord|Fiordo Aquilonal
Brackenwall Village|Poblado Murohelecho
Swamplight Manor|Mansión Cienaluz
Bloodfen Burrow|Madriguera de los Cienorrojo
Darkmist Cavern|Cueva Niebla Negra
Moggle Point|Cabo Moggle
Beezil's Wreck|Siniestro de Beezil
Witch Hill|Colina de las Brujas
Sentry Point|Alto del Centinela
North Point Tower|Torre de la Punta Norte
West Point Tower|Torre de la Punta Oeste
Lost Point|Punta Perdida
Bluefen|Ciénaga Azul
Stonemaul Ruins|Ruinas Quebrantarrocas
The Den of Flame|Cubil de la Llama
The Dragonmurk|El Pantano del Dragón
Wyrmbog|Ciénaga de Fuego
Blackhoof Village|Poblado Pezuñanegra
Theramore Isle|Isla Theramore
Foothold Citadel|Ciudadela Garrida
Ironclad Prison|Prisión del Acorazado
Dustwallow Bay|Bahía Revolcafango
Tidefury Cove|Cala Furiamarea
Dreadmurk Shore|Playa Tenebruma
Addle's Stead|Granja de Addle
Fire Plume Ridge|Cresta del Penacho en Llamas
Lakkari Tar Pits|Fosas de Alquitrán Lakkari
Terror Run|Camino del Terror
The Slithering Scar|La Cicatriz Serpenteante
Marshal's Refuge|Refugio de Marshal
Fungal Rock|Roca Fungal
Golakka Hot Springs|Baños de Golakka
The Loch|Loch Modan
Beggar's Haunt|Refugio de los Mendigos
Kodo Graveyard|Cementerio de Kodos
Ghost Walker Post|Campamento del Espíritu Errante
Sar'theris Strand|Playa de Sar'theris
Thunder Axe Fortress|Fortaleza del Hacha de Trueno
Bolgan's Hole|Cuenca de Bolgan
Mannoroc Coven|Aquelarre Mannoroc
Gelkis Village|Poblado Gelkis
Valley of Spears|Valle de las Lanzas
Nijel's Point|Punta de Nijel
Kolkar Village|Poblado Kolkar
Mount Hyjal|Monte Hyjal
Winterspring|Cuna del Invierno
Blackwolf River|Río Lobonegro
Kodo Rock|Roca de los Kodos
Hidden Path|Sendero Oculto
Spirit Rock|Roca de los Espíritus
Shrine of the Dormant Flame|Santuario de la Llama Latente
Lake Elune'ara|Lago Elune'ara
The Harborage|El Puerto
Outland|Terrallende
Temple of Elune UNUSED|Templo de Elune UNUSED
Rut'theran Village|Aldea Rut'theran
Ironband's Compound|Complejo Vetaferro
The Stockade|Las Mazmorras
Wailing Caverns|Cuevas de los Lamentos
Blackfathom Deeps|Cavernas de Brazanegra
Fray Island|Isla de Batalla
Razorfen Downs|Zahúrda Rajacieno
Ban'ethil Hollow|Hondonada Ban'ethil
Scarlet Monastery|Monasterio Escarlata
Jerod's Landing|Embarcadero de Jerod
Ridgepoint Tower|Torre de la Peña
The Darkened Bank|La Ribera Lóbrega
Coldridge Pass|Desfiladero de Crestanevada
Chill Breeze Valley|Valle Escalofrío
Shimmer Ridge|Monte Luz
Amberstill Ranch|Granja de Semperámbar
The Tundrid Hills|Las Colinas Tundra
South Gate Pass|Paso de la Puerta Sur
South Gate Outpost|Avanzada de la Puerta Sur
North Gate Pass|Paso de la Puerta Norte
North Gate Outpost|Avanzada de la Puerta Norte
Gates of Ironforge|Puertas de Forjaz
Stillwater Pond|Charca Aguaserena
Nightmare Vale|Vega Pesadilla
Venomweb Vale|Vega Venerácnidas
Razormane Grounds|Tierras Crines de Acero
Skull Rock|Roca del Cráneo
Palemane Rock|Roca Crines Pálidas
Windfury Ridge|Cresta Viento Furioso
The Golden Plains|Las Llanuras Doradas
The Rolling Plains|Las Llanuras Onduladas
Twilight Grove|Arboleda del Crepúsculo
GM Island|Isla de los MJ
Purgation Isle|Isla del Purgatorio
The Jansen Stead|La Finca de Jansen
The Dead Acre|El Campo Funesto
The Molsen Farm|La Granja de Molsen
Stendel's Pond|Estanque de Stendel
The Dagger Hills|Las Colinas Afiladas
Demont's Place|Paraje de Demont
The Dust Plains|Los Yermos Polvorientos
Stonesplinter Valley|Valle Rompecantos
Valley of Kings|Valle de los Reyes
Algaz Station|Estación de Algaz
Bucklebree Farm|La granja de Bucklebree
The Shining Strand|La Playa Plateada
North Tide's Beachhead|Desembarco Mareanorte
Grizzlepaw Ridge|Fuerte Zarpagris
The Verdant Fields|Los Verdegales
Steamwheedle Port|Puerto Bonvapor
Sandsorrow Watch|Vigía Penas de Arena
Thistleshrub Valley|Valle Cardizal
The Gaping Chasm|Sima Abierta
The Noxious Lair|La Guarida Ponzoñosa
Dunemaul Compound|Base Machacaduna
Eastmoon Ruins|Ruinas de Lunaeste
Waterspring Field|Campo del Manantial
Zalashji's Den|Guarida de Zalashji
Land's End Beach|Playa Finisterrae
Wavestrider Beach|Playa Baile de las Olas
Ruins of Uldum|Ruinas de Uldum
Valley of the Watchers|Valle de los Vigías
Gunstan's Post|Puesto de Gunstan
Southmoon Ruins|Ruinas de Lunasur
Render's Camp|Campamento de Render
Render's Valley|Valle de Render
Render's Rock|Roca de Render
Stonewatch Tower|Torre de Petravista
Galardell Valley|Valle de Galardell
Lakeridge Highway|Camino del Lago
Three Corners|Tres Caminos
Direforge Hill|Cerro Fraguaferoz
Raptor Ridge|Colina del Raptor
Black Channel Marsh|Pantano del Canal Negro
The Green Belt|La Franja Verde
Mosshide Fen|Pantano Pellejomusgo
Thelgen Rock|Roca Thelgen
Bluegill Marsh|Pantano Branquiazul
Saltspray Glen|Cañada Salobre
Sundown Marsh|Pantano del Ocaso
Angerfang Encampment|Campamento Dentellada
Dragonmaw Gates|Puertas Faucedraco
The Lost Fleet|La Flota Perdida
Darrow Hill|Colinas de Darrow
Webwinder Path|Senda de las Tejedoras
The Hushed Bank|La Ribera Silente
Manor Mistmantle|Mansión Mantoniebla
Camp Mojache|Campamento Mojache
Grimtotem Compound|Dominios Tótem Siniestro
The Writhing Deep|Las Galerías Retorcidas
Wildwind Lake|Lago Ventosalvaje
Gordunni Outpost|Avanzada Gordunni
Feral Scar Vale|Vega Cicatriz Feral
Frayfeather Highlands|Tierras Altas de Plumavieja
Idlewind Lake|Lago Soplo
The Forgotten Coast|La Costa Olvidada
East Pillar|Pilar Este
West Pillar|Pilar Oeste
Dream Bough|Rama Oniria
Jademir Lake|Lago Jademir
Ruins of Ravenwind|Ruinas de Viento Azabache
Rage Scar Hold|Dominios de los Cicatriz de Rabia
Ruins of Feathermoon|Ruinas de Plumaluna
Ruins of Solarsal|Ruinas de Solarsal
The Twin Colossals|Los Dos Colosos
Sardor Isle|Isla de Sardor
Isle of Dread|Isla del Terror
High Wilderness|Altas Tierras Salvajes
Lower Wilds|Bajas Tierras Salvajes
Southern Gold Road|Camino del Oro Sur
Utgarde Pinnacle|Pináculo de Utgarde
Blackmaw Hold|Bastión Faucenegra
Vanndir Encampment|Campamento Vanndir
Legash Encampment|Campamento Legashi
Darnassian Base Camp|Campamento Base Darnassiano
Ruins of Eldarath|Ruinas de Eldarath 
Hetaera's Clutch|Guarida de Hetaera
Temple of Zin-Malor|Templo de Zin-Malor
Bear's Head|Cabeza de Oso
Ruins of Arkkoran|Ruinas de Arkkoran
Bay of Storms|Bahía de la Tempestad
The Shattered Strand|La Playa Arrasada
Tower of Eldara|Torre de Eldara
Jagged Reef|Arrecife Dentado
Southridge Beach|Playa del Arrecife Sur
Ravencrest Monument|Monumento Cresta Cuervo
Forlorn Ridge|Loma Desolada
Lake Mennar|Lago Mennar
Shadowsong Shrine|Santuario Cantosombrío
Haldarr Encampment|Campamento Haldarr
The Ruined Reaches|Las Ruinas
Talondeep Vale|Valle del Espolón
The Talondeep Path|El Paso del Espolón
Rocktusk Farm|Granja Rocamuela
Jaggedswine Farm|La Pocilga
Lost Rigger Cove|Cala del Aparejo Perdido
Gallows' Corner|Camino de la Horca
Emerald Forest|Bosque Esmeralda
Sunken Temple|Templo Sumergido
Dreadmaul Hold|Bastión Machacamiedo
Nethergarde Keep|Castillo de Nethergarde
Dreadmaul Post|Puesto Machacamiedo
Serpent's Coil|Serpiente Enroscada
Firewatch Ridge|Cresta Vigía
The Slag Pit|La Fosa de la Escoria
The Sea of Cinders|El Mar de las Cenizas
Thorium Point|Puesto del Torio
Nethergarde Mines|Minas de Nethergarde
The Temple of Atal'Hakkar|El Templo de Atal'Hakkar
Undercity|Entrañas
Stormwind City|Ciudad de Ventormenta
Ironforge|Forjaz
Splithoof Hold|Campamento Pezuña Quebrada
Cape of Stranglethorn|El Cabo de Tuercespina
Southern Savage Coast|Costa Salvaje del Sur
The Deadmines|Las Minas de la Muerte
Ironclad Cove|Cala del Acorazado
Blackrock Spire|Cumbre de Roca Negra
Blackrock Depths|Profundidades de Roca Negra
Mor'shan Base Camp|Campamento de Mor'shan
Valley of Heroes|Valle de los Héroes
Thunder Bluff|Cima del Trueno
Elder Rise|Alto de los Ancestros
Spirit Rise|Alto de los Espíritus
Hunter Rise|Alto de los Cazadores
Cenarion Enclave|Enclave Cenarion
Craftsmen's Terrace|Bancal del Artesano
Warrior's Terrace|Bancal del Guerrero
The Temple Gardens|Los Jardines del Templo
Tradesmen's Terrace|Bancal de los Mercaderes
Gavin's Naze|Saliente de Gavin
Sofera's Naze|Saliente de Sofera
Corrahn's Dagger|Daga de Corrahn
The Headland|La Punta
Misty Shore|Costa de la Neblina
Dandred's Fold|Redil de Dandred
Growless Cave|Caverna Estrecha
Chillwind Point|Alto del Orvallo
Bramblescar|Rajazarza
Thorn Hill|Colina Espinosa
Honor's Stand|El Alto del Honor
The Mor'shan Rampart|La Empalizada de Mor'shan
Grol'dom Farm|Granja de Grol'dom
Mistvale Valley|Valle del Velo de Bruma
Nek'mani Wellspring|Manantial Nek'mani
Hardwrench Hideaway|Escondrijo Malallave
Venture Co. Base Camp|Base de Ventura y Cía.
Gurubashi Arena|Arena Gurubashi
Spirit Den|Cubil del Espíritu
The Crimson Veil|El Velo Carmesí
The Riptide|Las Mareas Vivas
The Damsel's Luck|La Damisela Afortunada
Venture Co. Operations Center|Centro de Operaciones de Ventura y Cía.
Deadwood Village|Aldea Muertobosque
Felpaw Village|Poblado Zarpavil
Bloodvenom River|Río del Veneno
Bloodvenom Falls|Cascadas del Veneno
Shatter Scar Vale|Cañada Gran Cicatriz
Irontree Woods|Bosque de Troncoferro
Irontree Cavern|Caverna de Troncoferro
Timbermaw Hold|Bastión Fauces de Madera
Shadow Hold|Guarida Sombría
Shrine of the Deceiver|Santuario del Falsario
Purespring Cavern|Cueva de Manantial
Sorrowmurk|Tinieblas de las Penas
Draenil'dur Village|Aldea Draenil'dur
Splinterspear Junction|Cruce Lanzarrota
The Shifting Mire|Lodo Traicionero
Stagalbog Cave|Cueva Stagalbog
Witherbark Caverns|Cuevas Secacorteza
Boulder'gor|Roca'gor
Valley of Fangs|Valle de los Colmillos
The Dustbowl|Terraseca
Mirage Flats|Explanada del Espejismo
Featherbeard's Hovel|Cobertizo de Barbapluma
Shindigger's Camp|Campamento Machacacanillas
Plaguemist Ravine|Barranco Bruma Enferma
Valorwind Lake|Lago Ventobravo
Hiri'watha Research Station|Estación de Investigación de Hiri'watha
The Creeping Ruin|Las Ruinas Abyectas
Bogen's Ledge|Arrecife de Bogen
The Maker's Terrace|Bancal del Hacedor
Dustwind Gulch|Barranco Viento Seco
Noonshade Ruins|Ruinas Sombrasol
Broken Pillar|Pilar Partido
Abyssal Sands|Arenas Abisales
Southbreak Shore|Tierras del Sur
Caverns of Time|Cavernas del Tiempo
The Marshlands|Los Pantanales
Ironstone Plateau|Meseta Roca de Hierro
Blackchar Cave|Cueva Tizonegro
Tanner Camp|Base de Peleteros
Dustfire Valley|Valle Polvofuego
Misty Reed Farm|Granja Juncobruma
Bloodvenom Post|Puesto del Veneno 
Talonbranch Glade|Claro Ramaespolón 
Twilight Vale|Vega Crepuscular
Twilight Shore|Orilla Crepuscular
Alcaz Island|Isla de Alcaz
Darkcloud Pinnacle|Cumbre de la Nube Negra
Dawning Wood Catacombs|Catacumbas del Bosque Aurora
Stonewatch Keep|Fuerte de Petravista
Stoutlager Inn|Pensión La Cebada
Thunderbrew Distillery|Destilería Cebatruenos
Menethil Keep|Castillo de Menethil
Deepwater Tavern|Mesón Aguahonda
Shadow Grave|Sepulcro Sombrío
Brill Town Hall|Concejo de Rémol
Gallows' End Tavern|Mesón La Horca
Dreadmist Den|Cubil Calígine
Emberstrife's Den|Cubil de Brasaliza
Onyxia's Lair|Guarida de Onyxia
Windshear Mine|Mina Cortaviento
Roland's Doom|Condena de Roland
Battle Ring|Liza
The Pools of Vision|Pozas de las Visiones
Shadowbreak Ravine|Barranco Rompesombras
Broken Spear Village|Aldea Lanza Partida
