Original|Translated
Whispering Gardens|耳语花园
Terrace of Repose|休息区
Brightwater Lake|澈水湖
Gunther's Retreat|冈瑟尔的居所
Garren's Haunt|加伦鬼屋
Balnir Farmstead|巴尼尔农场
Cold Hearth Manor|炉灰庄园
Crusader Outpost|十字军前哨
The North Coast|北部海岸
Whispering Shore|耳语海岸
Lordamere Lake|洛丹米尔湖
Fenris Isle|芬里斯岛
Faol's Rest|法奥之墓
Dolanaar|多兰纳尔
Shadowglen|幽影谷
Steelgrill's Depot|钢架补给站
Hearthglen|壁炉谷
Northridge Lumber Camp|北山伐木场
Andorhal|安多哈尔
School of Necromancy|通灵术学校
Uther's Tomb|乌瑟尔之墓
Sorrow Hill|悔恨岭
The Weeping Cave|哭泣之洞
Felstone Field|费尔斯通农场
Dalson's Farm|达尔松农场
Gahrron's Withering|盖罗恩农场
The Writhing Haunt|嚎哭鬼屋
Mardenholde Keep|玛登霍尔德城堡
Pyrewood Village|焚木村
Dun Modr|丹莫德
Utgarde Keep|乌特加德城堡
The Great Sea|无尽之海
Unused Ironcladcove|铁甲山谷
Shadowfang Keep|影牙城堡
Icecrown|冰冠冰川
Iceflow Lake|涌冰湖
Helm's Bed Lake|盔枕湖
Deep Elem Mine|埃利姆矿洞
Mulgore|莫高雷
Alexston Farmstead|阿历克斯顿农场
Red Cloud Mesa|红云台地
Camp Narache|纳拉其营地
Bloodhoof Village|血蹄村
Stonebull Lake|石牛湖
Ravaged Caravan|被破坏的货车
Red Rocks|赤色石
The Skittering Dark|粘丝洞
Valgan's Field|瓦尔甘农场
The Sepulcher|瑟伯切尔
Olsen's Farthing|奥森农场
The Greymane Wall|格雷迈恩之墙
Beren's Peril|博伦的巢穴
The Dawning Isles|黎明岛
Ambermill|安伯米尔
Fenris Keep|芬里斯城堡
The Decrepit Fields|破败原野
Malden's Orchard|玛尔丁果园
The Ivar Patch|伊瓦南瓜田
The Dead Field|亡者农场
The Rotting Orchard|烂果园
Brightwood Grove|阳光树林
Forlorn Rowe|荒弃鬼屋
The Whipple Estate|维普尔庄园
The Yorgen Farmstead|约根农场
The Cauldron|大熔炉
Grimesilt Dig Site|煤渣挖掘场
Dreadmaul Rock|巨槌石
Ruins of Thaurissan|索瑞森废墟
Flame Crest|烈焰峰
Blackrock Stronghold|黑石要塞
The Pillar of Ash|灰烬之柱
Altar of Storms|风暴祭坛
Aldrassil|奥达希尔
Shadowthread Cave|黑丝洞
Fel Rock|地狱石
Lake Al'Ameth|奥拉密斯湖
Starbreeze Village|星风村
Gnarlpine Hold|瘤背堡
Ban'ethil Barrow Den|班尼希尔兽穴
The Cleft|大断崖
The Oracle Glade|神谕林地
Wellspring River|涌泉河
Wellspring Lake|涌泉湖
Hillsbrad Foothills|希尔斯布莱德丘陵
Azshara Crater|艾萨拉巨坑
Dun Algaz|丹奥加兹
Ruins of Southshore|南海镇废墟
Tarren Mill|塔伦米尔
Durnholde Keep|敦霍尔德城堡
UNUSED Stonewrought Pass|石坝小径
The Foothill Caverns|丘陵洞穴
Brazie Farmstead|布雷泽农场
Dalaran Crater|达拉然巨坑
Strahnbrad|斯坦恩布莱德
Ruins of Alterac|奥特兰克废墟
Crushridge Hold|破碎岭城堡
Slaughter Hollow|屠杀谷
The Uplands|高地
Southpoint Gate|南点大门
The Sludge Fields|药渣农场
Hillsbrad|希尔斯布莱德
Azurelode Mine|碧玉矿洞
Nethander Stead|奈杉德哨岗
Dun Garok|丹加洛克
Thoradin's Wall|索拉丁之墙
Eastern Strand|东部海滩
Western Strand|西部海岸
Jaguero Isle|哈圭罗岛
Baradin Bay|巴拉丁海湾
Menethil Bay|米奈希尔海湾
Misty Reed Strand|芦苇海滩
The Savage Coast|野人海岸
The Crystal Shore|水晶海岸
Shell Beach|贝壳海滩
North Tide's Run|北流海岸
South Tide's Run|南流海岸
The Overlook Cliffs|望海崖
The Forbidding Sea|禁忌之海
Ironbeard's Tomb|铁须之墓
Crystalvein Mine|水晶矿洞
Ruins of Aboraz|阿博拉兹废墟
Janeiro's Point|加尼罗哨站
Northfold Manor|诺斯弗德农场
Go'Shek Farm|格沙克农场
Dabyrie's Farmstead|达比雷农场
Boulderfist Hall|石拳大厅
Witherbark Village|枯木村
Drywhisker Gorge|枯须峡谷
Refuge Pointe|避难谷地
Hammerfall|落锤镇
Blackwater Shipwrecks|黑水湾沉船
O'Breen's Camp|奥布瑞恩营地
Stromgarde Keep|激流堡
The Tower of Arathor|阿拉索之塔
The Sanctum|密室
Faldir's Cove|法迪尔海湾
The Drowned Reef|水下暗礁
Thandol Span|萨多尔大桥
Ashenvale|灰谷
Circle of East Binding|东部禁锢法阵
Circle of West Binding|西部禁锢法阵
Circle of Inner Binding|内禁锢法阵
Circle of Outer Binding|外禁锢法阵
Apocryphan's Rest|圣者之陵
Angor Fortress|苦痛堡垒
Lethlor Ravine|莱瑟罗峡谷
Ruins of Kargath|卡加斯废墟
Camp Kosh|柯什营地
Camp Boff|博夫营地
Camp Wurg|瓦格营地
Camp Cagg|卡格营地
Agmond's End|阿戈莫德的营地
Hammertoe's Digsite|铁趾挖掘场
Dustbelch Grotto|火山洞穴
Aerie Peak|鹰巢山
Wildhammer Keep|蛮锤城堡
Quel'Danil Lodge|奎尔丹尼小屋
Skulk Rock|隐匿石
Zun'watha|祖瓦沙
Shadra'Alor|沙德拉洛
Jintha'Alor|辛萨罗
The Altar of Zul|祖尔祭坛
Seradane|瑟拉丹
Feralas|菲拉斯
Brambleblade Ravine|刺刃峡谷
The Venture Co. Mine|风险投资公司矿洞
Felwood|费伍德森林
Razor Hill|剃刀岭
Valley of Trials|试炼谷
The Den|大兽穴
Burning Blade Coven|火刃集会所
Northwatch Foothold|北卫军根据地
Sen'jin Village|森金村
Echo Isles|回音群岛
Thunder Ridge|雷霆山
Drygulch Ravine|枯水谷
Dustwind Cave|尘风洞穴
Tiragarde Keep|提拉加德城堡
Scuttle Coast|流亡海岸
Bladefist Bay|刃拳海湾
Deadeye Shore|死眼海岸
Southfury River|怒水河
Far Watch Post|前沿哨所
The Crossroads|十字路口
Boulder Lode Mine|石矿洞
The Sludge Fen|淤泥沼泽
The Dry Hills|无水岭
Dreadmist Peak|鬼雾峰
The Forgotten Pools|遗忘之池
Lushwater Oasis|甜水绿洲
The Stagnant Oasis|死水绿洲
The Merchant Coast|商旅海岸
Ratchet|棘齿城
Darkspear Strand|暗矛海滩
Grizzly Hills|灰熊丘陵
Grizzlemaw|灰喉堡
Winterhoof Water Well|冰蹄水井
Thunderhorn Water Well|雷角水井
Wildmane Water Well|蛮鬃水井
Skyline Ridge|冲天岭
Thousand Needles|千针石林
The Tidus Stair|提度斯阶梯
Shady Rest Inn|树荫旅店
Bael'dun Digsite|巴尔丹挖掘场
Desolace|凄凉之地
Stonetalon Mountains|石爪山脉
Orgrimmar UNUSED|奥格瑞玛
Gillijim's Isle|吉利吉姆之岛
Island of Doctor Lapidis|拉匹迪斯之岛
Razorwind Canyon|烈风峡谷
Bathran's Haunt|巴斯兰鬼屋
The Ruins of Ordil'Aran|奥迪拉兰废墟
Maestra's Post|梅伊瑟娜岗哨
The Zoram Strand|佐拉姆海岸
Astranaar|阿斯特兰纳
The Shrine of Aessina|艾森娜神殿
Fire Scar Shrine|火痕神殿
The Ruins of Stardust|星尘废墟
The Howling Vale|狼嚎谷
Silverwind Refuge|银风避难所
Mystral Lake|密斯特拉湖
Fallen Sky Lake|坠星湖
Remains of Iris Lake|伊瑞斯湖
Moonwell of Purity|纯净月亮井
Raynewood Retreat|林中树居
The Shady Nook|林荫小径
Night Run|夜道谷
Xavian|萨维亚
Satyrnaar|萨提纳尔
Splintertree Post|碎木岗哨
The Dor'Danil Barrow Den|朵丹尼尔兽穴
Falfarren River|弗伦河
Felfire Hill|冥火岭
Demon Fall Canyon|屠魔峡谷
Demon Fall Ridge|屠魔山
Warsong Lumber Camp|战歌伐木营地
Bough Shadow|大树荫
The Shimmering Flats|闪光平原
Tanaris|塔纳利斯
Lake Falathim|法拉希姆湖
Ruins of Auberdine|奥伯丁废墟
Ruins of Mathystra|玛塞斯特拉废墟
Tower of Althalaxx|奥萨拉克斯之塔
Cliffspring Falls|峭壁之泉
Bashal'Aran|巴莎兰
Ameth'Aran|亚米萨兰
Grove of the Ancients|古树之林
The Master's Glaive|主宰之剑
Remtravel's Excavation|雷姆塔维尔挖掘场
Mist's Edge|薄雾海
The Long Wash|长桥码头
Wildbend River|急弯河
Blackwood Den|黑木洞穴
Cliffspring River|壁泉河
The Veiled Sea|迷雾之海
Gold Road|黄金之路
Scarlet Watch Post|血色十字军哨岗
Sun Rock Retreat|烈日石居
Windshear Crag|狂风峭壁
Cragpool Lake|峭壁湖
Mirkfallon Lake|暗色湖
The Charred Vale|焦炭谷
Valley of the Bloodfuries|血怒峡谷
Stonetalon Peak|石爪峰
The Talon Den|猛禽洞穴
Greatwood Vale|巨木谷
Thunder Bluff UNUSED|雷霆崖
Brave Wind Mesa|强风台地
Fire Stone Mesa|火石台地
Mantle Rock|披肩石
Hunter Rise UNUSED|猎人高地
Elder RiseUNUSED|长者高地
Ruins of Jubuwal|朱布瓦尔废墟
Pools of Arlithrien|阿里斯瑞恩之池
The Rustmaul Dig Site|锈锤挖掘场
Camp E'thok|伊索克营地
Splithoof Crag|裂蹄峭壁
Highperch|风巢
The Screeching Canyon|尖啸峡谷
Freewind Post|乱风岗
The Great Lift|升降梯
Galak Hold|加拉克城堡
Roguefeather Den|飞羽洞穴
The Weathered Nook|老屋
Thalanaar|萨兰纳尔
Un'Goro Crater|安戈洛环形山
Razorfen Kraul|剃刀沼泽
Raven Hill Cemetery|乌鸦岭墓地
Moonglade|月光林地
Howling Fjord|嚎风峡湾
Brackenwall Village|蕨墙村
Swamplight Manor|水光庄园
Bloodfen Burrow|鲜血沼泽墓穴
Darkmist Cavern|黑雾洞穴
Moggle Point|摩戈尔哨塔
Beezil's Wreck|比吉尔的飞艇残骸
Witch Hill|女巫岭
Sentry Point|警戒哨岗
North Point Tower|北点哨塔
West Point Tower|西点哨塔
Lost Point|废弃哨塔
Bluefen|蓝色沼泽
Stonemaul Ruins|石槌废墟
The Den of Flame|火焰洞穴
The Dragonmurk|黑龙谷
Wyrmbog|巨龙沼泽
Blackhoof Village|黑蹄村
Theramore Isle|塞拉摩岛
Foothold Citadel|塞拉摩堡垒
Ironclad Prison|铁栏监狱
Dustwallow Bay|尘泥海湾
Tidefury Cove|狂潮湾
Dreadmurk Shore|恐惧海岸
Addle's Stead|腐草农场
Fire Plume Ridge|火羽山
Lakkari Tar Pits|拉卡利油沼
Terror Run|恐惧小道
The Slithering Scar|巨痕谷
Marshal's Refuge|马绍尔营地
Fungal Rock|蘑菇石
Golakka Hot Springs|葛拉卡温泉
The Loch|洛克湖
Beggar's Haunt|乞丐鬼屋
Kodo Graveyard|科多兽坟场
Ghost Walker Post|幽灵岗哨
Sar'theris Strand|萨瑟里斯海岸
Thunder Axe Fortress|雷斧堡垒
Bolgan's Hole|波尔甘的洞穴
Mannoroc Coven|玛诺洛克集会所
Sargeron|萨格隆
Shok'Thokar|夏克索卡
Gelkis Village|吉尔吉斯村
Valley of Spears|长矛谷
Nijel's Point|尼耶尔前哨站
Kolkar Village|科卡尔村
Mount Hyjal|海加尔山
Winterspring|冬泉谷
Blackwolf River|黑狼河
Kodo Rock|科多石
Hidden Path|秘道
Spirit Rock|灵魂石地
Shrine of the Dormant Flame|眠炎圣殿
Lake Elune'ara|月神湖
The Harborage|避难营
Outland|外域
Craftsmen's Terrace UNUSED|工匠区
Tradesmen's Terrace UNUSED|贸易区
The Temple Gardens UNUSED|神庙花园
Temple of Elune UNUSED|月神殿
Rut'theran Village|鲁瑟兰村
Ironband's Compound|铁环营地
The Stockade|监狱
Wailing Caverns|哀嚎洞穴
Blackfathom Deeps|黑暗深渊
Fray Island|勇士岛
Gnomeregan|诺莫瑞根
Razorfen Downs|剃刀高地
Ban'ethil Hollow|班尼希尔山谷
Scarlet Monastery|血色修道院
Jerod's Landing|杰罗德码头
Ridgepoint Tower|山巅之塔
The Darkened Bank|暗色河滩
Coldridge Pass|寒脊山小径
Chill Breeze Valley|寒风峡谷
Shimmer Ridge|闪光岭
Amberstill Ranch|冻石农场
The Tundrid Hills|冻土岭
South Gate Pass|南门小径
South Gate Outpost|南门哨岗
North Gate Pass|北门小径
North Gate Outpost|北门哨岗
Gates of Ironforge|铁炉堡大门
Stillwater Pond|静水池
Nightmare Vale|噩梦谷
Venomweb Vale|毒蛛峡谷
Razormane Grounds|钢鬃营地
Skull Rock|骷髅石
Palemane Rock|白鬃石
Windfury Ridge|风怒山
The Golden Plains|金色平原
The Rolling Plains|草海平原
Twilight Grove|黎明森林
Purgation Isle|赎罪岛
The Jansen Stead|贾森农场
The Dead Acre|死亡农地
The Molsen Farm|摩尔森农场
Stendel's Pond|斯特登的池塘
The Dagger Hills|匕首岭
Demont's Place|迪蒙特荒野
The Dust Plains|尘埃平原
Stonesplinter Valley|碎石怪之谷
Valley of Kings|国王谷
Algaz Station|奥加兹岗哨
Bucklebree Farm|巴克布雷农场
The Shining Strand|闪光湖岸
North Tide's Beachhead|北海滩头
Grizzlepaw Ridge|灰爪山
The Verdant Fields|青草平原
Gadgetzan|加基森
Steamwheedle Port|热砂港
Zul'Farrak|祖尔法拉克
Sandsorrow Watch|流沙岗哨
Thistleshrub Valley|灌木谷
The Gaping Chasm|大裂口
The Noxious Lair|腐化之巢
Dunemaul Compound|砂槌营地
Eastmoon Ruins|东月废墟
Waterspring Field|清泉平原
Zalashji's Den|萨拉辛之穴
Land's End Beach|天涯海滩
Wavestrider Beach|破浪海滩
Ruins of Uldum|奥丹姆遗迹
Valley of the Watchers|观察者之谷
Gunstan's Post|古斯坦的哨岗
Southmoon Ruins|南月废墟
Render's Camp|撕裂者营地
Render's Valley|撕裂者山谷
Render's Rock|撕裂者之石
Stonewatch Tower|石堡高塔
Galardell Valley|加拉德尔山谷
Lakeridge Highway|湖边大道
Three Corners|三角路口
Direforge Hill|恶铁岭
Raptor Ridge|恐龙岭
Black Channel Marsh|黑水沼泽
The Green Belt|绿带草地
Mosshide Fen|藓皮沼泽
Thelgen Rock|瑟根石
Bluegill Marsh|蓝鳃沼泽
Saltspray Glen|盐沫沼泽
Sundown Marsh|日落沼泽
Angerfang Encampment|怒牙营地
Grim Batol|格瑞姆巴托
Dragonmaw Gates|龙喉大门
The Lost Fleet|失落的舰队
Darrow Hill|达隆山
Webwinder Path|蛛网小径
The Hushed Bank|寂静河岸
Manor Mistmantle|密斯特曼托庄园
Camp Mojache|莫沙彻营地
Grimtotem Compound|恐怖图腾营地
The Writhing Deep|痛苦深渊
Wildwind Lake|狂风湖
Gordunni Outpost|戈杜尼前哨站
Mok'Gordun|莫克高顿
Feral Scar Vale|深痕谷
Frayfeather Highlands|乱羽高地
Idlewind Lake|微风湖
The Forgotten Coast|被遗忘的海岸
East Pillar|东部石柱
West Pillar|西部石柱
Dream Bough|梦境之树
Jademir Lake|加德米尔湖
Oneiros|奥奈罗斯
Ruins of Ravenwind|鸦风废墟
Rage Scar Hold|怒痕堡
Ruins of Feathermoon|羽月废墟
Ruins of Solarsal|索兰萨尔废墟
The Twin Colossals|双塔山
Sardor Isle|萨尔多岛
Isle of Dread|恐怖之岛
High Wilderness|高原荒野
Lower Wilds|低地荒野
Southern Gold Road|南黄金之路
Utgarde Pinnacle|乌特加德之巅
Blackmaw Hold|黑喉要塞
Vanndir Encampment|范迪尔营地
Legash Encampment|雷加什营地
Darnassian Base Camp|达纳希恩营地
Ruins of Eldarath|埃达拉斯废墟
Hetaera's Clutch|赫塔拉的巢穴
Temple of Zin-Malor|辛玛洛神殿
Bear's Head|熊头
Ursolan|乌索兰
Ruins of Arkkoran|亚考兰神殿废墟
Bay of Storms|风暴海湾
The Shattered Strand|破碎海岸
Tower of Eldara|埃达拉之塔
Jagged Reef|锯齿暗礁
Southridge Beach|南山海滩
Ravencrest Monument|拉文凯斯雕像
Forlorn Ridge|凄凉山
Lake Mennar|门纳尔湖
Shadowsong Shrine|影歌神殿
Haldarr Encampment|哈达尔营地
Valormok|瓦罗莫克
The Ruined Reaches|废墟海岸
Talondeep Vale|锐爪山谷
The Talondeep Path|锐爪小径
Rocktusk Farm|石牙农场
Jaggedswine Farm|野猪农场
Lost Rigger Cove|落帆海湾
Uldaman|奥达曼
Gallows' Corner|绞刑场
Silithus|希利苏斯
Emerald Forest|翠叶森林
Sunken Temple|沉没的神庙
Dreadmaul Hold|巨槌要塞
Nethergarde Keep|守望堡
Dreadmaul Post|巨槌岗哨
Serpent's Coil|盘蛇谷
Firewatch Ridge|观火岭
The Slag Pit|熔渣之池
The Sea of Cinders|灰烬之海
Thorium Point|瑟银哨塔
Nethergarde Mines|守望堡矿井
The Temple of Atal'Hakkar|阿塔哈卡神庙
Undercity|幽暗城
Stormwind City|暴风城
Ironforge|铁炉堡
Splithoof Hold|裂蹄堡
Cape of Stranglethorn|荆棘谷海角
Southern Savage Coast|南野人海岸
The Deadmines|死亡矿井
Ironclad Cove|铁甲湾
Blackrock Spire|黑石塔
Blackrock Depths|黑石深渊
Mor'shan Base Camp|莫尔杉营地
Valley of Heroes|英雄谷
Orgrimmar|奥格瑞玛
Thunder Bluff|雷霆崖
Elder Rise|长者高地
Spirit Rise|灵魂高地
Hunter Rise|猎人高地
Darnassus|达纳苏斯
Cenarion Enclave|塞纳里奥区
Craftsmen's Terrace|工匠区
Warrior's Terrace|战士区
The Temple Gardens|神殿花园
Tradesmen's Terrace|贸易区
Gavin's Naze|加文高地
Sofera's Naze|索菲亚高地
Corrahn's Dagger|考兰之匕
The Headland|山头营地
Misty Shore|雾气湖岸
Dandred's Fold|达伦德农场
Growless Cave|无草洞
Chillwind Point|冰风岗
Bramblescar|棘痕平原
Thorn Hill|荆棘岭
Honor's Stand|荣耀岗哨
The Mor'shan Rampart|莫尔杉壁垒
Grol'dom Farm|格罗多姆农场
Mistvale Valley|薄雾谷
Nek'mani Wellspring|纳克迈尼圣泉
Hardwrench Hideaway|硬钳避世乐园
Venture Co. Base Camp|风险投资公司营地
Gurubashi Arena|古拉巴什竞技场
Spirit Den|灵魂之穴
The Crimson Veil|红雾号
The Riptide|斩浪号
The Damsel's Luck|少女之运号
Venture Co. Operations Center|风险投资公司工作中心
Deadwood Village|死木村
Felpaw Village|魔爪村
Jaedenar|加德纳尔
Bloodvenom River|血毒河
Bloodvenom Falls|血毒瀑布
Shatter Scar Vale|碎痕谷
Irontree Woods|铁木森林
Irontree Cavern|铁木山洞
Timbermaw Hold|木喉要塞
Shadow Hold|暗影堡
Shrine of the Deceiver|欺诈者神祠
Purespring Cavern|纯粹之泉洞穴
Sorrowmurk|忧伤湿地
Draenil'dur Village|德莱尼村
Splinterspear Junction|断矛路口
Stagalbog|雄鹿沼泽
The Shifting Mire|流沙泥潭
Stagalbog Cave|雄鹿沼泽洞穴
Witherbark Caverns|枯木洞穴
Boulder'gor|博德戈尔
Valley of Fangs|巨牙谷
The Dustbowl|漫尘盆地
Mirage Flats|雾气平原
Featherbeard's Hovel|羽须小屋
Shindigger's Camp|铁铲营地
Plaguemist Ravine|毒雾峡谷
Valorwind Lake|瓦罗温湖
Agol'watha|亚戈瓦萨
Hiri'watha Research Station|西利瓦萨研究站
The Creeping Ruin|爬虫废墟
Bogen's Ledge|伯根的棚屋
The Maker's Terrace|造物者遗迹
Dustwind Gulch|尘风峡谷
Shaol'watha|沙尔瓦萨
Noonshade Ruins|热影废墟
Broken Pillar|破碎石柱
Abyssal Sands|深沙平原
Southbreak Shore|塔纳利斯南海
Caverns of Time|时光之穴
The Marshlands|沼泽地
Ironstone Plateau|铁石高原
Blackchar Cave|黑炭谷
Tanner Camp|制皮匠营地
Dustfire Valley|尘火谷
Misty Reed Farm|芦苇农场
Bloodvenom Post|血毒岗哨
Talonbranch Glade|刺枝林地
Stratholme|斯坦索姆
Quel'Thalas|奎尔萨拉斯
Scholomance|通灵学院
Twilight Vale|暮光谷
Twilight Shore|暮光海滩
Alcaz Island|奥卡兹岛
Darkcloud Pinnacle|黑云峰
Dawning Wood Catacombs|晨光之林墓穴
Stonewatch Keep|石堡要塞
Maraudon|玛拉顿
Stoutlager Inn|烈酒旅店
Thunderbrew Distillery|雷酒酿制厂
Menethil Keep|米奈希尔城堡
Deepwater Tavern|深水旅店
Shadow Grave|灰影墓穴
Brill Town Hall|布瑞尔城镇大厅
Gallows' End Tavern|恐惧之末旅店
Dreadmist Den|鬼雾兽穴
Emberstrife's Den|埃博斯塔夫的巢穴
Onyxia's Lair|奥妮克希亚的巢穴
Windshear Mine|狂风矿洞
Roland's Doom|罗兰之墓
Battle Ring|大竞技场
The Pools of Vision|预见之池
Shadowbreak Ravine|破影峡谷
Broken Spear Village|断矛村
Whitereach Post|白沙岗哨
Gornia|戈尼亚
Zane's Eye Crater|赞恩之眼
Mirage Raceway|沙漠赛道
Frostsaber Rock|霜刀石
The Hidden Grove|隐秘小林
Timbermaw Post|木喉岗哨
Winterfall Village|寒水村
Mazthoril|麦索瑞尔
Frostfire Hot Springs|冰火温泉
Ice Thistle Hills|冰蓟岭
Dun Mandarr|丹曼达尔
Frostwhisper Gorge|霜语峡谷
Owl Wing Thicket|枭翼树丛
Lake Kel'Theril|凯斯利尔湖
The Ruins of Kel'Theril|凯斯利尔废墟
Starfall Village|坠星村
Ban'Thallow Barrow Den|班萨罗兽穴
Everlook|永望镇
Darkwhisper Gorge|暗语峡谷
Deeprun Tram|矿道地铁
The Fungal Vale|蘑菇谷
The Marris Stead|玛瑞斯农场
The Undercroft|墓室
Darrowshire|达隆郡
Crown Guard Tower|皇冠哨塔
Corin's Crossing|考林路口
Death Cultist Base Camp|死亡教徒营地
Tyr's Hand|提尔之手
The Scarlet Basilica|血色十字军教堂
Light's Hope Chapel|圣光之愿礼拜堂
Browman Mill|布洛米尔
The Noxious Glade|剧毒林地
Eastwall Tower|东墙哨塔
Northdale|北谷
Zul'Mashar|祖玛沙尔
Mazra'Alor|玛兹拉罗
Northpass Tower|北地哨塔
Quel'Lithien Lodge|奎尔林斯小屋
Plaguewood|病木林
Scourgehold|瘟疫要塞
Darrowmere Lake|达隆米尔湖
Caer Darrow|凯尔达隆
Thistlefur Village|蓟皮村
The Quagmire|泥潭沼泽
Windbreak Canyon|风裂峡谷
South Seas|南海
Razor Hill Barracks|剃刀岭兵营
Bloodtooth Camp|血牙营地
Forest Song|林歌神殿
Greenpaw Village|绿爪村
Silverwing Outpost|银翼哨站
Nighthaven|永夜港
Shrine of Remulos|雷姆洛斯神殿
Stormrage Barrow Dens|怒风兽穴
The Black Morass|黑色沼泽
Old Hillsbrad Foothills|旧希尔斯布莱德丘陵
Southshore|南海镇
Hillsbrad Fields|希尔斯布莱德农场
Southpoint Tower|南点哨塔
Tethris Aran|塔迪萨兰
Ethel Rethor|艾瑟雷索
Ranazjar Isle|拉纳加尔岛
Kormek's Hut|考米克小屋
Shadowprey Village|葬影村
Blackrock Pass|黑石小径
Morgan's Vigil|摩根的岗哨
Slither Rock|滑石
Terror Wing Path|龙翼小径
Draco'dar|德拉考达尔
