Echo Ridge Mine||Echokammmine|Mine de la crête aux Échos|Mina del Eco|Mina del Eco|메아리 광산|Рудник Горного Эха|回音山矿洞|回音山礦坑
Booty Bay||Beutebucht|Baie-du-Butin|Bahía del Botín|Bahía del Botín|무법항|Пиратская Бухта|藏宝海湾|藏寶海灣
Alterac Mountains||Alteracgebirge|Montagnes d’Alterac|Montañas de Alterac|Montañas de Alterac|알터랙 산맥|Альтеракские горы|奥特兰克山脉|奧特蘭克山脈
Lake Nazferiti||Der Nazferitisee|Lac Nazfériti|Lago Nazferiti|Lago Nazferiti|나즈페리티 호수|Озеро Назферити|纳菲瑞提湖|納菲瑞提湖
Deadwind Pass||Gebirgspass der Totenwinde|Défilé de Deuillevent|Paso de la Muerte|Paso de la Muerte|저승바람 고개|Перевал Мертвого Ветра|逆风小径|逆風小徑
Darkshire||Dunkelhain|Sombre-Comté|Villa Oscura|Villa Oscura|어둠골|Темнолесье|夜色镇|夜色鎮
Wild Shore||Die Wilden Ufer|Le rivage Cruel|Orilla Salvaje|Orilla Salvaje|거친 해안|Пустынный берег|蛮荒海岸|蠻荒海岸
Redridge Mountains||Rotkammgebirge|Les Carmines|Montañas Crestagrana|Montañas Crestagrana|붉은마루 산맥|Красногорье|赤脊山|赤脊山
Arathi Highlands||Das Arathihochland|Hautes-terres Arathies|Tierras Altas de Arathi|Tierras Altas de Arathi|아라시 고원|Нагорье Арати|阿拉希高地|阿拉希高地
Burning Steppes||Brennende Steppe|Steppes Ardentes|Las Estepas Ardientes|Las Estepas Ardientes|불타는 평원|Пылающие степи|燃烧平原|燃燒平原
The Hinterlands||Hinterland|Les Hinterlands|Tierras del Interior|Tierras del Interior|동부 내륙지|Внутренние земли|辛特兰|辛特蘭
Searing Gorge||Sengende Schlucht|Gorge des Vents brûlants|La Garganta de Fuego|La Garganta de Fuego|이글거리는 협곡|Тлеющее ущелье|灼热峡谷|灼熱峽谷
Thieves Camp||Diebeslager|Camp des Voleurs|Campamento de Ladrones|Campamento de Ladrones|도둑 야영지|Воровской лагерь|盗贼营地|盜賊營地
Jasperlode Mine||Jaspismine|Mine Veine-de-Jaspe|Cantera de Jaspe|Cantera de Jaspe|벽옥맥 광산|Яшмовая шахта|玉石矿洞|玉石礦坑
Heroes' Vigil||Heldenwache|Veillée des héros|Vigilia de los Héroes|Vigilia de los Héroes|수호영웅의 안식처|Часовые Вечности|英雄哨岗|英雄崗哨
Fargodeep Mine||Tiefenschachtmine|Mine de Fondugouffre|Mina Abisal|Mina Abisal|개미굴 광산|Рудник Подземных Глубин|法戈第矿洞|法戈第礦坑
Northshire Vineyards||Weingut von Nordhain|Vignoble de Comté-du-Nord|Viñedos de Villanorte|Viñedos de Villanorte|북녘골 포도밭|Виноградники Североземья|北郡农场|北郡農場
Forest's Edge||Der Waldrand|La Lisière|Linde del bosque|Linde del bosque|숲 가장자리|Лесная опушка|林边空地|森林邊界
Thunder Falls||Donnerfälle|Chutes du Tonnerre|Cataratas del Trueno|Cataratas del Trueno|천둥 폭포|Ревущий водопад|雷霆瀑布|雷霆瀑布
Brackwell Pumpkin Patch||Brackbrunns Kürbisbeet|Champ de potirons des Saumepuits|Plantación de Calabazas de Brackwell|Plantación de Calabazas de Brackwell|브랙웰 호박밭|Тыквенное поле Бреквеллов|布莱克威尔南瓜田|布萊克威爾南瓜田
The Stonefield Farm||Hof der Steinfelds|Ferme des Champierreux|La Granja Pedregosa|La Granja Pedregosa|스톤필드 농장|Ферма Стоунфилдов|斯通菲尔德农场|斯通菲爾德農場
The Maclure Vineyards||Weinberge der Maclures|Vignes des Maclure|Los Viñedos de Maclure|Los Viñedos de Maclure|매클루어 포도밭|Виноградники Маклура|马科伦农场|馬科倫農場
Dragonblight||Drachenöde|Désolation des dragons|Cementerio de Dragones|Cementerio de Dragones|용의 안식처|Драконий Погост|龙骨荒野|龍骨荒野
The Storm Peaks||Die Sturmgipfel|Les pics Foudroyés|Las Cumbres Tormentosas|Las Cumbres Tormentosas|폭풍우 봉우리|Грозовая гряда|风暴峭壁|風暴群山
Lake Everstill||Der Immerruhsee|Lac Placide|Lago Sempiterno|Lago Sempiterno|영원고요 호수|Озеро Безмолвия|止水湖|止水湖
Lakeshire||Seenhain|Comté-du-Lac|Villa del Lago|Villa del Lago|호숫골|Приозерье|湖畔镇|湖畔鎮
Stonewatch||Steinwacht|Guet-de-Pierre|Petravista|Petravista|돌망루 요새|Крепость Каменной Стражи|石堡|石望
Stonewatch Falls||Steinwachtfälle|Chutes de Guet-de-Pierre|Cascadas Petravista|Cascadas Petravista|돌망루 언덕|Водопад Каменной Стражи|石堡瀑布|石望瀑布
The Dark Portal||Das Dunkle Portal|Porte des ténèbres|El Portal Oscuro|El Portal Oscuro|어둠의 문|Темный портал|黑暗之门|黑暗之門
The Tainted Scar||Die Faulende Narbe|La Balafre impure|Escara Impía|Escara Impía|타락의 흉터|Гниющий Шрам|腐烂之痕|腐化之痕
Pool of Tears||Tränenteich|Bassin des Larmes|Charca de Lágrimas|Charca de Lágrimas|눈물의 연못|Озеро Слез|泪水之池|淚水之池
Stonard||Steinard|Pierrêche|Rocal|Rocal|스토나드|Каменор|斯通纳德|斯通納德
Fallow Sanctuary||Zuflucht der Verirrten|Sanctuaire des Friches|Retiro Fangoso|Retiro Fangoso|드레노어 성역|Болотное пристанище|农田避难所|農田避難所
Anvilmar||Ambossar|Courbenclume|Yunquemar|Yunquemar|앤빌마|Старая Наковальня|安威玛尔|安威瑪
Stormwind Mountains||Berge von Sturmwind|Monts Hurlevent|Montañas de Ventormenta|Montañas de Ventormenta|스톰윈드 산맥|Горы Штормграда|暴风山脉|暴風山脈
Jeff NE Quadrant Changed||Jeff NO-Quadrant geändert|Quadrant NE de Jeff modifié|||제프의 북동 사분면|Джефф СВ Измененный квадрант|Jeff NE Quadrant|
Jeff NW Quadrant||Jeff NW-Quadrant|Quadrant de Jeff NO|||제프의 북서 사분면|Джефф СЗ Квадрант||
Jeff SE Quadrant||Jeff SO-Quadrant|Quadrant de Jeff SE|||제프의 남동 사분면|Джефф ЮВ Квадрант||
Jeff SW Quadrant||Jeff SW-Quadrant|Quadrant de Jeff SO|||제프의 남서 사분면|Джефф ЮЗ Квадрант||
Tirisfal Glades||Tirisfal|Clairières de Tirisfal|Claros de Tirisfal|Claros de Tirisfal|티리스팔 숲|Тирисфальские леса|提瑞斯法林地|提里斯法林地
Stone Cairn Lake||Der Steinhügelsee|Lac du Cairn|Lago del Hito|Lago del Hito|돌무덤 호수|Озеро Каменных Столбов|石碑湖|石碑湖
Goldshire||Goldhain|Comté-de-l’Or|Villadorada|Villadorada|황금골|Златоземье|闪金镇|閃金鎮
Eastvale Logging Camp||Holzfällerlager des Osttals|Camp de bûcherons du val d’Est|Aserradero de la Vega del Este|Aserradero de la Vega del Este|동쪽계곡 벌목지|Лесопилка Восточной долины|东谷伐木场|東谷伐木場
Mirror Lake Orchard||Obsthain am Spiegelsee|Verger du lac Miroir|Vergel del Lago Espejo|Vergel del Lago Espejo|거울 호수 과수원|Сад у Зеркального озера|明镜湖果园|明鏡湖果園
Tower of Azora||Turm von Azora|Tour d’Azora|Torre de Azora|Torre de Azora|아조라의 탑|Башня Азоры|阿祖拉之塔|阿祖拉之塔
Mirror Lake||Spiegelsee|Lac Miroir|Lago Espejo|Lago Espejo|거울 호수|Зеркальное озеро|明镜湖|明鏡湖
Vul'Gol Ogre Mound||Ogerhort Vul'Gol|Tertre des Ogres vul’gol|Túmulo de Vul'Gol|Túmulo de Vul'Gol|벌골 오우거 소굴|Лощина Вул'Гол|沃古尔食人魔山|沃古爾巨魔山
Raven Hill||Rabenflucht|Colline-aux-Corbeaux|Cerro del Cuervo|Cerro del Cuervo|까마귀 언덕|Вороний Холм|乌鸦岭|烏鴉嶺
Redridge Canyons||Rotkammschlucht|Canyons des Carmines|Cañones de Crestagrana|Cañones de Crestagrana|붉은마루 협곡|Каньоны Красногорья|赤脊峡谷|赤脊峽谷
Tower of Ilgalar||Der Turm von Ilgalar|Tour d’Ilgalar|Torre de Ilgalar|Torre de Ilgalar|일갈라의 탑|Башня Илгалара|伊尔加拉之塔|伊爾加拉之塔
Alther's Mill||Althers Mühle|Scierie d’Alther|Molino de Alther|Molino de Alther|앨더의 제재소|Лесопилка Альтера|奥瑟尔伐木场|奧瑟爾伐木場
Rethban Caverns||Rethbanhöhlen|Cavernes de Rethban|Cavernas de Rethban|Cavernas de Rethban|레스밴 동굴|Пещеры Ретбана|瑞斯班洞穴|瑞斯班洞穴
Rebel Camp||Rebellenlager|Camp Rebelle|Asentamiento Rebelde|Asentamiento Rebelde|반란군 야영지|Лагерь Повстанцев|反抗军营地|反抗軍營地
Nesingwary's Expedition||Nesingwarys Expedition|Expédition de Nesingwary|Expedición de Nesingwary|Expedición de Nesingwary|네싱워리 원정대|Экспедиция Эрнестуэя|奈辛瓦里远征队营地|奈辛瓦里遠征隊營地
Kurzen's Compound||Kurzens Truppenlager|Base de Kurzen|Base de Kurzen|Base de Kurzen|쿠르젠 주둔지|Лагерь Курцена|库尔森的营地|庫爾森的營地
Ruins of Zul'Kunda||Ruinen von Zul'Kunda|Ruines de Zul’Kunda|Ruinas de Zul'Kunda|Ruinas de Zul'Kunda|줄쿤다의 폐허|Руины Зул'Кунды|祖昆达废墟|祖昆達廢墟
Ruins of Zul'Mamwe||Ruinen von Zul'Mamwe|Ruines de Zul’Mamwe|Ruinas de Zul'Mamwe|Ruinas de Zul'Mamwe|줄맘웨의 폐허|Руины Зул'Мамве|祖玛维废墟|祖瑪維廢墟
The Vile Reef||Das Finstere Riff|Le récif Infâme|El Arrecife Mortal|El Arrecife Mortal|썩은내 산호초|Коварный риф|暗礁海|暗礁海
Mosh'Ogg Ogre Mound||Ogerhügel der Mosh'Ogg|Tertre des Ogres mosh’Ogg|Túmulo Ogro Mosh'Ogg|Túmulo Ogro Mosh'Ogg|모쉬오그 오우거 소굴|Холм Мош'Огг|莫什奥格食人魔山|莫什奧格巨魔山
The Stockpile||Das Vorratslager|La Réserve|Las Reservas|Las Reservas|보급창|Схрон|物资储藏点|儲藏室
Saldean's Farm||Saldeans Hof|Ferme des Saldean|Finca de Saldean|Finca de Saldean|살딘 농장|Ферма Сальдена|萨丁农场|薩丁農場
Sentinel Hill||Späherkuppe|Colline des Sentinelles|Colina del Centinela|Colina del Centinela|감시의 언덕|Сторожевой холм|哨兵岭|哨兵嶺
Furlbrow's Pumpkin Farm||Brauenwirbels Kürbishof|Ferme de potirons des Froncebouille|Plantación de Calabazas de Cejade|Plantación de Calabazas de Cejade|펄브라우 호박밭|Тыквенная ферма Хмуроброва|法布隆南瓜农场|法布隆南瓜農場
Jangolode Mine||Der Jangoschacht|Mine Veine-de-Jango|Mina de Jango|Mina de Jango|장고로드 광산|Рудник Янго|詹戈洛德矿洞|詹戈洛德礦坑
Gold Coast Quarry||Der Goldküstensteinbruch|Carrière de la Côte de l’or|Mina de la Costa del Oro|Mina de la Costa del Oro|황금해안 채석장|Прииск на Золотом Берегу|金海岸矿洞|金海岸礦坑
Westfall Lighthouse||Der Leuchtturm von Westfall|Phare de l’Ouest|Faro de Poniente|Faro de Poniente|서부 몰락지대 등대|Маяк в Западном крае|西部荒野灯塔|西部荒野燈塔
Misty Valley||Das Neblige Tal|Vallée des Brumes|Valle Brumoso|Valle Brumoso|안개 골짜기|Туманная долина|迷雾谷|迷霧谷
Grom'gol Base Camp||Basislager Grom'gol|Campement Grom’gol|Campamento Grom'gol|Campamento Grom'gol|그롬골 주둔지|Лагерь Гром'гол|格罗姆高营地|格羅姆高營地
Whelgar's Excavation Site||Whelgars Ausgrabungsstätte|Excavations de Whelgar|Excavación de Whelgar|Excavación de Whelgar|웰가르의 발굴현장|Раскопки Вельгара|维尔加挖掘场|維爾加挖掘場
Westbrook Garrison||Weststromgarnison|Garnison du ruisseau de l’Ouest|Cuartel de Arroyoeste|Cuartel de Arroyoeste|서쪽시내 주둔지|Гарнизон у Западного ручья|西泉要塞|西泉要塞
Tranquil Gardens Cemetery||"Der Friedhof ""Stille Gärten"""|Cimetière des Jardins paisibles|Cementerio del Jardín Sereno|Cementerio del Jardín Sereno|고요의 정원 묘지|Безмятежное кладбище|静谧花园墓场|靜謐花園墓場
Zuuldaia Ruins||Ruinen von Zuuldaia|Ruines de Zuuldaia|Ruinas Zuuldaia|Ruinas Zuuldaia|줄다이아 폐허|Руины Зуулдая|祖丹亚废墟|祖丹亞廢墟
Bal'lal Ruins||Ruinen von Bal'lal|Ruines de Bal’lal|Ruinas de Bal'lal|Ruinas de Bal'lal|발랄 폐허|Руины Бал'лал|巴拉尔废墟|巴拉爾廢墟
Kal'ai Ruins||Ruinen von Kal'ai|Ruines de Kal’ai|Ruinas de Kal'ai|Ruinas de Kal'ai|칼아이 폐허|Руины Кал'аи|卡莱废墟|卡萊廢墟
Tkashi Ruins||Ruinen von Tkashi|Ruines de Tkashi|Ruinas de Tkashi|Ruinas de Tkashi|트카시 폐허|Руины Ткаши|伽什废墟|伽什廢墟
Balia'mah Ruins||Ruinen von Balia'mah|Ruines de Balia’mah|Ruinas de Balia'mah|Ruinas de Balia'mah|발리아마 폐허|Руины Балиа'ма|巴里亚曼废墟|巴里亞曼廢墟
Ziata'jai Ruins||Ruinen von Ziata'jai|Ruines de Ziata’jai|Ruinas de Ziata'jai|Ruinas de Ziata'jai|지아타자이 폐허|Руины Зиата'джаи|赞塔加废墟|贊塔加廢墟
Mizjah Ruins||Ruinen von Mizjah|Ruines de Mizjah|Ruinas de Mizjah|Ruinas de Mizjah|미즈자 폐허|Руины Мизжа|米扎废墟|米扎廢墟
Silverpine Forest||Silberwald|Forêt des Pins-Argentés|Bosque de Argénteos|Bosque de Argénteos|은빛소나무 숲|Серебряный бор|银松森林|銀松森林
Coldridge Valley||Eisklammtal|Vallée des Frigères|Valle de Crestanevada|Valle de Crestanevada|눈마루 골짜기|Холодная долина|寒脊山谷|寒脊山谷
New Tinkertown||Neu-Tüftlerstadt|La Nouvelle-Brikabrok|Nueva Ciudad Manitas|Nueva Ciudad Manitas|신 땜장이 마을|Новый Город Механиков|新工匠镇|新地精區
Gol'Bolar Quarry||Steinbruch Gol'Bolar|Carrière de Gol’Bolar|Cantera de Gol'Bolar|Cantera de Gol'Bolar|골볼라 채석장|Карьер Гол'Болар|古博拉采掘场|古博拉採掘場
Frostmane Hold||Höhle der Frostmähnen|Repaire des Crins-de-Givre|Poblado Peloescarcha|Poblado Peloescarcha|서리갈기 소굴|Форт Мерзлогривов|霜鬃巨魔要塞|霜鬃要塞
The Grizzled Den||Der Graufelsbau|L’antre Gris|El Cubil Pardo|El Cubil Pardo|은빛 동굴|Серая берлога|灰色洞穴|灰色洞穴
Brewnall Village||Bräuhall|Brassetout|Las Birras|Las Birras|브루날 마을|Поселок Пивоваров|烈酒村|烈酒村
Misty Pine Refuge||Nebelfichtenzuflucht|Refuge de Brumepins|Refugio Pinobruma|Refugio Pinobruma|안개소나무 은거처|Сторожка у заснеженной сосны|雾松避难所|霧松避難所
Eastern Plaguelands||Östliche Pestländer|Maleterres de l’Est|Tierras de la Peste del Este|Tierras de la Peste del Este|동부 역병지대|Восточные Чумные земли|东瘟疫之地|東瘟疫之地
Ironband's Excavation Site||Eisenbands Ausgrabungsstätte|Excavations de Baguefer|Excavación de Vetaferro|Excavación de Vetaferro|아이언밴드의 발굴현장|Раскопки Сталекрута|铁环挖掘场|鐵環挖掘場
Mo'grosh Stronghold||Festung Mo'grosh|Bastion des Mo’grosh|Fortaleza de Mo'grosh|Fortaleza de Mo'grosh|모그로쉬 소굴|Оплот Мо'грош|莫格罗什要塞|莫格羅什要塞
Algaz Gate||Algaz-Tor|Porte d’Algaz|Puerta de Algaz|Puerta de Algaz|알가즈 관문|Врата Альгаза|奥加兹大门|奧加茲隘口
Stonewrought Dam||Der Steinwerkdamm|Barrage de Formepierre|Presa de las Tres Cabezas|Presa de las Tres Cabezas|돌다지 댐|Каменная Плотина|巨石水坝|巨石水壩
The Farstrider Lodge||Jagdhütte der Weltenwanderer|Le pavillon des Pérégrins|Cabaña del Errante|Cabaña de los Errantes|원정순찰대 오두막|Приют Странников|旅行者营地|遠行者小屋
Darkshore||Die Dunkelküste|Sombrivage|Costa Oscura|Costa Oscura|어둠해안|Темные берега|黑海岸|黑海岸
Silver Stream Mine||Silberbachmine|Mine du Ru d’argent|Mina de Fuenteplata|Mina de Fuenteplata|은여울 광산|Серебряные копи|银泉矿洞|銀泉礦坑
Menethil Harbor||Hafen von Menethil|Port de Menethil|Puerto de Menethil|Puerto de Menethil|메네실 항구|Гавань Менетилов|米奈希尔港|米奈希爾港
Designer Island||Designer-Insel|Île des Concepteurs|Isla del Diseñador|Isla del Diseñador|디자이너의 섬|Остров Дизайнера||設計者之島
The Bulwark||Das Bollwerk|La Barricade|El Baluarte|El Baluarte|보루|Бастион|亡灵壁垒|亡靈壁壘
Ruins of Lordaeron||Ruinen von Lordaeron|Ruines de Lordaeron|Ruinas de Lordaeron|Ruinas de Lordaeron|로데론의 폐허|Руины Лордерона|洛丹伦废墟|羅德隆廢墟
Deathknell||Todesend|Le Glas|Camposanto|Camposanto|죽음의 종소리 마을|Похоронный Звон|丧钟镇|喪鐘鎮
Night Web's Hollow||Nachtwebergrund|Grottes des Tisse-nuit|Hoya Nocturácnidas|Hoya Nocturácnidas|검은그물 거미굴|Паучья низина|夜行蜘蛛洞穴|夜行蜘蛛洞穴
Solliden Farmstead||Sollidens Bauernhof|Ferme des Solliden|Hacienda Solliden|Hacienda Solliden|솔리덴 농장|Усадьба Соллиден|索利丹农场|索利丹農莊
Agamand Mills||Agamands Mühlen|Moulins d’Agamand|Molinos de Agamand|Molinos de Agamand|아가만드 제분소|Мельницы Агамондов|阿加曼德磨坊|阿加曼德磨坊
Agamand Family Crypt||Gruft der Familie Agamand|Crypte de la famille Agamand|Cripta de la Familia Agamand|Cripta de la Familia Agamand|아가만드가 납골당|Семейная усыпальница Агамондов|阿加曼德家族墓穴|阿加曼德家族墓穴
Whispering Gardens||Flüstergärten|Jardins des Murmures|Jardines de los Susurros|Jardines de los Susurros|속삭임의 정원|Шепчущие сады|耳语花园|耳語花園
Terrace of Repose||Terrasse der Muße|Terrasse de la Quiétude|Bancal del Reposo|Bancal del Reposo|평온의 정원|Терраса Покоя|休息区|休息區
Brightwater Lake||Blendwassersee|Lac Étincelant|Lago Aguasclaras|Lago Aguasclaras|청명 호수|Озеро Ясноводное|澈水湖|澈水湖
Gunther's Retreat||Gunthers Zufluchtsort|Retraite de Gunther|Refugio de Gunther|Refugio de Gunther|군터의 은거지|Приют Гюнтера|冈瑟尔的居所|岡瑟爾的居所
Garren's Haunt||Garrens Schlupfwinkel|Antre de Garren|Granja de Garren|Granja de Garren|가렌의 흉가|Ферма Гаррена|加伦鬼屋|加倫鬼屋
Balnir Farmstead||Balnirs Bauernhof|Ferme des Balnir|Hacienda Balnir|Hacienda Balnir|발니르 농장|Усадьба Балнира|巴尼尔农场|巴尼爾農莊
Cold Hearth Manor||Das Verlassene Anwesen|Manoir du Foyer froid|Mansión Friogar|Mansión Fríogar|버려진 장원|"Поместье ""Остывший Очаг"""|炉灰庄园|爐灰莊園
Crusader Outpost||Außenposten der Kreuzzügler|Avant-poste des Croisés|Avanzada de los Cruzados|Avanzada de los Cruzados|붉은십자군 전초기지|Застава Алого Ордена|十字军前哨|十字軍前哨
The North Coast||Die Nordküste|La côte Nord|La Costa Norte|La Costa Norte|북부 해안|Северное побережье|北部海岸|北部海岸
Whispering Shore||Die Flüsternde Küste|Rivage des Murmures|Costa Murmurante|Costa Murmurante|속삭임의 해안|Шепчущий берег|耳语海岸|耳語海岸
Lordamere Lake||Der Lordameresee|Lac Lordamere|Lago Lordamere|Lago Lordamere|로다미어 호수|Озеро Лордамер|洛丹米尔湖|洛丹米爾湖
Fenris Isle||Insel Fenris|Île de Fenris|Isla de Fenris|Isla de Fenris|펜리스 섬|Остров Фенриса|芬里斯岛|芬里斯島
Faol's Rest||Faols Ruheplatz|Repos de Faol|Tumba de Faol|Tumba de Faol|파올의 안식처|Могила Фаола|法奥之墓|法奧之墓
Shadowglen||Laubschattental|Sombrevallon|Cañada Umbría|Cañada Umbría|그늘 협곡|Тенистая долина|幽影谷|幽影谷
Steelgrill's Depot||Stahlrosts Depot|Dépôt de Grillacier|Almacén de Brasacerada|Almacén de Brasacerada|스틸그릴의 정비소|Поселок Сталежара|钢架补给站|鋼架補給站
Hearthglen||Herdweiler|Âtreval|Vega del Amparo|Vega del Amparo|하스글렌|Дольный Очаг|壁炉谷|壁爐谷
Northridge Lumber Camp||Sägewerk des Nordkamms|Camp de bûcherons de la Crête du Nord|Aserradero Crestanorte|Aserradero Crestanorte|북마루 벌목지|Лесопилка Северного Кряжа|北山伐木场|北山伐木場
School of Necromancy||Schule der Totenbeschwörung|École de Nécromancie|Escuela de Nigromancia|Escuela de Nigromancia|강령술 학교|Школа некромантии|通灵术学校|通靈術學校
Uther's Tomb||Uthers Grabmal|Tombeau d’Uther|Tumba de Uther|Tumba de Uther|우서 경의 무덤|Гробница Утера|乌瑟尔之墓|烏瑟之墓
Sorrow Hill||Trauerhügel|Colline des Chagrins|Colina de las Penas|Colina de las Penas|슬픔의 언덕|Холм печали|悔恨岭|悔恨嶺
The Weeping Cave||Die Weinende Höhle|La grotte des Pleurs|La Cueva del Llanto|La Cueva del Llanto|진흙탕 동굴|Грот Слез|哭泣之洞|哭泣之洞
Felstone Field||Teufelssteinfeld|Champ de Gangrepierre|Campo de Piedramácula|Campo de Piedramácula|펠스톤 농장|Поле Джанис|费尔斯通农场|費爾斯通農場
Dalson's Farm||Dalsons Hof|Ferme de Dalson|Granja de Dalson|Granja de Dalson|달슨 농장|Ферма Далсона|达尔松农场|達爾松農場
Gahrron's Withering||Gahrrons Trauerfeld|La Flétrissure de Gahrron|Gangrena de Gahrron|Gangrena de Gahrron|가론의 흉가|Пустошь Гаррона|盖罗恩农场|蓋羅恩農場
The Writhing Haunt||Das Trostlose Feld|Le repaire Putride|El Tormento|El Tormento|고통의 흉가|Удел Страданий|嚎哭鬼屋|苦痛鬼屋
Mardenholde Keep||Burg Mardenholde|Donjon de Mardenholde|Fortaleza de Mardenholde|Fortaleza de Mardenholde|마르덴홀드 요새|Крепость Марденхольд|玛登霍尔德城堡|瑪登霍爾德城堡
Pyrewood Village||Lohenscheit|Bois-du-Bûcher|Aldea Piroleña|Aldea Piroleña|장작나무 마을|Деревня Погребальных Костров|焚木村|焚木村
Utgarde Keep||Burg Utgarde|Donjon d’Utgarde|Fortaleza de Utgarde|Fortaleza de Utgarde|우트가드 성채|Крепость Утгард|乌特加德城堡|俄特加德要塞
The Great Sea||Das Große Meer|La Grande mer|Mare Magnum|Mare Magnum|대해|Великое море|无尽之海|無盡之海
Unused Ironcladcove||Eiserne Bucht|Crique du Cuirassé|Unused Cala del Acorazado|Unused Cala del Acorazado|철갑 동굴 미사용|Не используется Потайная бухта|铁甲山谷|
Shadowfang Keep||Burg Schattenfang|Donjon d’Ombrecroc|Castillo de Colmillo Oscuro|Castillo de Colmillo Oscuro|그림자송곳니 성채|Крепость Темного Клыка|影牙城堡|影牙城堡
Icecrown||Eiskrone|La Couronne de glace|Corona de Hielo|Corona de Hielo|얼음왕관|Ледяная Корона|冰冠冰川|寒冰皇冠
Iceflow Lake||Eiswellensee|Lac Glacial|Lago Glacial|Lago Glacial|얼음 호수|Заледеневшее озеро|涌冰湖|湧冰湖
Helm's Bed Lake||Helmsbettsee|Lac du Lit d’Helm|Lago de Helm|Lago de Helm|투구바닥 호수|Озеро Хельмово Ложе|盔枕湖|盔枕湖
Deep Elem Mine||Tiefenfelsmine|Mine du gouffre d’Elem|Mina de Elem|Mina de Elem|심원 광산|Серебряный рудник|埃利姆矿洞|深埃連礦坑
Alexston Farmstead||Alexstons Bauernhof|Ferme des Alexston|Hacienda de Alexston|Hacienda de Alexston|알렉스턴 농장|Поместье Алекстона|阿历克斯顿农场|艾力克斯頓農莊
Red Cloud Mesa||Die Hochwolkenebene|Mesa de Nuage rouge|Mesa de la Nube Roja|Mesa de la Nube Roja|붉은구름 고원|Плато Красного Облака|红云台地|紅雲台地
